q_no,q_statement,a,b,c,d,exam,year
41,"Consider the following statements:
Statement (A): Chile is still « prominent copper producer In the world.
Reason (R): Chile is endowed with the largest deposits of porphyry copper. 
Code: . (UPSC CSE Pre 1999)","Both (A) and (R) are true, and (R) is correct explanation of (A),","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) ds true, but (R) is false.","(A) is false, but (R) is true.",,
42,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I : List-11 . 
(Ores). (State where they are  mined)
I, Madhya Pradesh 
4. Andhra Pradesh 
Code: 
ABCD",1 3 2 4,4 3 2 1,1 2 3 4,4 2 3 1,UPSC CSE Pre,1996.0
43,Which one of the following was part of the erstwhile Soviet Union over which Kurdish population is spread?,Armenia,Azerbaijan,Georgia,Turkmenistan eq Other Examination Previous Years’ Feed Questions .,UPSC CSE Pre,1993.0
44,Which among the following 1s an important mineral of Pega Yoma region of Myanmar? (UPPCS (Pre) 2022),Tin,Silver,Mineral Oi!,Copper,,
45,"Match fist-1 with Hst-II and select thecorrect answer using the codes given below the lists:
 List-I. +e List-II :: ar(Centre). (Industry) ~ 4_ Automobile Code: (UPPCS (Pre) 2022)
ABCD",4 3 2 1,3 4 1 2,2 1 4 3,1 23 4,,
46,"Match Sist-I with Hist-11 and select the correct answer using the cades given below the lists:
List [eise-ar (Mineral &xploration | (Headquarters) Agencies)
A. Oil and Natural Gas | 1, Bhubaneswar Commission
B. Mineral Exploration |2. Hyderabad Corporation Ltd. —
C. National Mineral 3, Nagpur Development Corporation
D. National Aluminium | 4, New Delhi
= Company Limited |
Code: UPPCs (Pre) 2021
ABCOD",4 2 3 1,1 2 4 3,4 3 2 1,2 3 4 1,,
47,Which of the following pair is not correctlymatched? JUPPCS (Pre) 2021]Place Tribe,Alaska | Koryak,Borneo Punan,Arab Desert Ruwala,Sweden and Lapps Finland _.,,
48,Which one of the following is not a major Caco producer country?,latvia,"Cameroon
(¢) Ghana",,Ivory Coast,U.PP.C.S. (Pee),2021.0
49,"Which of the following are not correctly matched? (Minerals) (Mining City) A Copper Cigar
2. Iron Ore | Ballaré
[3. Manganese | Bhilwara
4. Hauxite Kani Select the correct answer using the codes given below. (UPPCS (Pre) 2020]",Land 2,2 and 3,land 3,2and 4,,
50,"Given below are two statements, one is Jabelicd os Assertion and other es Reasonv (R): 
Assertion  (A): Ahmedabad is the Sargest center of cotton textile industry in Fadia,
Reason (R): Abmedabad is located in major cotton growing region of India, so it has na problem of raw materials.  Select the correct answer from the codes  given below,","Both (A) and (R) are true and (R) is the
correct explanation of (A).","Both (A) and (R) are true bat (R) ts not
the correct explanation of (A).",(A) is trac but (R) is false.,(A) is false but (R) is true.,U.PP.C.S. (Pre),2020.0
51,"Match Sist-1 with Het-3F and sclect the correct answer using the codes given below the lists:
List-E . List-Il (ethnic Group) | (Country) Acdews dL Egypt |B. Teda 2. Tran C. Beja _. 3._Libya Code: 
ABCD",2 1 3 4,4 1 2 3,4 1 3 2,4 3 t 2,U.P.P.C.S. (Pre),2020.0
52,"Which onc of the fallowing is not correctly matched?  Country Iron-Ore Producing
    *|l Area vo",Kazakhstan | Karaganda,Ukraine Krivoy Ro;,Germany [Normandy,France Pyrenees,UPPCS (Pre),2026.0
53,"In Malaysia, the ‘Kinta Valley’ is famous for: (1U.P.P.C.S. (Pre) 2020)",Rubber Production,Tea Production,Tin Production,Coffee Production,,
