q_no,q_statement,a,b,c,d,exam,year
26,Which one of the following natural regions is known as ‘Land of Big Games’?,Temperate Grassland,Tropical Monsoon Region,Hot Desert Region,Tropical Savanna Region,U.P.P.C.S. (Pre),2019.0
27,Which of the following instruments is used to record seismic waves?,Seismogram,Seismograph,Seismoscope,Seismometer,UPPCS (Mains),2017.0
28,Which one of the following is the highest volcanic mountain in the world?,Mount Pinatubo,Mount Kilimanjaro,Mount Tall,Mount Cotopaxi,U.P.P.C.S. (Pre),2015.0
29,"Match Hist-I with list-IL and select the correct answer using the codes given below the lists:
Listed ""so
A. Mount Kinabalu
Code: 
ABCD",1 4 2 3,3 2 2 4,2 4 3 1,2 4 1 3,UPPCS (Malns),2015.0
30,"Match list-I with List-II and select the correct answer using the codes given below the lists:
List-I (Volcano). - List-11 (Country)
A. Sabanks          1. analy
B. MountBtna        2. Peru
C. Colima           3. Indonesia
D.Merapi            4. Mexico 
Code: 

ABCD",3 1 4 2,3 2 1 4,2 1 4 3,4 3 2 2,UPPCS (Pre),2015.0
31,Mauna Loa is an active volcano in-,Alaska,Hawaii,Italy,Japan,U.P.P.C.S. (Mains),2014.0
32,"Consider the followlng statements:
Statement (A): Deserts can be effective sources for the production of perennial energy 
Reason (R): As much energy is consumed by mankind in one year, Desert can receive more energy than that in only 6 hours from the Sun.
Choose the correct answer from the following code. (UPPCS (Pre) 2013)","(A) and (R), both are correct and (R) is the correct explanation of (A).","(A) and (R), both are correct, but (R) is not the correct explanation of (A).","(A) is correct, but (R) is false.",(A) is false but (R) is correct.,,
33,Which of the following is not « temperate grassland?,Pampas,Veld,Downs,Savanna,U.P.P.C.S. (Pre),2012.0
34,‘Death Valley’ situated in South California in the U.S.A Is an example of which of the following?,Anticlinal Valley,Indian Valley,Pristiclinal Valley,Rift Valley,U.P.P.C.S. (Pre),2012.0
35,The Savannas sre most widespread in-,Africa,Asia,North America,South America,U.P.P.C.S. (Mains),2011.0
36,"The ‘Ring of Fire’ is assoclated with-
1. Earthquake
2. Volcanoes :
3. Pacific Ocean
4. Forest Fires
Choose your answer with the help of the codes given below,","1,2and3",2 and 3,2 and 4,"1,2, 3and 4","U.P.P.C.S, (Pre)",2008.0
37,"Which of the following are active volcanoes?
1. Aconcagua
2. Cotopaxi
3. Etna
4. Fujiyama
Select the correct answer from the code given below:",1 and 2,3 and 4,"1,2 and 3","2,3 and 4",U.P.P.C.S. (Mains),2007.0
38,The North-Western Region of the Indian Sub-continent is susceptible to earthquake activity because of-,All of the above,Plate tectonic activity,Coral formation activity,,U.P.P.C.S. (Mains),2005.0
39,Which Volcano is called ‘the lighthouse’Mediterranean Sea?,Etna,Pele,Stromboli,Vesuvius,U.P.P.C.S. (Mains),2004.0
40,Which one of the following is not correctly matched?,Downs - Tropical grasstand,Steppes - Temperate grassland,Selva - Tropical Forest,Taiga - Temperate Forest,U.P.P.C.S. (Mains),2002.0
41,Desert is defined as the area where-,Temperature remains more than 42°C,No plants are found,Annual rain occurs less than 25m,Prominence of sand barrows,U.P. Lower Sub. (Pre),2009.0
42,Highest peaks of the world are mostly found in which type of Mountains?,Old folded mountains,"Young folded mountains
(¢) Residual mountains",,Block mountains,45th B.P.S.C. (Pre),2001.0
43,The probability of having a desert on the earth is more-,Near Zero-degree latitude,Near 23° Jatitude,Near 50° latitude,Near 76° latitude,41st BPSC (Pre),1996.0
44,The greatest delta of the world is formed by-,Ganga and Brahmaputra,Mississippi-Missouri,Yangtze-Kiang,Huang-He,41st B.P.S.C. (Pre),1996.0
45,Which statement of the following ts true forigneous rocks?,These have little fossils,They have porous for water,They are both crystal and non-crystal,These rocks have no silicas,40th B.P.S.C. (Pre),1995.0
46,"Based on following statements choose the correct option:
Statement I: Theory of Plate tectonics was given by H.H. Hess in 1967.
Statement H: Theory of Plate Tectonics is based on Theory of Sea Floor Spreading.
Code:",Statement I and Statement II both are true,Statement I and Statement II both are false,"Statement I is true, but Statement II is false","Statement I is false, but Statement II is true",Chhattisgarh PCS (Pre),2021.0
47,"Read the following statement related to ‘Earthquake shadow zone’ and choose the correct option:
Statement: The shadow zone of one earthquake is totally different from the shadow zone of another earthquake.
Statement II: Seismometers record both ‘P’ and ‘S’ waves at any distance out of 105° from earthquake's epicenter.
Code:",Statement f and Statement II both are true,"Statement I is true, but Statement IL is false","Statement I is false, but Statement II is true",Statement I and Statement II both are false,"Chhattisgarh P.C.S, (Pre)",2020.0
48,Which of the following landforms Is found in Karst region?,Pothole,Sink hole,Blow hole,Playa,Jharkhand PCS (Mains),2016.0
49,The most abundant gas emitted from volcanoes is-,Water Vapor,Helium,Sulphur Dioxide,Carbon Dioxide,Jharkhand P.C.S. (Pre),2013.0
50,Origin of Metamorphic rocks occurs from sosseeees FOCK?,Igneous,Sedimentary,Both Igneous and Sedimentary,None of the above,"Jharkhand P.C.S, (Pre)",2011.0
51,"In which belt, the volcanic eruption is maximum?",Mid Continental,Circumpacific,Mid Atlantic,Intraplates Volcanoes,MPPCS (Pre),2021.0
52,"Match list-I with fist-H and select the correct answer using the codes given below the lists:
List-I       | List-II tes,
(Grasslands) | (Country/Continent)
|B. Prairies [2 South Africa
|G velds     |. Russia
[D. Downs    [4 Australia
Code: 
ABCD",2 1 3 4,1 4 2 3,3 1 2 4,4 2 3 1,MPPCS Pre,2020.0
53,Which of the following pairs is not correctly matched?,Canyon - River,Zeugen - Wind,Inselberg - Glacier,Moraine - Glacier,"M.BP.C.S, (Pre)",2017.0
54,The Peneplain is related to:,wind,underground water,glacier,river,M.P.P.C.S. (Pre),2017.0
55,Formation of delta is affected by:,Rocks,Tide-ebb,Strong winds,Deep sea,M.P.P.C.S. (Pre),1993.0
56,"Sandstone is flaky rock, because",It is formed in the desert,It is formed due to Heat,It is formed underwater,It is formed on the mountain,M.P.P.C.S. (Pre),1993.0
57,Which of the following is a basic landform?,Volcanic cone,Residual mountain,Monadnock,Erosional waterfall,Uttarakhand P.C.S. (Pre),2016.0
58,Which one of the following is not anexample of Metamorphic rock?,Marble,Quartzite,Slate,Granite,"Uttarakhand P-C.S, (Pre)",2006.0
59,The molten material found inside the earth iscalled-,Lava,Basalt,Obsidian,None of the above,Uttarakhand P.C.S. (Pre),2006.0
60,"Which of the following statements about volcanoes are correct? 
1. The strength of a volcano is measured by the Volcanic Explosive Index.
2. Iceland and Philippines were created by volcanic activity.
3. Volcanic soils are rich, deep and fertile and allow intensive agriculture to take place.
Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",CDS-(1),2023.0
61,A peripediment in a desert or semi-desert region is also known as:,Inselberg,Zeugen,Bajada,Playa,CDS-,2022.0
62,"Individual lava flows are normally only a few feet thick, but over along period of time, repeated flows may build upa volcano. Such volcanoes are termed as:",Shield volcano.,Composite volcano.,Strato-volcano.,"Cinder-cone volcano,",CDS-,2022.0
63,Which one of the following sedimentary rocks has not been formed mechanically?,Sandstone,Conglomerate,Loess,Geyserites,CDS-,2022.0
64,"Match List I with List 11 Match List I with List I! and select the correct answer using
the code given below the Lists;
List i Drainage (List liFeature) = °°.
Pattern of River) |” tet
flow is controlled by
the rock structure
why it follows the
path it takes
C. Subsequent
3. Flow in the same direction as the consequent stream but at a lower level
4. Whose course is determined by the original slope of the land Code: 
ABCD",2 1 4 3,2 4 1 3,3 4 1 2,3 1 4 2,CDS-,2022.0
65,"Which one of the following processes leads to expansion of certain minerals as they take up water, causing additional stress in the rock?",Hydrolysis,Hydration,Oxidation,Carbonation ;,CDS-,2022.0
66,"When the rivers discharge their waters from all directions into a lake or depression, thepattern Is known as;",Treltis .,Dendritic,Radial,Centripetal,CDs,2021.0
67,Which one of the following is a type of Igneous rock?,Marble,Halite,Granite,Shale,CDS,2022.0
