q_no,q_statement,a,b,c,d,exam,year
12,Which one of the following factors is responsible for the change in the regular direction of the ocean currents tn the Indian Ocean?,Indian Ocean is half an Ocean,Indian Ocean has Monsoon drift,Indian Ocean is a land-locked ocean,Indian Ocean has greater variation in salinity,UPSC CSE Pre,1997.0
13,Which of the following pair of oceanic currents is shown in the given map:,Benguela and Falkland,Canary and Humboldt,Agulhas and Guinea,Benguela and Guinea,UPSC CSE Pre,1999.0
14,"Match lst-1 with list-II and select the correct answer using the codes given below the lists:
List-I              List-II
(Ocean)             (Maximum Deepest Point)
1. Sundra Trench       B. Arctic 
2. Puerto Rico           Trench
                       D.Auantic
4. Molloy Deep 
Code: (U.P.P.C.S. (Pre) 2022)

    A  B  C  D",3  2  1  4,3  4  1  2,4  3  2  1,1  2  3  4,,
15,Which one of the following denotes water salinity gradient?,Thermocline,Halocline,Pycnocline,Chemocline,U.P.P.C.S. (Pre) (Re-Exam),2015.0
16,Which of the following ocean currents does not belong to the Indian Ocean?,Agulhas Current,Mozambique Current,South Indian Ocean Current,Benguela Current,U.P.P.C.S. (Mains),2014.0
17,Which one of the following is a cold carrent of the South Atlantic Ocean?,Canary current,"Bengucla current
(e) agulhas current",,Brazil current,U.P.P.C.S. (Pre),2005.0
18,Which one of the following currents does not contribute to forming a complete circle of currents in the South Atlantic Ocean?,Bengucla,Brazil,Canary,West wind drift,"U.P.P.C.S, (Pre)",2000.0
19,Which one of the following salts contributes maximum to the salinity of sea water?,Calcium sulphate,Magnesium chloride,Magnesium sulphate,Sodium chloride,U.P.P.C.S. (Pre),2000.0
20,The highest salinity is found in:,Dead sea,Red sea,Great Salt Lake in the U.S.A.,Lake Van in Turkey,U.P.P.C.S. (Pre),1995.0
21,"When the denstty in the sea increases, then?",Salinity and depth decreases.,"Salinity increases but depth decreases,",Both salinity and depth increases.,Salinity decreases and depth increases.,"U.P.P.C.S, (Pre)",1990.0
22,Which is the world’s deepest trench?,Northern,Challenger,Manhattan.,Richards,U.P.P.C.S. (Pre),1991.0
23,The country benefiting the most out of the North Atlantic Drift is:,Poland,Portugal,Norway,Nigeria,R.A.S./R.T.S. (Pre),1999.0
24,The ocean current different from the remaining three is:,Benguela,Brazilian,South Equatorial,Peruvian,R.A.S./R.T.S.(Pre),1999.0
25,Which of the following oceanic currents does not flow in the North Atlantic Ocean?,Gulf Stream,Banguela,"Norwegian
(4) Florida",,Uttarakhand PCS (Pre),2021.0
26,Which one of the following Oceanic currents is not associated with the Pacific Ocean?,Canaries,Kuroshio,California,Humboldt,Uttarakhand P.C.S. (Pre),2016.0
27,Which one is the most extensive part of the oceanic floor?,Ocean Deeps,Oceanic Slope,"Oceanic Shelves
(4) Deep Sea Plains",,"Uttarakhand P.C.S, (Pre)",2012.0
28,"Match list-I with list-II and select the correct answer using the codes given below the lists:

B. West Wind Drift |2. A slow eastward movement of water over the zone of westerly wind

D. West Australian | 4. Warm current Current
Code: 
ABCD","4 2,1 3",1 3 4 2,4 3 1 2,1 2 4 3,Uharkhand PCS (Pre),2013.0
29,Main Source of Salinity of the Sea is-,Rivers,Land,Wind,Ash ejected from the Volcano,"53rd to 55th B.P.S.C, (Pre)",2011.0
30,The distance between two successive crests or troughs of sea waves is called as,Wavelength,Wave height,Wave frequency,Fetch,CAPF,2020.0
31,"Consider the following statements relating to Sea Salinity:
1, Theocean salinity depends on evaporation and precipitation.
2. Any change in the temperature or density influences the salinity.
3. Major source of sea salinity is terrestrial discharge by rivers.
Which of the statements given above are correct?",l and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",CAPF,2016.0
32,Which of the following statements with regard to the continental shelf is not correct?,Shelves are absent close to plate boundaries,They are highly sedimented,They have abrupt falls towards the continental slopes,They are rich fishing areas,CAPF,2015.0
