q_no,q_statement,a,b,c,d,exam,year
45,"Consider the following statements:
Statement (A): During the times of neap- tide, high-tide is below normal and low-tide is above normal.
Reason (R): Neap-tides occurs during the new-moon instead of full-Moon.

Choose the correct answer using following options.","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) ts not the correct explanation of (A).","(A) is true, but (R) is false","(A) is false, but (R) is true.",UPSC CSE Pre,1998.0
46,"The correct sequence of different layers of the atmosphere from the surface of the
Earth upwards is: (UPSC CSE Pre 1998)","Troposphere, Stratosphere, Ionosphere, Mesosphere.","Stratosphere, Troposphere, Ionosphere, Mesosphere,","Troposphere, Stratosphere, Mesosphere, Tonosphere.","Stratosphere, Troposphere, Mesosphere, Tonosphere.",,
47,Which one of the following countries Is the largest producer of fuelwood in the world?,Indonesia,Russia,India,China,UPSC CSE Pre,1997.0
48,"Given below are two statements one labelled as Assertion and the other labelled as Reason (R).  Assertion 
(A): Areas lying within five to eight-degree latitude on cither side of theequator receive rainfall throughout the year.Reason
(R): High temperature and high humidity cause convectional rainfall mostly tn the noon near the equator, By using the codes given below, select the correct answer;","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",UPSC CSE Pre,2003.0
49,"Match list- with list-Il and select the correct answer using the codes given below the lists: List-I List-II ~ : (Timber) (Country)
1, Myanmar
B. Douglas Fir 2. Canada
C. Mahogan
D. Teak 4 Honduras Code:  ABCD",3 2 1 4,3 2 4 1,2 3 4 1,2 3 1 4,UPSC CSE Pre,1999.0
50,"Given below are two statements, one is labelled as Assertion and the other as Reason (R).
Assertion (A): Rainfall occurs in the winter season in Mediterranean climate.
Reason (R): In summer these regions remain under the influence of dry terrestrial winds. b Select the correct answer from the codes given below.",(A) is true but (R) is false.,"Both (A) and (R) are true, and (R) is the correct explanation of (A).",(A) is false but (R) is true.,"Both (A) and (R) are true, but (R) is not the correct explanation of (A).",U.P.P.C.S. (Pre),2022.0
51,"Which one of the following pairs is not correctly matched? 
Name of local winds Country
Spain",NA,Brick fielder Australia,Black roller North America,Shamal,U.P.P.C.S. (Pre),2021.0
52,Which one of the following Is associated with ‘Albedo’? (U.P.P.C.S. (Pre) 2019),Transmitting power,Absorbing power,Emissive power,Reflecting power,,
53,"Match list-I with list-12 and sclect the
correct answer using the codes given below
the lists:
List-l °°"" | List-IE °
(Vegetation Type) | (Region) -
1. California
B. Fynbos 2. Mediterranean
Sea Coastal
Region
C. Chaparral 3. South Africa
D.Matorral___4. Chite
Code: 
ABCD",2 3 1 4,4 3 21,3 4 1 2,4 2 301,U-P-P.C.S. (Pre),2019.0
54,"Match list-I with list-Il and select the correct answer using the codes given below the lists:
List-I List- ll. 7°
(Natural: ° :- . | (Region)
Vegetation) ' +.‘ : te st
A. Epiphyies__ 1, Mednerronean |
B. Acacia 2. Equatorial
C. Baobab 3. Sahara
4. Savanna
Code: (U.P.P.C.S, (Pre) 2019)
ABCD",2 3 4 1,2 3 1 4,2 4 3 1,2 4 1 3,,
55,"Match list-I with list-Il and sclect the correct answer using the codes given below the lists:
List-I .. og [List . 0
(Different name of | (Country) >:
Tropical cyclone) : :
A, Willy- Willies 1, Philippines
B. Taifu 2. Australia
C. Baguio 3. Japan
D. Hurricancs 4. USA
Code: 
ABCD",3 4 1 2,2 3 4 2,1 3 2 4,2 3 1 4,U.P.P.C.S. (Pre),2019.0
56,"Which of the following ts not correctly
matched? 1U.P.P.C.S. (Pre) 2019]",,"Haboob [sudan
]Misa",,,,
57,"Which of the following is concerned with
soil?",Edaphic,Climatic,Biotic,Topography,U.P.P.C.S. (Pre),2018.0
58,Asaresult of global warming the frequency and severity of which of the following are Increasing due to global warming?,Cyclones only,Storms only,Hurricanes only,All of the above,U.P.P.C.S (Pre),2018.0
59,"Arrange in chronological order:
1. Patpara formation
2. Khetaunhi formation
3. Baghor formation
4. Sihawal formation
Code:","1,4, 2,3","4, 1,3,2","1,2, 3,4","4,3,2,1",U.P.P.C.S. (Mains),2017.0
60,Which of the following continents has all types of climatic zones?,South America,North America,Australia,Asia,U.P.P.C.S. (Mains),2016.0
61,Which one of the following pairs 1s not correctly matched? (U.P.P.C.S. (Pre) 2016),Foehn - Alps Mountain,Bora - Poland,Mistral - Rhine Valley,Khamsin - Egypt,,
62,Which of the following countrics has a constitutional provision for maintaining 70% of its geographical area under forest? (U.P.P.C.S. (Mains) 2016),Maldives,Nepal,Bhutan,Afghanistan,,
63,Which of the following scales is used to measure the damage by a hurricane?,Saffir-Simpson Scale,Mercalli Scale,Fujita Scale,Richter scale,U.P.P.C.S. (Mains),2016.0
64,Taiga forests are characteristics of-,Equatorial region,Tropical region,Sub-tropical region,Temperate region,U.P.P.C.S. (Mains),2016.0
65,"Consider the following statements; Assertion (A): Of the soil species, clay holds maximum water.
Reason (R): Porosity is found to be of large size in clay. Code:","(A) and (R) both are correct, and (R) is the correct explanation of (A).","(A) is correct, but (R) is wrong.","(A) and (R) both are correct, but (R) is not the correct explanation of (A).","(A) is wrong, but (R) is true,",U.P.P.C.S. (Pre),2015.0
66,Air pressure is lowest in:,Winter season,Spring season,Autumn season,Summer season,U.P.P.C.S. (Pre),2014.0
67,"Which one of the following climates are associated with the shifting of the pressure belts? Select the correct answer from the code given below:
1. Equatorial climate
2. Mediterranean climate
3. Monsoon climate
4. Western European climate Code: (U.P.P.C.S. (Mains) 2010)",1 and 2 only,I and 3 only,2 and 3 only,2 and 4 only,,
68,Which layer of atmosphere Is responsible for Aurora Borealis? (U.P.P.C.S (Pre) 2010),Troposphere,Thermosphere,lonosphere,Exosphere,,
69,Which one of the following layers of the atmosphere js responsible for the deflection of radio waves? (U.P.P.C.S. (Mains) 2005),Troposphere,Stratosphere,Mesosphere,Ionosphere,,
70,"Match list-I with fist-Il and select the correct answer using the codes given below the liste:
List
A. Australia Hurricanes |
B. China Willy-Will phoons
D. USA | Cyclones
Code: 
ABCD",t 2093 4,2 3 4 1,3 2 1 4,3 2 0 1,U.P.P.C.S. (Mains),2005.0
71,Which one of the following regions of the U.S.A. is known as ‘Tornado Alley’? [U.P.P.C.S. (Pre) 2005,Atlantic Seaboard,Pacific Coast,Mississippi Plains,Alaska,,
72,Which one of the following is not correctly matched?,Chinook - U.S.A.,Strocco - Sicily,Blizzard - Chile,Norwesters - India,U.P.P.C.S. (Pre),2005.0
73,"Consider the following statements: . 
Assertion (A): The Mediterranean regions have rainy winters.
Reason (R): During winter, they lie in the
belt of the Westerlies.
Select the correct answer from the code given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.","U.P.P.C.S, (Mains)",2004.0
74,Which of the following statements is not true? (U.P.P.C.S. (Pre) 2002),Presence of water vapour is highly variable in the lower atmosphere.,"The zone of maximum temperature is located along the equator,",Frigid zones are located in both the hemispheres between the polar circles and the poles.,Jet. streams are high altitude winds affecting the surface weather conditions.,,
75,"Consider the following statements: 
Assertion (A): The ports of north-west Europe are open throughout the year.
Reason (R): The south-westerly winds blow over north-west Europe throughout the year.
Select the correct answer using the code given below,","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).",(A) fs true but (R) is false.,"(A) is false, but (R) is true.",U.P.P.C.S. (Mains),2002.0
76,"Which one of the following is the correct sequence of the climatic regions while going from Zaire to the Netherlands?
1. Equatorial climate
2. Mediterranean climate
3. Hot desert climate
4. West European climate Code:","1,3,2,4","1,4,2,3","2,3,4,1","3,2,1,4",U.P.P.C.S. (Pre),2002.0
77,The coniferous forests are not found in:,Amazonia,Scandinavia,Canada,Finland,U.P.P.C.S. (Pre),2001.0
78,"Consider the following statements: Assertion (A): The atmosphere receives most of the heat only indirectly from the sun anddirectly from the earth's surface,
Reason (R): The conversion from shortwave solar to long wave terrestrial energy takes place at the earth's surface. Code:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) ere true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),1997.0
79,The Tornadoes are very strong tropical cyclones originating in: 7,Black Sea,China Sea,Arabian Sea,,"U.P.P.C.S, (Pre)",1996.0
80,Spring Tide occurs,"When the Sun the Earth and Moon are in a straight line,",When the Sun and Moon make a right angle.,When a strong wind blows.,When the night is very cold.,U.P.P.C.S. (Pre),1999.0
81,"Match list-I with Hst-II and select the correct answer using the codes given below the lists: Mist Pastel Say
(Region) -.- - (Type of Climate)
A. California [1. Mediterranean |
2. Tropical Monsoon
C. Bangladesh 3. Cold Temperate
Code: 
ABCD",1 2.3 4,1 4 2 3,2 3 4 1,2 4 1 3,U.P.P.GS. (Pre),1999.0
82,"In which of the following countries of Africa, dense, hot and humid forests are found?",South Africa,Kenya,Zimbabwe,,U.P.P.C.S. (Pre),1998.0
83,Soil leaching is a major problem,In tropical rainforests,In African savanna,In Mediterranean regions,In Australian Dawns,U.B.P.C.S. (Pre),1998.0
84,The winds flowing from high-pressure area toward the Mediterranean Sea are-,Westerly,Trade wind,Monsoonal wind,Sea wind,"U.P.P.C.S, (Pre)",1992.0
