q_no,q_statement,a,b,c,d,exam,year
82,Which one of the following east flowing tivers of India has cift valley due to down warping?,Damodar,Mahanadi,Son,Yamuna,UPSC CSE Pre,1998.0
83,Some people in Manipur live in houses built on floating islands of weeds and decaying vegetation held together by suspended silt. These islands are called-,Tipis,Burkhans,Phuindi,Tazba,UPSC CSE Pre,1998.0
84,"In the map shown in the given figure, rivers labelled 1, 2, 3 and 4 respectively are: 
MAP","Kosi, Gomati, Ghaghara and Gandak","Kosi, Ganga, Gomati and Ghaghara","Gandak, Ganga, Gomati and Ghaghara","Teesta, Gomati, Ghaghara and Kosi",UPSC CSE Pre,1997.0
85,"Consider the map given below:
The place marked A, B, C and D in the map are respectively: 
MAP","Rift valley region, Chhattisgarh plain, Rain shadow region and Chhota Nagpur plateau","Chhattisgarh plain, Chhota Nagpur plateau, Rift valley region and Rain shadow region","Rift valley region, Chhattisgarh plain, Chhota Nagpur plateau and Rain shadow region","Chhattisgarh plain, Rain shadow region, Chhota Nagpuc plateau and Rift valley region",UPSC CSE Pre,1997.0
86,"Match list-I with tist-II and select the correct answer using the codes given below the lists:

List
1, Late Cenozoic
2, Pre-Cambrian
C, Aravalli 3. Cretaceous
Eocene
D. Narmada-Tapu 4. Cambrian
alluvial deposits
Code: (UPSC CSE Pre 1997
ABCD",3 2 1 4,3 12 5,2 1 3 4,1 4 2 5,,
87,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I (Climatic List-II (Reasons)
condition) : : _
A. Chennai is 1, North-East
warmer than Monsoon
Kolkata
B. Snowfall in 2. Altitude
Himalaya
C. Rainfall 3. Western
decreases from depressions
West Bengal to
Punjab
D. Sutlej-Ganga 4. Distance from sea
plain gets some
rain in winter
stated
Code: 
ABCD",l 2 4 5,4 5 1 3,5 2 4 3,5 13 4,UPSC CSE Pre,1997.0
88,"“You might see a few curious Danes around, but that is because ....... used to be Danish out post. This quaint town with its fort and a beautiful church, the New Jerusalem, empty streets and deserted beach front is a quaint gem.” The place referred to in this quotation lies on the-",Tamil Nadu Coast,Kerala Coast,Karnataka Coast,Goa Coast,UPSC CSE Pre,1996.0
89,“Saddle peak” the highest peak of Andaman & Nicobar Is located in-,Great Nicobar,Middle Andaman,Little Andaman,North Andaman,UPSC CSE Pre,1996.0
90,"Which one of the following rivers thrice forks into two streams and reunites a few miles farther on, thus forming the islands of Srirangappattanam, Sivasamudram, and Scirangam?",Gauvery,Junge adra,Krishna,Godavari,UPSC CSE Pre,1996.0
91,"Consider the following rivers:
1, Kishan Ganga
2. Ganga
3. Wain Ganga
4. Pen Ganga
The correct sequence of these rivers when arranged in the north-south direction is-","1,2,3,4","2,1,3,4","2,1,4,3","1,2, 4,3",UPSC CSE Pre,1996.0
92,High temperature and low pressure over the Indian Subcontinent during the summer season draws air from the Indian Ocean leading to the in-blowing of the:,South-East monsoon,South-West monsoon,Trade winds,Westerlies,UPSC CSE Pre,1996.0
93,"Consider the map given below:
MAP
The divisions along India’s coastal region
indicate?",Coastal pollution zones,Salinity density isopleths,The areas upto which sovereignty extends,Underwater rellef contours,UPSC CSE Pre,1995.0
94,"Examine the map of Jammu and Kashmir given below:  
MAP
The mountains ranges marked 1, 2, 3 and 4
respectively:","Ladakh, Zanskar, Karakoram and Pir Panjal","Karakoram, Pir Panjal, Zanskar and Ladakh","Karakoram, Ladakh, Zanskar and Pir Panjal","Ladakh, Pir Panjal, Karakoram and Zansker",UPSC CSE Pre,1995.0
95,"During ancient Indian historical geography, the term ‘Ratnakara’ denoted-",The Arabian Sea,The Bay of Bengal,The Indian Ocean,"The Confluence of the Ganga, the Jamuna and the mythical Saraswati in Prayag",UPSC CSE Pre,1994.0
96,"The Himalayas are formed of parallel fold ranges, of which the oldest range is-",The Shiwalik Range,The Lesser Himalayas,The Great Himalayan Range,The Dhauladhar Range,UPSC CSE Pre,1994.0
97,"Consider the following statements: 
Assertion (A): The Monsoonal rainfall decreases as one goes toward the West and North-West in  the Ganga plain.
Reason (R): The moisture bearing Monsoonal winds go higher as one moves up in the Ganga plain.
In the context of the above two statements,which one of the following is correct?","Both (A) and (R) are true, and (R) is
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).
(¢) (A) is true, but (R) is false.",,"(A) Is false, but (R) is true.",UPSC CSE Pre,1994.0
98,"Consider the map of India given below:

MAP
The map shows:",An Isohyet,All India water divide,A combination of national highways,A combination of major highway route,UPSC CSE Pre,1994.0
99,Which one of the following soil types of India is rendered infertile by the presence of excess iron? (UPSC CSE Pre 1994),Desert sand,Alluvial,Podzolie,Lateritic,,
100,Which one of the following crops enriches the Nitrogen content in soil?,Potato,Sorghum,Sunflower .,Pea,UPSC CSE Pre,1994.0
101,Which one of the following types of erosion is responsible for the formation of Chambal Ravinest,Splash,Sheet,Rill,Gully,UPSC CSE Pre,1994.0
102,Farmland tends to erode most rapidly when planted with:,Clover,Potato,Wheat,,UPSC CSE Pre,1994.0
103,"Consider the climate diagram given below:

#: 7 3
x %,
yp 3 & May June July ‘ny,
£ 30
FH A Ag
= 3s note
& 204 sue
Es rom
sf
pl, -
= 54% »
0 * va
» #0 a a 200
Relative Mumblity (Perccatage)
The above diagram is related to the climate of which of the following regions?",North-West region of India,South region of India,Central region of India,North-East region of India,UPSC CSE Pre,1993.0
104,Which among the following pairs of places have most marked differences in total annual rainfalis even though located approximately along the same latitude?,Bengaluru and Chennai,Mumbai and Vishakhapatnam,Ajmec and Shillong,Nagpur and Kolkata,UPSC CSE Pre,1993.0
105,A rainy day as defined by the Indian meteorological department is a day when the rainfall at « point received is:,0.5 mm to 1 mm in 24 hours.,1.1 mm to 1.§ mm in 24 hours.,1.6 mm to 2 nim in 24 hours.,Above 2.5 mm in 24 hours.,UPSC CSE Pre,1993.0
106,Soils of western Rajasthan have a high content of:,Aluminum,Calcium,Nitrogen,Phosphorus,UPSC CSE Pre,1993.0
107,"A fertile soil, suitable for growing common crops Is likely to have a pH value of:",Three,Four,Six to seven,Nine to ten,UPSC CSE Pre,1993.0
108,"With reference to India, which of the following statements is/are correct?
1. India is the sixth largest country of the world,
2. India occupies about 2.4% of the total area of the world,
3. The Tropic of Cancer passes through the middle of the country dividing into two latitudinal halves.
4. India lies completely in tropic zone.
Select the correct answer from the code givenbelow:",2 and 4,1 and 2,2 and 3,3 and 4,U.P.P.C.S. (Pre),2022.0
109,"Match list-F with list-II and select the correct answer using the codes given below the lists:
Liste or. a List-HE
(Waterfalls of ladia) | (Location).
A. Dudhsagar
B. Barkana    2. Odisha 
C. Khandadhar 3. Himachal Pradesh
DB Paian
Code: 
ABCD@4321",,"401023
3 2 41
(123 4",,,UPPCS (Pre),2022.0
110,"Given below are two statements, one is labelled as Assertion (A) and the other as
Reason (R).
Assertion (A): Agraand Darjeeling are located on the same latitude, but the temperature in
January in Agra is 160 Centigrade whereas it is only 40 Centigrade in Darjeeling.
Reason (R): Temperature decreases with height and due to thin air, places in the mountains are cooler than places in the plains.
Select the correct answer from the code given below.","Both (A) and (R) are true and (R) is the
correct explanation of (A)","Both (A) and (R) are true but (R) is not
the correct explanation of (A)",(A) is false but (R) is true,(A) is true but (R) is false,UPPCS (Pre),2022.0
111,"Match list-1 with list-II and select the correct answer using the codes given below the lists:
List-I (State of India) | List-Il (Highest
tot : -(Peak) 
1. Dhapgarh Peak
2. Saramati Peak
C. Nagaland 3. Gurushikhar Peak
D. Madhya Pradesh =| 4, Doddabetta Peak
Code: (UPPCS (Pre) 2021)
ABCD",3 2 1 4,1 4 3 2,4 2 3 1,4 3 2 1,,
112,Which one of the following rivers is not the part of Indian Ganga River basin?,Punpun river,Ajoy tives,Jalangi river,Jonk river,"U.P.P.C.S, (Pre)",2021.0
113,Largest saline water lake in India is:,Chilika,Sambhar,Lonary,Wullar,U.P.P.C.S. (Pre),2021.0
114,"Given below are two statements, one is labelled as Assertion (A) and other as Reason (R):
Assertion (A): Teesta River was earlier a tributary of Ganga now it is a tributary of brahmaputra.
Reason (R): River capturing is a major feature of Himalayan rivers,

Select the correct answer using the codes given below,",Both (A) and (R) are true and (R) is correct explanation of (A).,"Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.","U.P.P.C.S, (Pre)",2021.0
115,"Match list-I with list-II and select the correct answer using the codes given below the Itsts:
[B. Badkhal Lake |2. Haryana |
Code: (UPPCS (Pre) 2020)
ABCD",1 2 3 4,2 1 3 4,1 3 2 4,1 4 2 3,,
116,". Consider the following tributaries of River Yamuna and arrange them from West to East:
1. Betwa
2. Ken
3. Sindh
4. Chambal
Select the correct answer from the codes
given below.","4,3, Land 2","1,2, 3and 4","3,2, 1 and 4","2,3, land 4",U.P.P.C.S. (Pre),2020.0
117,"Given below are two statements, one is labelled as Assertion (A) and the other as Reason (R).
Assertion (A): The highest concentration of Seismic zones lies in the Himalayan region in India.
Reason (R): There are many longitudinal 1 thrust zones in the Himalayas.
Select the correct answer from the codes
given below:","Both (A) and (R) are true and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false","(A) is false, but (R) is true,",U.P.P.C.S. (Pre),2019.0
