q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
21,Which one of the following scripts of ancient India was written from right to left?,Brahmi,Nandnagari,Sharada,Kharoshti,UPSC CSE Pre,1997,,
22,"The Badami rock inscription of Pulakesin I is dated in the Saka year 465. If the same were to be dated in Vikrama Samvat, the year would be:",601,300,330,407,UPSC CSE Pre,1997,,
23,"According to ancient Indian cosmogonic ideas, the sequential order of the cycle of four epochs (yugas) is-","Dvapara, Krita, Treta and Kali","Krita, Dvapara, Treta and Kali","Krita, Treta, Dvapara and Kali","Treta, Dvapara, Kali and Krita",UPSC CSE Pre,1996,,
24,Which one of the following was a Shaiva sect in ancient India?,Ajivika,Mattamayura,Mayamata,Isanasivagurudeva Paddhati,UPSC CSE Pre,1996,,
25,The silver coins issued by the Guptas were called: -,Karshapana,Dinara,Rupaka,Nisc,UPSC CSE Pre,1996,,
26,“Zero” was discovered by-,Aryabhatta,Varahmihira,Bhaskara-I,An anonymous Indian,UPSC CSE Pre,1995,,
27,"Who among the following were famous jurists of medieval India?
1. Vigyanesvara
2. Hemadri
3. Rajashekhara
4. Jimutavahana
Code:","1,2 and 3","2,3 and 4","1,2 and 4",1 and 3,UPSC CSE Pre,1995,,
28,During the Rigvedic Period word ‘Nishka’ was used for a Jewellery but in later period it was used for the meaning of:,Arms,Farming equipment,Script,Coin,UPSC CSE Pre,1993,,
29,The first scholar who read Ashokan edicts was,Buhler,Robert Sebel,James Prinsep,Cordriguttan,UPSC CSE Pre,1993,,
30,Who among the following introduced the famous Persian festival ‘Navroz’ in India?,Balban,Iltutmish,Firuj Tughluq,Alauddin Khalji,UPSC CSE Pre,1993,,
31,"Match list-I with list-II and select the correct answer using the codes given below the lists:
list-I          list-II
A.Shiva     1.Chakra
B.Vishnu    2.Trident
C.Ganesh    3.Veena
D.Saraswati 4.Rope or noose
Code: 
ABCD",4 3 1 2,2 1 4 3,1 2 3 4,3 2 1 4,U.P.P.C.S. (Pre),2022,,
32,"With reference to the Satavahanas Rulers which of the following statement/s is/are true? 
1. The Satavahana Kings were the nurtures of Prakrit language.
2. Public aspect of the arts got more encouragement during the Satavahana period.

Select the correct answer using the codes given below.",Only 1,Both 1 and 2,Only 2,Neither 1 nor 2,U.P.P.C.S (Pre.),2021,,
33,"Match list-I with list-II and select the correct answer using the codes given below the lists:
list-I        list-II
A.Jajmani     1.North India
B.Bara Balute 2.Karnataka
C.Mirasi      3.Maharashtra
D. Adade      4.Tamil Nadu
Code: 
ABCD",l 2 3 4,1 3 2 4,1 4 2 3,1 3 4 2,U.P.P.C.S. (Pre),2020,,
34,"Given below are two statements, one labelled as Assertion and the other as Reason (R):
Assertion (A):Akbar, like Shershah, tried to regulate the currency of the state.
Reason (R):As in Shershah’s currency, the chief copper coin of Akbar’s time was the Dam.

Select the correct answer from the codes given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is notthe correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2019,,
35,Both Sankarshana and Vasudeva are depicted on the coins of which of the following rulers?,Havishka,Kanishka,Samudragupta,Agathocles,U.P.P.C.S. (Mains),2017,,
36,Who was the first Sultan of Delhi who introduced regular coins and declared Delhi the capital of his empire?,Nasiruddin Mahmud,Iltutmish,Aram Shah,Balban,"U.P.P.C.S, (Mains)",2014,,
37,"Who was the medieval king responsible for introducing the silver coin called ‘Tanka
in North India?",Iltutmish,Raziyya,Alauddin Khalii,Muhammad Tughlug,U.P.P.C.S. (Pre),2013,,
38,Who among the following was not an ‘Alvar Saint’?,Poigai,Tirugyan,Pudam,Thirumangai,U.P.P.C.S. (Pre),2013,,
39,"The most learned ruler of the Delhi Sultanate who was well versed in various branches of learning including Astronomy, Mathematics and Medicine was-",Iltutmish,Alauddin Khalji,Muhammad-Bin-Tughluq,Sikandar Lodi,U.P.P.C.S. (Mains),2012,,
40,On whose coins the name of the last Caliph of Baghdad appeared for the first time?,Qutbuddin Aybak,Iltutmish,Alauddin Khalji,Alauddin Masud Shah,U.P.P.C.S (Pre),2012,,
41,South Indian Festival of ‘Onam’ is associated with which of the following?,Ram’s Victory over Rawan,Durga’s Killing of Mahishasur,Shiva Shakti,Mahabali,U.P.P.C.S (Pre),2011,,
42,‘Athapoo’ is associated with which of the following festivals?,Dol Yatra,Onam,Pongal,Vishwakarma Puja,U.P.P.C.S (Pre),2011,,
43,Who among the following rulers issued some coins with figures of Rama and Sita and Devanagari legend ‘Rama-Siya’?,Bhoja,Siddharaja Jayasimha,Zain-ul- Abidin,Akbar,"U.P.P,.C.S. (Mains)",2011,,
44,Buddha is depicted on the coins of:,Vima Kadphises,Kanishka,Nahpaad,Budhagupta,U.P.P.C.S. (Pre),2010,,
45,Which of the following Kings is credited to have issued gold coins fer the first time?,Kujula Kadphises,Vima Kadphises,Kanishka,Huvishka,U.P.P.C.S. (Mains),2009,,
46,The earliest inscription on stone was in which language?,Pali,Sanskrit,Prakrit,Brahmi,U.P.P.C.S. (Pre),2009,,
47,In whose regime Guru Nanak Dev founded Sikh religion?,Firuz Shah Tughluq,Sikandar Lodi,Humayun,Akbar,U.P.P.C.S. (Spl) (Pre),2008,,
48,Who among the following deities is represented in art as holding the plough?,Krishna,Balarama,Kartikeya,Maitreya,U.P.P.C.S. (Mains),2007,,
49,The Ochre-coloured Pottery (O.C.P.) was christened at:,Hastinapur,Abichhatra,Noh,Red Fort,U.P.P.C.S. (Mains),2006,,
50,"Consider the following statements: 
Assertion (A): The scheme of the token currency of Muhammad Tughluq proved unsuccessful.
Reason (R): Muhammad Tughlug did not have the proper control over currency issue.
Choose the correct answer from the codes given below:","Both (A) and (R) is individually true, and (R) is the correct explanation of (A).","Both (A) and (R) is individually true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2606,,
51,"Match List-I with List-II and select the correct answer using the codes given below the lists-
List-I      List-II
A.Bihu      1.Assam
B.Onam      2.Kerala
C.Pongal    3.Tamil Nadu
D.Vaisakhi  4.Punjab
Code: 
ABCD",1 2 3 4,4 2 3 1,2 3 4 1,l 3 4 2,U.P.P.C.S. (Mains),2004,,
52,"For the first time,the token currency was introduced in India by:",Akbar,Alauddin Khalji,Bahlul Lodi,Muhammad-Bin-Tughluq,U.P.P.C.S. (Spl) (Mains),2004,,
53,Which Kand of Ramayana describes the first meeting of Rama and Hanumana?,Kishkindha Kand,Sunder Kand,Bal Kand,None of the above,U.P.P.C.S. (Mains),2004,,
54,Given below is a traditional list dresses of women along with States. Which one of them is not correctly matched?,Boku - Sikkim,Mekhala - Assam,Mundu - Chhattisgarh,Pheran - Kashmir,U.P.P.C.S (Pre),2003,,
55,Kumbh Mela at Nasik is held on which of the following riverbank?,Tapti River,Narmada River,Koyna River,Godavari River,U.P.P.C.S. (Mains),2003,,
56,Losoong is a festival which is celebrated in:,Tibet,Arunachal Pradesh,Sikkim,Kerala,U.P.P.C.S. (Pre),2003,,
57,Who of the following is especially known for his contribution in the field of Algebra?,Aryabhatta,Brahmagupta,Bhaskar,Lall .,U.P.P.C.S. (Pre),2002,,
58,Mughals adopted “Navroj” festival from-,Parsi,Jews,Mongols,Turks,"U.P.P.C.S, (Pre)",2001,,
59,Who among the following issued silver coins with Sanskrit legend on one side?,Muhammad-Bin-Qasim,Mahmud of Ghazni,Sher Shah,Akbar,U.P.P.C.S. (Pre),2000,,
60,"In the course of pilgrimage, Emperor Ashoka visited the following places. Which route did he follow? Select the correct answer from the codes given below:
1. Gaya
2. Kapilavastu
3. Kushinagar
4. Lumbini
5. Sarnath
6. Shravasti
Code:","1, 2, 3, 4,5 and 6","1, 3, 4, 2,5 and 6","4, 5, 6, 3,2 and 1","4, 2, 1, 5,3 and 6",U.P.P.C.S. (Pre),1999,,
61,"Ardhanarisvara, a figure of half Siva and half Parvati, represents:",Union of male and female,Union of God and Goddess,Union of God with his Shakti,None of the above,U.P.P.C.S. (Pre),1997,,
62,Who were the first to worship Vasudeva Krishna?,Bhagavatas,Vedic Aryans,Tamilians,Abhirs,U.P.P.C.S. (Pre),1997,,
63,"Which of the following statements are correct about Mauryan Kings? They developed-
A. Culture, Art and Literature
B. Gold coins
C. Provincial Division
D. Kingship to Hindukush
Code: -",Only A,Only B,"A, Band C","A, C and D",U.P.P.C.S. (Pre),1990,,
64,Why is Good Friday of Christians celebrated?,Jesus Christ had died,Jesus Christ was born,Jesus Christ crucified,AD was introduced,U.P.P.C.S. (Pre),1990,,
65,Name the holy place in which the main God is different from other three?,Amarnath,Jagannath,Kedarnath,Vishwanath,U.P. Lower Sub. (Pre),2002,,
66,"Which of the following epic has primarily mentioned Krishna, son of Devaki?",Mahabharata,Chhandogya Upanishad,Ashtadhyayi,Bhagavata Purana,R.A.S./R.T.S.(Pre),1999,,
67,The originator of Bhagavata Religion was-,Janak,Krishna,Yagyavalkya,Surdas,R.A.S./R.T.S. (Pre),1993,,
68,The spirit of Christians behind the festival of Easter is-,Jesus preached this day,Jesus departed from the world,Jesus went to Nazareth,The day of Resurrection of Christ,R.A.S./R.T.S. (Pre),1992,,
69,In what context does ‘Panahi’ and ‘Upanah’ mentioned in the medieval Indian History?,Cloth,Jewellery,Accommodation,Shoes,M.P.P.C.S. (Pre.),2020,,
70,The Rigvedic “Pani” belong to which class of citizens?,Priests,Ironsmiths,Goldsmiths,Traders,M.P.P.C.S. (Pre),2019,,
71,With which religion is Kalika Purana associated?,Vaishnavism,Shaktism,Buddhism,Jainism,M.P.P.C.S. (Pre),2018,,
72,Which of the following Mughal Emperors introduced educational reforms?,Jahangir,Shah Jahan,Humayun,Akbar,"M.P.P.C.S, (Pre)",2014,,
73,"Match list-I with list-II and select the correct answer using the codes given below the lists:
list-I       list-II
A. Jainism   1.Madina
B. Hinduism  2.Vatican
C.Islam      3. Pavapuri
D. Christianity 4.Varanasi
Code: 
A B C D",3 1 4 2,1 2 4 3,3 4 1 2,2 3 1 4,MPPCS (Spl) (Pre),2004,,
74,What is the Jewish place of worship called?,Church,Synagogue,Mosque,None of these,M.P.P.C.S. (Pre),1995,,
75,In which place Kumbh Mela is held every twelfth years?,Prayag-Haridwar-Ujjain-Nashik,Chitrakoot-Ujjain-Prayag-Haridwar,Rameshwaram-Puri-Badrinath-Dwarika,Ujjain-Puri-Prayag-Haridwar,M.P.P.S.C. (Pre),1995,,
76,Who established Gupta Samvat?,Chandragupta-I,Srigupta,Chandragupta-II,Ghatotkach,M.P.P.C.S. (Pre),1991,,
77,The pure silver ‘rupiya’ was issued by-,Akbar,Sher Shah,Jahangir,Aurangzeb,Jharkhand P.C.S. (Pre),2016,,
78,Halbi is related to which language family?,Aryan,Dravidian,Mundari,None of these,Chhattisagarh P.C.S. (Pre),2018,,
79,In context of Indian culture who among the following is called Ananga?,Shiva,Krishna,Kama,Laxman,"Chhattisgarh P.C.S, (Pre)",2036,,
80,Which one of the following Ashokan inscription is in “Kharosthi” script?,Khalsi,Girnar,Shahbazgarhi,Meerut,Chhattisgarh P.C.S. (Pre),2011,,
81,Which ruler of Bengal founded the ancient University called “Vikramshila’?,Dharamapala,Gopala,Devpala,Mahipata,Chhattisgarh P.C.S. (Pre),2011,,
82,How many Jyotirlingah are there devoted to Lord Shiva?,6,12,24,18,Chhattisgarh P.C.S. (Pre),2011,,
83,The famous “Gangasagar Mela is held in which of the following states of India?,Gujarat,West Bengal,Andhra Pradesh,Rajasthan,Uttarakhand PCS (Pre),2021,,
84,Which one of the following places was not the centre of learning during early medieval period?,Nalanda,Vikramshila,Taxila,Uddantapur,Uttarakhand P.C.S. (Pre),2016,,
85,"After the downfall of the Delhi Sultanate, who was the first ruler to issue the gold coins?",Akbar,Humayun,Shah Jahan,Sher Shah,Uttarakhand P.C.S. (Pre),2012,,
86,The earliest reference of ‘Magnetic Compass’ is found in:,Miftahul Fuzala,Chachnama,Ranazatu’s Safar,Jawamiul Hikayat,Uttarakhand E.C.S. (Pre),2012,,
87,What is ‘Kaaba’?,Hindu Shrine,Jew’s Shrine,Muslim Shrine,None of the above,Uttarakhand P.C.S. (Pre),2010,,
88,Coins of which Muslim ruler bear an image of Devi Lakshmi?,Muhammad Ghori,Alauddin Khalfji,Akbar,None of the above,Uttarakhand P.C.S. (Pre),2006,,
89,"In India, many pilgrims travei to Srisailam, which is one of the twelve Jyotirlingas, is
located in-",in Tapovan near Uttaranchal,in Tamil Nadu near Arunachal,in Andhra Pradesh near Kurnool,in Kerala near Kaladi,Uttarakhand P.C.S. (J) (Pre),2005,,
90,"In which among the following states, ‘Odantipur’ Education Centre was situated?",Bengal,Bihar,Gujarat,Tamil Nadu,B.P.S.C (Pre),2016,,
91,Language used in the inscriptions of Ashoka is:,Sanskrit,Prakrit,Pali,Hindi,44th B.P.S.C. (Pre),2000,,
92,Which colour was commonly used in the Harappan Pottery?,Red,Blue grey,Yellow,Blue,40th B.P.S.C. (Pre),1995,,
93,Who contributes the most in the development of Bhagavata sect?,Persian,Indo-Greek people,Kushan,Gupta,39th B.P.S.C. (Pre),1994,,
94,Which one of the following statements about coins struck during 200 BCE to 300 CE in the Indian sub-continent is not correct?,The Indo-Greeks introduced bilingual and biscript legends on their coins.,The Kushanas minted large quantities of gold coins as well as copper coins of low denomination.,"The Satavahanas issued coins of silver, copper, lead and potin.",Absence of Negama coins suggests the declining power and authority of merchant guilds.,CAPF,2022,,
95,"Which of the following statements about Harappa Civilization is/are correct?

1. There is the extraordinary uniformity in artefacts as evident in pottery, seals,
bricks and weights.
2. The late Harappa sites also maintained the same construction techniques as
were used in mature Harappa sites

Select the correct answer using the codes given below.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,CAPF,2018,,
96,Which one among the following is not true of bead-making as a salient feature of mature Harappan crafts?,"Harappan beads were made of gold, copper, shell, lapis lazuli, ivory and a variety of semi-precious stones.",Archaeologists have identified bead-makers shops on the basis of assemblages of unfinished objects,"At Chanhudaro, tools, furnaces and beads in various stages of preparations have been found","The structure of Banawali, yielded many beads in finished, semi-finished and unfinished states",CAPF,2014,,
97,"Which of the following statements is/are correct?

1. Humayun invented Taj-i-izzat.
2. Taj-i-izzat was a head gear, composed of a cap and a wrapping cloth.

Select the correct answer using the codes given below.
Codes:",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,CAPE,2014,,
98,"In respect to Balutedars, which of the statements given below are correct?
1. They were village servants and artisans.
2. They were employed by individual peasant family,
3. They existed in the Medieval Deccan and Maharashtra.

Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",CDS  (1),2023,,
99,Which one of the following statementsabout Gupta coins is not correct?,Gupta kings issued a large number of gold coins known as Dinar.,"Chandragupta II, Kumaragupta I, Skandagupta and Budhagupta issued silver coins.",The obverses of coins are carved with the images of the kings and on the reverse are carved deities.,The largest number of coins issued by the Guptas were of copper.,CDS,2020,,
100,Which organization was started at the Haridwar Kumbh Mela in 1915?,Sanatan Dharma Sabha,Dev Samaj,Brahmin Sabha,Hindu Mahasabha,CDS  (II),2018,,
101,"Which one among the following statements about the coins of the Gupta rulers is
correct?","The obverse and reverse, both, had only the king’s portrait and date.","The obverse and reverse, both, had only an image of a deity and date.","The obverse generally had king’s portrait and reverse had an image of a deity or a
motif.",The obverse generally had king’s portrait and reverse always had a date.,CDS  (1),2016,,
102,The ruins of the Vijayanagara at Hampi were brought to light in 1800 by: -,Colonel Colin Mackenzie,Sir John Shore,Andrew Fraser,John Marshall,CDS,2014,,
