q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
32,The concept of Eightfold path forms the theme of:,Dipavamsa,Divyavadana,Mahaparinibban,Dharma Chakra Pravartana Sutta,UPSC CSE Pre,1998,,
33,"In the Mahayana Buddhism, the Bodhisattva Avalokitesvara was also known as:",Vajrapani,Manjusri,Padmapani,Maitreya,UPSC CSE Pre,1997,,
34,"Given below are two statements, one labeled as Assertion (A) and the other labelled as
Reason (R). 
Assertion (A): The sponsor and the most prominent figure of the Chishti order of Sufis in India is Khwaja Muinuddin Chishti.
Reason (R):The Chishti order takes its name from a village Chishti in Ajmer.

In the context of the above two statements, which one of the following is correct?","Both (A) and (R) is individually true, and (R) is the correct explanation of (A).","Both (A) and (R) is individually true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",UPSC CSE Pre,1997,,
35,The Sufi saint who maintained that devotional music was one way of coming close to God was:,Muinuddin Chishti,Baba Farid,Sayyid Muhammad Gisudaraz,Shah Alam Bukhari,UPSC CSE Pre,1996,,
36,"Which of the following were common to both Buddhism and Jainism?
1. Avoidance of extremities of penance and enjoyment.
2. Indifference to the authority of the Vedas.
3. Denial of efficiency of rituals.
4. Non-injury to animal life.

Select the answer using the code given below:","1,2,3 and4","2,3 and 4","1,3 and 4",1 and 2,UPSC CSE Pre,1996,,
37,Which of the following pairs is correctly matched?,Guru Amar Das: Miri and Piri,Guru Arjun Dev : Adi Granth,Guru Ramdas : Dal Khalsa,Guru Gobind Singh : Manji,UPSC CSE Pre,1996,,
38,Which one of the following is not a part of early Jain literature?,Therigatha,Acarangasutra,Sutrakritanga,Brihatkalpasutra,UPSC CSE Pre,1996,,
39,The concept of Anuvrata was advocated by:,Mahayana Buddhism,Hinayana Buddhism,Jainism,The Lokayata school,UPSC CSE Pre,1995,,
40,"“Live well, as long as you live. Live well even by borrowing, for once cremated, there is
no return.” This rejection of afterlife is an aphorism of the:",Kapalika Sects,Sunyavada of Nagarjuna,Ajivikas,Charvakas,UPSC CSE Pre,1994,,
41,Name the ‘Mudra’ which is represented by the Gandharan Buddha image of Sarnath first Sermon.,Abhaya,Dhyana,Dharm Chakra,Bhumisparsha,UPSC CSE Pre,1994,,
42,‘Mahayana’ sect and Buddhism emerged during the reign of-,Ajatshatru,Ashoka,Dharmapala,Kanishka,UPSC CSE Pre,1993,,
43,Who was the last one in the order of Jain Tirthankaras?,Parshvanath,Risabhdev,Mahavira,Manisuvrata,UPSC CSE Pre,1993,,
44,"In Jain Religion, which word is used for ‘Complete Intellect’?",Jin,Ratna,Kaivalya,Nirvana,UPSC CSE Pre,1993,,
45,What is the fundamental difference between Hinayana and Mahayana sects of Buddhism?,Belief in Non-violence,Caste free society,Worship of God and Goddess,Worship of stupas,UPSC CSE Pre,1992,,
46,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I              List-II
A.Ramanuja          1. Suddhadvait
B.Madhavacharya     2. Dvaitadvait
C.Nimbarka          3. Dvaita
D. Vallabhacharya   4. Vishishtadvaita
Code: 
A B C D",3 1 4 2,4 3 2 |,2 4 1 3,1 2 3 4,UPPCS (Pre),2022,,
47,"With reference to Hath Yog, which of the following statement is/are correct? 
1. Hath Yog was practised by Nathpanthis.
2. Hath Yog technique was also adopted by the Sufis.
Select the correct answer using the codes given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Pre),2019,,
48,"Parshvanatha, the Jain ‘Thirthankara’ was associated mainly with which of the following places?",Varanasi,Kaushambi,Giribraja,Champa,U.P.P.C.S. (Mains),2016,,
49,Which one of the following is the seventh part of the State according to Saptang Theory of State?,Janapada,Durga,Mitra,Kosha,U.P.P.C.S. (Re. Exam) (Pre),2015,,
50,"Which of the following religions does not trust in the concept of ‘final annihilation of
the world’?",Buddhism,Jainism,Hinduism,Islam,U.P.P.C.S. (Mains),2014,,
51,Select the correct chronological order of the Bhakti Saints from the following:,"Kabir, Guru Nanak, Chaitanya, Mirabai","Kabir, Chaitanya, Guru Nanak, Mirabai","Kabir, Mirabai, Chaitanya, Guru Nanak","Guru Nanak, Chaitanya, Mirabai, Kabir",U.P.P.C.S. (Mains),2014,,
52,Which of the events of Buddha's life is known as ‘Mahabhinishkramana’?,His death,His birth,His departure from home,His attainment of enlightenment,U.P.P.C.S. (Mains),2014,,
53,Which of the following order of Sufism was against music:,Chishtiya,Suhrawardiya,Qadiriya,Naqshbandiya,U.P.P.C.S. (Mains),2013,,
54,"Match list-I with list-II and select the correct answer using the codes given below
the lists: 
List-I                            List-II
A.Khwaja Muinuddin Chisti    1.Suhrawardiya
B.Shaikh Ahmad Sirhindi      2.Qadiriya 
C.Dara Shukoh                3.Chishtiya
D.Shaikh Shahabuddin         4.Naqshbandiya
Code:
A B C D",2 3 1 4,1 4 2 3,3 4 2 |,4 2 3 1,UPPCS (Mains),2013,,
55,Which of the following Buddhist sacred place is situated on the Bank of River Niranjana?,Bodhgaya,Kushinagar,Lumbini,Rishipatan,U.P.P.C.S. (Pre),2012,,
56,The writer of Mahabhashya ‘Patanjali’ was contemporary of-,Chandragupta Maurya,Ashoka,Pushyamitra Shunga,Chandragupta I,U.P.P.C.S. (Pre),2011,,
57,Gautam Buddha attained “Mahaparinirvana” in kingdom of-,Aung,"Magadha
{c} Malla",,Vatsa,U.P.P.C.S. (Pre),2011,,
58,Gautam Buddha gave the maximum sermons at which place?,Vaishali,Shravasti,Kaushambi,Rajgriha,U.P.P.C.S. (Pre),2011,,
59,The entry of women as a “Bhikshuni” into the Buddhist Sangha was allowed by Gautam Buddha at-,Shravasti,Vaishali,Rajgriha,Kushinagar,U.P.P.C.S. (Pre),2010,,
60,Who among the following is known as the ‘Light of Asia’?,Gautama Buddha,Mahatma Gandhi,Mahavir Swami,Swami Vivekanand,U.P.P.C.S. (Mains),2010,,
61,Yapaniya was the sect of-,Buddhist,Jainism,Shaivists,Vaishnavists,U.P.P.C.S (Pre),2010,,
62,‘Let no man ask a man’s sect or caste’ whose dictum was this?,Kabir,Ramananda,Ramanuja,Chaitanya,U.P.P.C.S. (Pre),2009,,
63,Sarnath Buddha image of Bhumisparsha Mudra belongs to-,Maurya period,Shunga period,Kushana period,Gupta period,U.P.P.C.S.(Mains),2009,,
64,"The reason included in the expansion of Buddhism:
1. The simplicity of religion
2. Special appeal towards Dalits
3. Missionary concept of religion
4. Regional language
5. The soundness of Vedic spirit by Philosophers
Code:","1,2 and 3","2,3 and 4","1,2,3 and 4","2,3,4 and 5",U.P.P.C.S. (Pre),2009,,
65,Pre-Ashokan Brahmi script was found at:,Nagarjunakonda,Anuradhapura,Brahmagiri,Maski,U.P.P.C.S. (Spl) (Pre),2008,,
66,Who propagated ‘Yoga Darshan’?,Patanjali,Gautam,Jaimini,Shankaracharya,U.P.P.C.S. (Pre),2007,,
67,"Lord Buddha preached the following four noble truths. Put them in correct order using the codes given below:
A. There is suffering.
B. There is a cessation of suffering.
C. There is a path leading to the cessation of suffering.
D. There is the cause of suffering.
Code:",ADBC,ADCB,ACBD,ABDC,U.P.P.C.S. (Pre),2006,,
68,"Which one of the following is the distinctive features of a nastika and astika system in
India?",Belief in the existence of God.,Belief in the doctrine of re-birth.,Belief in the authenticity of the Vedas.,Belief in the existence of heaven and hell.,U.P.P.C.S. (Mains),2005,,
69,Kundalpur is the birthplace of-,Emperor Ashoka,Gautam Buddha,Mahavira Swami,Chaitanya Mahaprabhu,U.P.P.C.S. (Spl) (Pre),2004,,
70,Which one of the following was not a Jain Tirthankara?,Chandraprabhu,Nathamuni,Nemi,Sambhav,U.P.P.C.S. (Spl) (Mains),2004,,
71,"Consider the following statements:
Assertion (A): Kushinagar was the capital of Malla Republic.
Reason (R): Lord Buddha’s Mahaparinirvana took place in Kushinagar.
Select the correct answer using the code given below: (","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is notthe correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Spl) (Pre),2004,,
72,A collection of dialogues between Kabir and Dharamdas is titled:,Sabad,Amarmul,Sakhi,Ramaini,U.P.P.C.S. (Pre),2003,,
73,Vaishnavism in Kamarupa was popularised by-,Chaitanya,Nimbarka,Ramananda,Shankaradeva,U.P.P.C.S. (Mains),2002,,
74,"Which event of Buddha’s life is represented by the wheel with deer, in Indian Art?",Great departure,Enlightenment,First preaching,Nirvana,U.P.P.C.S. (Mains),2002,,
75,Which of the following place is known as a place of Pilgrimages because of being related to Parshvanath?,Champa,Pava,Sammed Shikhar,Urjyant,U.P.P.C.S. (Pre),2002,,
76,The Doctrine of void (Shunyata) was propounded by the Buddhist philosopher:,Nagarjuna,Nagasena,Ananda,Ashvaghosha,"U.P.P.C.S, (Pre)",1998,,
77,The concept of 'Sulh-i-Kul' (universal peace and fraternity) adopted by Akbar was the result of:,Political generosity,Religious tolerance,Liberal cultural attitude,All of the above,U.P.P.C.S. (Pre),1998,,
78,The theory of Karma is related with:,Nyaya,Mimansa,Vedanta,Vaisheshika,U.P.P.C.S. (Pre),1997,,
79,Which of the following Buddhist texts contains the rules of Monastic life?,Digha-Nikaya,Vinaya Pitaka,Abhidhamma Pitaka,Vibhasha Shastra,U.P.P.C.S. (Pre),1996,,
80,The thought of which of the following Sufi saint have been incorporated in the religious book ‘Adi Granth of the Sikh,Shaikh Muinuddin Chishti,Qutbuddin Bakhtiyar Kaki,Fariduddin-Ganj-i-Shakar,Shaikh Nizamuddin Auliya,U.P.P.C.S. (Pre),1994,,
81,The Bhakti culture reborn in India during-,Vedic age,10th century AD,12th century AD,15th-16th century AD,U.P.P.C.S. (Pre),1993,,
82,The word Tirthankara is related to-,Buddhists,Christians,Hindus,Jains,U.P.P.C.S. (Pre),1993,,
83,"Which of the following is/are true about Gautam Buddha?
1. He believes in “Karma”
2. He believes in rebirth
3. He believes attaining Nirvana
4. Belief in the power of God
Code:","Only 1, 2, 3","Only 1, 2",Only 1,All are true,U.P.P.C.S. (Pre),1992,,
84,The teachings of Buddha are related to-,Spirit disputes,Celibacy,Religious rituals,Purity and holiness of conduct,U.P.P.C.S. (Pre),1991,,
85,Who was the founder of Visistadvaita Siddhanta?,Ramanujacharya,Vallabhacharya,Srikanthacharya,Madhavacharya,Jharkhand P.C.S. (Pre.),2021,,
86,The most orthodox Sufi order was-,Chishti,Suhrawardi,Naqshbandi,Qadiri,Jharkhand P.C.S. (Pre),2016,,
87,Which one of the following sequences indicates the correct chronological order?,Shankaracharya-Ramanuja—Chaitanya,Ramanuja—Shankaracharya—Chaitanya,Ramanuja—Chaitanya-Shankaracharya,Shankaracharya-Chaitanya-Ramanuja,Jharkhand P.C.S. (Pre),2011,,
