q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
20,The first writer to use Urdu as the medium of poetic expression was:,Amir Khusrau,Mirza Ghalib,Bahadur Shah Zafar,Faiz,"UPSC CSE Pre,",1999.0,a,"Esp) Option a ts the correct earwee, :
Amir Khusran (1253-1325) was c Persian poet, masicisa,
tcholes, and eryetic who bived bn Delbl during the Dethi
Sultanate period. He te regarded os the “fether of Urdw
Utereture” and the “fether ef Qaonwail” (o form of Sufl
devotlonal musk). He wrote poctry in vartous lenguages,
(achuding Persian, Arebie, Hind), and Bea] Bhasha, but be
was the first to use Urde (or Hindavi, os & wes then celled)
es the medium of poctle expression.
Amie Kbutrsu was a disciple of the famous Sefl esind
Nizamoddla Auliya, and expressed bis love and devotion
for him lp many of his poems, He alto participated tn the
culturel and poliucal life of Delhi, serving be @ court poct
and advises to several sulians and nobles,"
21,Which one of the following pairs of folk-dance forms and States is not correctly matched?,Korku - Maharashtra,Jhumar - Haryana,Thali - Himachal Pradesh,Mukna - Manipur,UPSC CSE Pre.,1999.0,c,"Bxp) Option c is the correct answer,
‘Thal be. foik-daoce form of Kerale and Tami! Node. ft ls
perforesed by women during the Ovace festival and ether
suspicious occasions, The dance ls named after the circuler
toctal plate (thall) that the dancert wras around thelr necks.
The dance 1 @ symbol of marital bliss and prosperity.
Therefore, Thall - Himechel Pradesh pele to Locorrectly
marched.

Ieportent Tips

Folk Dances of ladla:

+ Korke 9 c tribal dance form of Modbys Predesh ond
Moharushtre, hh ta perforracd by the Korku tribe,
who are one of the oldest tribes of India. The dance
le accompanied by songs thet marraie thels history,
‘colrare, and traditions, . .

© Thamar is 0 folk-dance form of Pesjab and Heryacs.
1t te performed by both men and womes during the
harvest season end other Seative occestone. The dance
fe characterturd by greceful movements of the arme
end legs, and rhythmic clapping of the hands.

© Muka to 2 folk-dance form of Maniper. It ie alto 0
Goren of wrestting thet originated fcom the mertis] arts
of Manipor. The dance #s perfortaed by men who wear
coloarfal costames and tosbass. The dance depts
the skills and techniques of wrestllog [a c rhythmic
manner,"
22,The first feature film (talkie) to be produced in India was:,Hatimtai,Alam Ara,Pundalik,Raja Harishchandra,UPSC CSE Pre.,1999.0,b,"noe
2xp) Option dle the correctanewer,.

Alam Ave was the first featuce film (talkie) to be produced
in Indie in 1991, Ic wes  Alstortcal fantasy film thet told the

story of # royal romance between Alam Are, the daughter of

o king, and Adil Shah, the son of a rival king. It was directed

by Ardeshir Irani and produced by Imperial Film Company.

It bed seven songs end introduced playback singing to

Indien cinema. The film was a huge success aad marked the

deglnning of the talkie ere im India. .

Important Tipe

© Hatlotel was e feature film (talkie) produced in India.
It was based on the Arabian Nights stories and starred
Jobanare Kajjan as Hetimtel’s beloved princess. ht was
directed by Homl Master and produced by Imperial
Film Company.

« Pandalik was a feature film (silent) produced in 1912.
Tt was based on a Marathi legend about a saint who
devoted his life to serving his parents, It was directed by
N.G. Chitre and R.G. Torney and produced by Nataraj
Film Company. Some historlans do not consider it as
an Indien film because it was processed and printed
tn Leadon.

c Roja Harlshchandra was the first feature files (stleat)
to be prodaced ia India in 1913. It was based on 0
Hindu mythological story about a king who sacrificed
hin kingdom, family, and himself to opbold truth
end justice. It was directed by Dedassheb Phalke and
produced by Phalke Films Company. It ts regarded
as the first full-length Indiem feature film and
Dadacched Falke le cegarded es the fethee of Indien
cloema,"
23,"Which of the following pairs are correctlymatched? 
1.Mrichchhakatikam - Sudraka
2.Buddhacharita - Vasuvandhu
3.Mudrarakshasa - Vishakhadatta
4.Harshacharita - Banabhatta
Select the correct answer using the codes given below:","1,2,3 and 4","1,3 and 4",1 and 4,2 and 3,UPSC CSE Pre.,1998.0,b,"Exp) Option b ja the correct answer,

1, Merichchhakatikess (‘The Little Cley Cart’) is a Senskrit-
language play written by Sudraka. The play fs a romantic
comedy that depicts the love story of Charudatte, « poor
Brahmin, end Vasentasena, # rich courtesan. The play is
set In the city of Ujjayinl during the relgn of the Shunga
dynasty. .

2. Buddhacharite is s Senskrit-language epkt poem written
by Ashvaghosha, a Ist-centory Buddhist philosopher end
poet, The poem narrates the life of Gavtama Buddha
frosa bis birth to his enlightenment and his first sermon.
Vesubandha was enother Buddhist philosopher and
scholar who lived in the 4th or Sth century CB. He wrote
many works on Buddhist philosophy and logic, such es
Abbidharmakosha and Vijneptimatratesiddbt,

3. Madrarakehesa is  Sanskrit-language play written by
Vishakhadatta, a 4th-century Indian dramatist and poet.
The play narrates the ascent of Chandragupta Maurya
to power in Indle with the help of Chacakys, bis chief
minister and strategist, eat

4. Hershecharite [se Sanskslt-lenguage blogrephy
of Hershevardhane, The blogrephy was written by
Banabhatta, e couct poet and scholar of Harsha."
24,"Match List-I with List-II and select the correct answer using the codes given below the lists:

List-I(Author)  List-II(Text)

A.Varahamihira 1.Prabandha Chintamani
B.Vishakhadatta2.Mrichchha-Katikam
C.Sudraka      3.Brihat Samhita
D.Bilhana      4.Devi-Chandraguptam
               5.Vikramanka Devacharitra
Code: 
ABCD",3 4 5 2,3 4 2 5,5 3 4 1,1 3 5 2,UPSC CSE Pre.,1997.0,b,"Exp) Option b is the correct answer.

A. Varahamihira - Brihat-Samhita: Varahamihira was a
6th-century astrologer-astronomer who lived in Ujjain.
He wrote the Brihat-Samhita. It is an encyclopedia that
covers various topics such as astronomy, astrology,
geography, architecture, gemology, etc.

B. Vishakhadatta - Devi-Chandraguptam: Vishakhadatta
was a 4th-century dramatist and poet who wrote the
Devi-Chandraguptam. It is a play that narrates the story
of Chandragupta II’s accession to the throne with the
help of his mother and the minister Chanakya.

C. Sudraka - Mrichchha-Katikam: Sudraka was a playwright
who wrote the Mrichchha-Katikam. It is a romantic
comedy that depicts the love affair of Charudatta, a poor
Brahmin, and Vasantasena, a rich courtesan.

D. Bilhana - Vikramankadevacharita: Bilhana was
an llith-century poet and historian. He wrote the
Vikramankadevacharita, a biography of the Chalukya
king Vikramaditya VI."
25,The famous dialogue between Nachiketa and Yama is mentioned in the:,Brihadaranyaka Upanishad,Chhandogyopanishad,Kathopanishad,Kenopanishad,UPSC CSE Pre.,1997.0,c,"Exp) Option c is the correct answer.
The Kathopanishad is part of the Yajur Veda and is
considered one of the most important and widely studied
Upanishads. The Kathopanishad is presented as a dialogue
between a young seeker named Nachiketa and the god
of death, Lord Yama (also known as Yamaraja). The text
explores themes such as the nature of the self (Atman), the
impermanence of life, and the path to spiritual realization
and liberation (Moksha).

| Important Tips |

Facts about Kenopanishad:

« The Kenopanishad, also known as the Kena Upanishad,
is one of the ancient Upanishads that are part of the
Vedic literature in Hinduism.

« Itis considered one of the principal Upanishads and is
associated with the Sama Veda.

« It is divided into four parts or Khandas. It deals
essentially with the nature of Brahman and knowledge
of the Self.

\° The Kenopanishad explores philosophical and spiritual |

themes, particularly focusing on the nature of ultimate

| reality (Brahman) and the relationship between the |

individual self (Atman) and Brahman. _ |"
26,Which one of the following dances involves solo performance?,Bharatanatyam,Kuchipudi,Mohiniattam,Odissi,UPSC CSE Pre.,1997.0,c,"Exp) Option c is the correct answer.

Mohiniyattam is traditionally a solo dance mainly

performed by a female dancer. Mohini means beautiful

woman and attam means dance. Mohiniyattam originated
in the l6th century and was patronized by the king of

Travancore, Swathi Thirunal. It is based on the Lasya style

of dance described in the Natya Shastra, which is delicate,
erotic and feminine.

The word Mohiniyattam comes from Mohini, the female
avatar of Vishnu who seduced and deceived the Asuras in
Hindu mythology. Mohiniyattam dancers use their body
movements, facial expressions and hand gestures to tell
stories and convey emotions.

Important Tips

Dance Forms of India:

* Bharatanatyam: This is a classical dance form from
Tamil Nadu that showcases the beauty and spirituality |
of the human body. It is based on the principles of the
Natya-shastra, a treatise on performing arts by Bharata.
Bharatanatyam dancers use intricate footwork, graceful
movements, expressive gestures and facial expressions

to convey stories and emotions.

* Kuchipudi: This is a classical dance form from Andhra
Pradesh that combines dance, drama and music

It is named after the village of Kuchipudi, where it
originated in the 17th century. Kuchipudi dancers use
fast and fluid movements, acrobatic skills, dialogues
and costumes to enact various characters and themes.

c Odissi: This is a classical dance form from Odisha that
depicts the love and devotion of Radha and Krishna. It
is one of the oldest dance forms of India and follows
the principles of the Natya-shastra, Odissi dancers use
sinuous postures, elegant movements, subtle gestures
and expressive eyes to convey the rasa (essence) of the
dance."
27,Milindapanha is in the form of a dialogue between king Menander and Buddhist monk:,Nagarjuna,Nagabhatta,Nagasena,Kumarilabhatta,UPSC CSE Pre.,1997.0,c,"Exp) Option c is the correct answer.

Nagasena was a Buddhist monk and scholar who lived

in the 2nd century BC. He is famous for his dialogue with

King Menander I, also known as Milinda, who was an Indo-

Greek ruler of a large empire in northwestern India. The

dialogue is recorded in the Milindapafiha, a Buddhist text
that dates from sometime between 100 BC and 200 AD. The

Milindapafha covers various topics of Buddhist doctrine

and practice, such as the nature of the self, karma, rebirth,
nirvana, meditation, ethics, and logic. It is written in a lively
and engaging style, using parables, analogies, and stories

to illustrate the points. The Milindapafha is regarded as a

canonical text by the Burmese Theravada tradition, and as

a valuable source of information by other Buddhist school."
28,"Prem Vatika, poems on the life of Krishna,was composed by:",Bihari,Surdas,Raskhan,Kabir,UPSC CSE Pre.,1996.0,c,"Exp) Option c is the correct answer.

Raskhan was a Hindi poet whe was both a Muslim and

a follower of Lord Krishna. His birth name was Sayyad

Ibrahim. He composed Prem Vatika, poems on the life of

Krishna, in praise of his devotion and love for Radha. He

lived in Vrindavan and died in 1628 A.D. - He was a disciple
of Vallabhacharya, the founder of the Vallabhacharya sect of

Hinduism."
29,Nastaliq was-,A Persian script used in medieval India,A raga composed by Tansen,A cess levied by the Mughal rulers,A manual of code of conduct for the Ulemas,UPSC CSE Pre.,1996.0,a,"Bzp) Option c ls the correct answer. . ot

The Nastaliq Is a Perso-Arable script ‘used as the

preferred style for a variety of languages, Dari and Pashto

in Afghanistan, aod Persisp in Iran, Nastaliq’s popularity
extends to South Asis where the calligraphic hand ls utilized
by the Urda and Keshrairl lengueges tn Indie and Pakistan.

Through Its usage in various languages over the centuries,

the Nastallg script has developed an exclusive relationship

with the Panjabi and Urdu languages, ae"
