q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and a canal-cum-aqueduct several kilometres long from the river to the capital city?,Devaraya I,Mallikarjuna,Vira Vijaya,Virupaksha,UPSC CSE Pre,2023,,
2,Who among the following rulers of medieval Gujarat surrendered Diu to Portuguese?,Ahmad Shah,Mahmud Begarha,Bahadur Shah,Muhammad Shah,UPSC CSE Pre,2023,,
3,“Yogavasistha” was translated into Persian by Nizamuddin Panipati during the reign of:,Akbar,Humayun,Shajahan,Aurangzeb,UPSC CSE Pre,2022,,
4,"According to Portuguese writer Nuniz, the women in Vijayanagara Empire were expert in which of the following areas?

1. Wrestling
2. Astrology
3. Accounting
4. Soothsaying

Select the correct answer using the code given below:","1,2 and 3 only","1,3 and 4 only",2 and 4 only,"1,2,3 and 4",UPSC CSE Pre,2021,,
5,"With reference to medieval India, which one of the following is the correct sequence in ascending order in terms of size?",Paragana-Sarkar—Suba,Sarkar-Paragana—Suba,Suba-Sarkar-Paragana,Paragana~Suba-Sarkar,UPSC CSE Pre,2021,,
6,"With reference to Indian history, which of the following statements is/are correct?

1. The Nizamat of Arcot emerged out of Hyderabad State.
2. The Mysore Kingdom emerged out of Vijayanagara Empire.
3. Rohilkhand Kingdom was formed out of the territories occupied by Ahmad Shah Durrani.

Select the correct answer using the code given below:",1 and 2,2 only,2 and 3,3 only,UPSC CSE Pre,2021,,
7,"With reference to the history of India, consider the following pairs:

1. Aurang In-charge of treasury of the State
2. Banian Indian agent of the East India Company
3. Mirasidar Designated revenue payer to the State

Which of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,3 only,"1,2 and 3",UPSC CSE Pre.,2020,,
8,"With reference to Mian Tansen, which one of the following statements is not correct?",Tansen was the title given to him by Emperor Akbar.,Tansen composed Dhrupads on Hindu gods and goddesses.,‘Tansen composed songs on his patrons.,Tansen invented many Ragas.,UPSC CSE Pre.,2019,,
9,"With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar? 
1. Jagirdars were holders of land assignments in lieu of judicial and police duties, whereas Zamindars were holders of revenue rights without obligation to perform any duty other than revenue collection.

2. Land assignments to Jagirdars were hereditary and revenue rights of Zamindars were not hereditary.

Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2019,,
10,Who among the following Mughal Emperors Shifted emphasis from illustrated manuscripts to album and individual portrait?,Humayun,Akbar,Jahangir,Shah Jahan,UPSC CSE Pre.,2019,,
11,"Regarding the taxation system of Krishna Deva, the ruler of Vijayanagar, consider the following statements:
1. The tax rate on land was fixed depending on the quality of the land.
2. Private owners of workshops paid an industries tax.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2016,,
12,Banjaras during the medieval peried of Indian history were generally,agriculturists,warriors,weavers,traders,UPSC CSE Pre.,2016,,
13,"With reference to the economic history of medieval India, the term ‘Araghatta’ refers to",bonded labour,land grants made to military officers,waterwheel used in the irrigation of land,waste land converted to cultivated land,UPSC CSE Pre.,2016,,
14,"Consider the following pairs: 
Medival Indian State/Present Region
1. Champaka/Central India
2. Durgara/Jammu
3.Kuluta/Malabar
Which of the above pairs is / are correctly matched?",l and 2 only,2 only,1 and 3 only,3 only,UPSC CSE Pre.,2015,,
15,Who of the following founded a new city on the south bank of a tributary to river Krishna and underivok to ruie his new kingdom as the agent of a deity to whom all the land south of the river Krishna was supposed to belong?,Amoghavarsha I,Ballala II,Harihara I,Prataparudra II,UPSC CSE Pre.,2015,,
16,"Consider the following:

The arrival of Babur into India led to the
1. Introduction of gunpowder in the subcontinent
2. Introduction of the arch and dome in the region’s architecture
3. Establishment of Timurid dynasty in the region
Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre.,2015,,
