q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
15,"The following persons came to India at one time or another:
1. Va-Hien
2. I-Tsing
3. Megasthanes
4, Hieun:Tsang
The correct chronological sequence of their visits is:","3,1,2,4","3,1,4,2","1,3,2,4","1,3,4,2",UPSC CSE Pre.,1999,b,"Exp) Option b is the correct answer.

Chronological sequence of visitors

o Megasthanes: Megasthenes, an ancient Greek historian
and diplomat, arrived in India during the reign of
Chandragupta Maurya, around 300 BCE approximately.
He visited Pataliputra, capital of the Mauryan Empire, and
compiled his observations in the lost work “Indica.” He
described Indian geography and mentioned interactions
with King Sandracottus (Chandragupta Maurya) and
even possibly with King Porus during Alexander the
Great’s invasion.

e Fa-Hien: Faxian (337 CE - c. 422 CE), also known as
Fa-Hien, was a Chinese Buddhist monk and traveler who
journeyed from China to India between 399 and 412 CE to
obtain Buddhist texts. He spent a decade in India during
the reign of Chandragupta II. His travelogue, “A Record
of Buddhist Kingdoms,” provides valuable insights into
early Indian Buddhism. Faxian visited sacred Buddhist
sites and monasteries, including Kapilvastu, Bodh Gaya,
Varanasi, and Kushinagar. He described the prosperity of
Indian cities and their inhabitants’ devotion to Buddhism.

¢ Hieun-Tsang: Hieun-Tsang, born in AL) 602, embarked
on a journey to India in 629 during the Tang Dynasty.
He traveled through perilous terrains and visited
various Indian cities. He admired King Harsha Vardhan’s
patronage of Buddhism in Kannauj. After {6 years, he
returned to China in AD 645, translating Buddhist texts
until his death in AD 664. ,

¢ I-Tsing: Chinese Buddhist traveler I-Tsing journeyed to
India from 671 to 695 A.D. His travelogue ‘Record of the
Inner Law sent home from the Southern Sea’ documents
customs, daily life, and Buddhism’s schools. ‘his valuable
book translates his entire travelogue, offering insights
into Buddhism and I-Tsing’s experiences, along with a
general introduction to the religion."
16,"The given map relates to: 
*MAP",Kaniska at the time of his death.,Samudragupta after the close of his South Indian campaign.,Ashoka towards the close of his reign.,"Empire of Thaneswar on the eve of
Harsha’s accession.",UPSC CSE Pre.,1998,c,"Exp) Option c is the correct answer.
The given map shows the Mauryan Empire under Ashoka
towards the close of his reign (232 BCE). The empire
stretched from the Himalayas in the north to the Deccan
plateau in the south, and from the Hindu Kush mountains in
the west to the Bay of Kengal in the east. The capital of the
empire was Pataliputra {modern Patna)."
17,"What is the correct chronological order in which the following appeared in India?
1. Gold coins
2. Punch-marked silver coins
3. Iron plough
4. Urban culture
Select the correct answer using the codes given below:","3,4,1,2","3,4,2,1","4,3,1,2","4,3,2,1",U.P.S.C. (Pre),1998,d,"Exp) Option d is the correct answer

The correct order is 4-3-2-1

¢ In India, the Indus Valley Civilization was an urbanized
Civilization which came in between 2500 and 1500 BCE.

¢ The Iron Age in North India coincides with the painted
Grey Ware culture. The painted grey ware is dated to
from. 1100 to 800 BCE

e The first documented coinage is deemed to start with
“Punch Marked’ coins issued between the 6th-4th century
BC.

» It was the Indo Greeks who ruled a large part of North-
Western India around 200 BC that first introduced coins
made of Pure Gold in India."
18,The river mentioned most in early Vedic literature is:,Sindhu,Shutudri,Sarasvati,Ganga,UPSC CSE Pre.,1996,a,"Exp) Option a is the correct answer

The Aryans lived in the land known as Sapta Sindhu or

the Land of Seven River. These seven rivers were: Sindhu

(Indus), Vipash (Beas), Vitasta (Jhelum), Parushni (Ravi),

Asikni (Chenab), Shutudri (Satluj) and Saraswati. Sindhu is

the most mentioned river in vedic literature."
19,In the context of ancient Indian society which one of the following terms does not belong to the category of the other three?,Kula,Vansha,Kosa,Gotra,UPSC CSE Pre.,1996,c,"Exp) Option c is the correct answer

Social interdependence is the central theme of Indian

society. Right from the birth, people belong to certain social

groups like jati, gotra, kula or vansha, varna and feel a sense
of belongingness to these. The term Kosa means treasury of

Kingdom.

[ Important Tips

i

i Kula

¢ Kula is a Sanskrit word that can be translated as
“community,” “clan” or “tribe”

¢ In Hinduism, the term kula is used in Dharmashastra
to refer either to part of a village or a member of a
tamily.

Vansha:

« Vansh means generation.

e¢ Its name is based on name of forefathers like |
Suryavanshis, Chandravanshi, etc."
20,Who among the following was a Brahmavadini who composed some hymns of the Vedas?,Lopamudra,Gargi,Leelavati,Savitri,UPSC CSE Pre.,1995,a,"Exp) Option a is the correct answer

Brahmavadini or “an expounder of the Veda” are those

women who composed any hymns of the Vedas. The

prominent among them were Lopamudra, Vishwawara,

Ghosha and Maitreyi. Lopamudra was the wife of the sage

Agastya. A hymn in the Rigveda is attributed to her.

Maitreyi, the wife of Yajnavalkya, is accredited with about

ten hymns in Rig Veda.

Two suktas of the tenth Mandala of Rigveda each containing

14 verses have been attributed to Ghosha.

Important Tips i
- Savitri is a legendary woman known for her devotion |
and determination. ‘Ihe most famous story about |
Savitri is that of Savitri and Satyavan, which is narrated
in the Mahabharata. Savitri’s husband, Satyavan,
was destined to die within a year, and through her
unwavering devotion and intelligence, she managed to
outwit Yama, the god of death, and save her husband’s
life.

e “Leelavati” is the title of a famous medieval °
Indian mathematical treatise written by the Indian :
mathematician Bhaskaracharya in the 12th century.
The Leelavati covers various mathematical topics,
including arithmetic, algebra, and geometry, and is
notable for its innovative and comprehensive approach
to mathematics during that time. It’s not related to
Vedic hymns or Brahmavadinis

e Gargi is Brahmavadini from ancient India. Gargi
is mentioned in the Brihadaranyaka Upanishad,
one of the principal Upanishads. She is known for
her intellectual prowess and her participation in
philosophical discussions and debates. Gargi engaged
in a famous philosophical dialogue with the sage
Yajnavalkya, where she posed challenging questions
about the nature of reality and the self."
21,The name by which Ashoka is referred to his inscriptions is:,Chakravarti,Dharmadeva,Dharmakirti,Priyadarshi,UPSC CSE Pre.,1995,d,"Exp) Option d is the correct answer.

The name by which Ashoka is referred to in his inscriptions
is “Priyadarshi.” Priyadarshi means “One who is liked by
all’. It is generally used in conjunction with Devanampriya
which means “beloved of the Gods”. It reflects Ashoka’s
humility and his dedication to spreading ethical and moral
teachings through his inscriptions. The term “Priyadarshi”
is used in various inscriptions and rock edicts to signify
Ashoka’s commitment to promoting righteous conduct
and his benevolent rule. The various other names of
Ashoka include Buddhashakya and Ashoka (in the Maski
Edict). Dharmasoka (Sarnath inscription), Devanampiya
(meaning beloved of the gods), and Piyadassi (meaning of
pleasing appearance), given in the Sri Lankan Buddhist
chronicles Dipavamsa and Mahavamsa)."
22,The earliest evidence of silver in India is found in the-,Harappan culture,Chalcolithic cultures of western India,Vedic texts,Silver Punch-marked coins,UPSC CSE Pre.,1994,a,"Exp) Option a is the correct answer

The earliest evidence of silver in India is found in the
Harappan culture. One of the two silver seals that contain a
unicorn motif has been found in Harappa."
23,Who built “Gommateshwara” statue at Sravanabelagola?,Chamundraya,Krishan-I,Kumarpala,Tejpala,UPSC CSE Pre.,1994,a,"Exp) Option a is the correct answer.

The Gomateshwara statue is a monolithic statue of Bahubali,
the son of first Tirthankar Rishabhanatha. It is a 60 feet
(18 m) tall statue carved out of a single block of granite. It
is located on Vindhyagiri Hill in Sravanabelegola, in the
Hassan district of Karnataka, India. The statue was built
in the 10th century CE by Chamundraya, a minister of the
Western Ganga dynasty. Chamundraya was a Jain, and he
built the statue as a gesture of his devotion to Bahubali."
24,Another name of Chanakya was:,Bhattswami,Vishnugupta,Rajshekhar,Vishakhdatta,UPSC CSE Pre.,1993,b,"Exp) Option b is the correct answer.

Chanakya was also known as Vishnugupta. The name
Vishnugupta is associated with Chanakya, and it appears
at the end of one of his texts. While some scholars believe
Vishnugupta to be his actual name and Chanakya a gotra

(clan) name, others suggest that it could be a pen name or
the name of an editor."
