q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
23,"To which Lodhi Sultan does the given map relate and what town lies the side marked A on the map represent?
*map","Bahlul Lodhi, Jaunpur","Sikandar Lodhi, Aligarh","Ibrahim Lodhi, Jaunpur","Ibrahim Lodhi, Aligarh",UPSC CSE Pre,1999.0,a,"Exp) option a is the correct answer.
ihe given map shows the conquests of Bahlul Lodi, the
founder of the Lodi dynasty. The town marked A on the
map is Jaunpur, which was onc of the most important cities
ia the Dclhi Sultanate at ine ime. Bahiui Lodi defeated
the Sharqi dynasty of Jaunpur in 1479, and annexed their
territories to his own kingdom.
Important Tips
Bahlul Lodi (1489 - 1517):
Bahlul was involved in horse-trading and sold horses
to Sultan Muhammad Shah of the Sayyid dynasty, :
earning him Jand and the title of ‘amir’ He aided Sultan
Muhammad Shab against Malwa Sultan and earned the |
title Khan-i-Khanan.Bahlul attempted to conquer Delhi
in 1443 and 1447 but failed both times.In 1448, Bahlul ,
was invited by Alam Shah’s minister to occupy the Delhi
throne, ending the Sayyid dynasty’s rule.On April 19,
1451, Bahlul Khan became the first Lodi ruler, adopting
the title Bahlul Shah Ghazi.
He imprisoned Hamid Khan, who posed a threat to his rule,
and focused on suppressing rebellions. Bahlul expanded
his territory, including Jaunpur (1479), Gwalior, and
upper Uttar Pradesh. Known for respecting Afghan
nobles, he gained their loyalty. He appointed his son
Babrak Shah as Jaunpur’s Viceroy and named Nizam Khan
as his heir.Bahlul passed away on July 12, 1489, leading to
a power struggle between his sons.His son Nizam Khan
succeeded him as Sikandar Lodi, ruling for 38 years.
Bahlul’s tomb is situated at Chirag Dilli in Delhi."
24,Fawazil in the Sultanate period meant-,Extra payment to the nobles,Revenue assigned in lieu of salary,Excess amount paid to the exchequer by the Iqtadars,Illegal exactions extracted from the peasants,UPSC CSE Pre,1998.0,c,"Exp) Option c is the correct answer.
iqtadars or Muqtis after meeting his and army’s expenses
iad to send the surplus revenue to the Centre. This surplus
amount was called fawazil. The demand to send the excess
umounts (fawazil) to the diwan-i wizarat was symbolic of
he trend towards centralization. The muqti had to submit
yccounts of their realisation and expenditure to the treasury. ‘
Auditing was severe to prevent fraud."
25,"The Sultan of Delhi who is reputed to have built the biggest network of canals in India
was:",Iltutmish,Ghiyasuddin Tughluq,Firuz Shah Tughluq,Sikandar Lodhi,UPSC CSE Pre,1998.0,c,"Exp) Option c is the correct answer.

Firuz Shah Tughlugq, the Sultan of Delhi, is renowned

for constructing the most expansive canal network in

India. Firuz Shah Tughluq’s dedication to enhancing the

empire’s foundational structures led to the creation of an

extensive canal network, earning him the title of the father
of India’s irrigation system. He built five significant
canals collectively known as Nahr-i-Firuz Shahi, or the

Firuz Shahi Canal, promoting agricultural growth and

cultivation of crops. The first was the Sutlej to Ghanghar.

The second carried water from Yamuna to Hissar. Its length

was one hundred fifty miles. The Third started from the

neighborhood of Mahanadi and Sirmaur hills and connected
it with Hansi. The fourth ran from Ghanghar to Firozabad.

The Fifth carried the water from Yamuna to Firozabad."
26,Which one of the following was a corporation of merchants in ancient India?,Chaturvedimangalam,Parishad,Ashtadiggaja,Manigramam,UPSC CSE Pre,1997.0,d,"Exp) Option d is the correct answer.

Manigramam was a guild or association of traders and

merchants that operated in South India and Southeast Asia

from the 6th to the 13th century CE.

Important Tips

Manigramam:

|The name Manigramam means “village market” or
“settlement of traders” in Tamil. The members of
Manigramam were mostly ‘lamil speaking, but they also _
included people from other regions and religions.
Manigramam had a_ well-organized structure and
administration, with its own laws, courts, seals, and coins.
It also had a network of branches and agents in various
ports and cities, where it conducted trade and commerce
with local and foreign partners. Manigramam dealt with

‘a variety of goods, such as spices, textiles, gems, metals,

| ivory, and pearls."
27,"After consolidating his power, Balban assumed the grand title of-",Tuti-e-Hind,Kaiser-e-Hind,Zil-e-Ilahi,Din-e-Ilahi,UPSC CSE Pre,1997.0,c,"Exp) Option c is the correct answer.

Balban assumed the grand title of “Zil-e-Ilahi” which

means “Shadow of God.” ‘This title was influenced by the

Persian court model and reflected his belief that he ruled

with divine sanction and authority. By taking this title, he

aimed to emphasize his absolute power and position as the

representative of God on earth, reinforcing the concept of a

strong and unchallengeable monarchy."
28,"Match list-I with list-II and select the correct answer using the codes given below the lists:
list-I     list-II
A.Gupta    1.Badami
B.Chandela 2.Panamali
C.Chalukya 3.Khajuraho
D.Pallava  4.Deogarh

Code 
A B C D",4 3 1 2,4 2 3 1,2 3 4 1,3 4 1 2,UPSC CSE Pre,1997.0,a,"Exp) Option a is the correct answer.

A. Gupta: The Gupta dynasty was a powerful empire that
ruled over most of northern and central India from the
4th to the 6th century CE. They are known for their
achievements in art, literature, mathematics, astronomy,
and medicine. One of the famous examples of Gupta art is
the Dashavatara Temple at Deogarh in Uttar Pradesh,
which depicts the ten incarnations of Vishnu.

B. Chandela: The Chandela dynasty was a Rajput clan that
ruled over parts of central India from the 9th to the 13th
century CE. They are famous for their construction of the
Khajuraho temples, which are renowned for their erotic
sculptures and architectural beauty. The Khajuraho
temples are a UNESCO World Heritage Site and a
major tourist attraction.

C. Chalukya: The Chalukya dynasty was a royal family
that ruled over large parts of southern and central India
from the 6th to the 12th century CE. They had different
branches and capitals, such as the Kastern Chalukyas
of Vengi and the Western Chalukyas of Kalyani. ‘They
were known for their patronage of art, literature, and
religion. One of their prominent capitals was Badami in
Karnataka, where they built rock-cut caves and temples
with intricate carvings and paintings.

D. Pallava: The Pallava dynasty was a powerful kingdom that
ruled over parts of southern India from the 3rd to the 9th
century CE, They were influential in spreading Indian
culture and civilization to Southeast Asia. They were
also pioneers of Dravidian architecture and sculpture,
especially in stone and rock-cut temples. One of their
famous sites is Panamalai in Tamil Nadu, where they
built the Thalagirisvara Temple dedicated to Shiva."
29,Who among the following was not a famous jurists of medieval India?,Vigyanesvara,Hemadri,Rajashekhara,Jimutavahana,UPSC CSE Pre,1995.0,c,"Exp) Option c is the correct answer.

Vigyanesvara, Hemadri, and Jimutavahana were all

famous jurists of medieval India whereas Rajashekhara was

a 10th century scholar who wrote extensively on a variety of

subjects, including grammar, poetics, and music. He was not

a jurist.

i Important Tips

« Vijnaneshwara, a notable jurist of 12th-century
India, authored the Mitakshara, a significant legal
work on Hindu inheritance. Born in Masimadu near
Basavakalyan, Karnataka, he thrived under King
Vikramaditya VI of the Western Chalukya Empire
(1076-1126). |

« Hemadri Pandita, also known as THemdadapanta, ;
was a versatile figure and prime minister (1259-
1274 CE) under Kings Mahadev and Ramachandra

of the Seuna (Yadava) dynasty in India. A polymath,
jurist, diplomat, administrator, architect, poet,
and theologian, he played a pivotal role during the
zenith of the Yadav kingdom. Hemadri’s significant
contribution lies in his creation of Hemadpanti
architecture and the juristic work “Chatarvarga-
chintamani.”

¢ Jimitavahana (12th century) was a significant
Sanskrit scholar from Bengal, known for his legal
and religious works in Vaishnavism. His major texts

include Kalaviveka on auspicious timings, Vyvahara- |
matrika on judicial procedures, and the influential |

Dayabhaga, a treatise on inheritance laws that

prevailed in Bengal, differing from Mitakshara |

| tradition, |

« Rajashekhaca (10th century) wes @ Meharashtr!
Prakrit and Sanskrit poet, dramatist, and critic
In the cowet of the Gurfera Prattharas. Noteble
for the Kavyamimammss, @ golde for poets, he
wrote the Kirpiremahjeri play to honor his wife,
Aventisunderl, He acknowledged her contributions,
@ rere tralt among ancient indlen pocts. He used
the name Yéyévaca or Yaydvariys end teught King
Mohendrapale I."
30,"Consider the map given below:
*Map
The route indicated on the map was followed,
during the course of his military exploits, by:",Chandragupta-II,Harshavardhana,Rajendra Chola,Malik Kafur,UPSC CSE Pre,1995.0,d,"Exp) Option dls the correct enswer.

The map highlights the route of Malik Kefur's milltecy

expedition. Malhk Kafur, under Aleuddin Khalji's command,

embarked on a serles of significant militery campaigns in the
late 13th and carly 14th centuries,

+ Ja 1307, he Invaded the Yadava kingdom of Devagiri,
subjugating it end bringing its king under Delhi's
suzerainty.

© Kefer then ventured southword, besieging Warangal
Ja 1310, capturing it sfter s month, end securing a large
tribute.

* He continued to the Hoysale and Pandya kingdoms,
extracting wealth, before returning to Delbi in 131

« Kafurled another expedition to Devagirl in 1313, when
Ramechandra’s successor Singhana (or Shankeradeva)
refuted to continue the tribute payments. Kafur subdued
him, and annexed Devaylri to the Delhi Sultanate,"
31,Bronze icons of Nataraja cast during the Chola period invariably shaw the deity with:,Eight hands,Six hands,Four hands,Two hands,UPSC CSE Pre,1995.0,c,"Exp) Option ¢ Is the correct answer.

Nataraja Is a form of Lord Shiva and God of destruction

and regeneration. Nataraja means “the lord of dance’, and

depicts Shiva peeforraing the cosmic daace of creation
and dissolution. The bronze icons of Nataraja cast during
the Chola period are considered to de the finest examples
of Indian ert and metalwork. They Invaclably show the
delty with four bends, each holding a differeat symbol
or gesture. The upper right haud holds 9 drum, which
represents the sound of creation. The upper left hand holds

4 flame, which represents the fire of destruction, The lower

right hand shows the abhaya mudre, which means “fear not”

and signifies protection and blessing. The lower left-hand
polnts to the reised left foot, which represents liberation and
salvation. The right foot is placed on a dwarf, who symbolizes

ignorance and Ulusion. ."
32,The name of poet Kalidasa is mentioned in the:,Allahabad Pillar Inscription,Aihole Inscription,Alapadu Grant,Hanumankonda Inscription,UPSC CSE Pre,1994.0,b,"Exp) Option b 4s the correct answer, .
The name of the poet Kalidesa is meationed in the Aihole
Ineerlptton. The inscription is found at Aibole in Karnatake
state. The Alhole inscription was weltten by the Ravikirtl,
court poet of Chelukya King, Pulakeshl 11 who reigned
from 610 to 642 CE. The inscription praises Kalidasa’s poetic
skills and compares him to s swan (hamsa) that can separate
milk from water"
