q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
28,"Consider the following statements
The striking feature of the Jama Masjid in Kashmir completed by Zain-ul-Abidin include(s):
l. Turret
2. Similarity with Buddhist pagodas
3. Persian style
Which of the above statements is/are correct?",1 alone,"1,2 and 3",2 and 3,1 and 3,UPSC CSE Pre.,1999.0,b,"Exp) Option b is the correct answer. |
Statement 1 is correct: he turret is ove of the most |
distinctive features of the Jama Masiid. ‘She Masjid occupies :
a total area of 384 x 381 feet and is quadrangular in shape
with four turrets. These are in the middle of cach side
and covered with pyramidal roofs. All of the turrets are
interconnected by spacious halls, with bright yellow poppies
lining the mossy brick paths.
Statement 2 is correct: The turrets of the Jama Masjid are
similar to the turrets found on Buddhist pagodas, which are
tall, slender structures with a pyramidel roof,
Statement 3 is correct: The influence of Persian architectural
style is observed in various aspects of the imasaue’s design,
such as the arches, decorations, and overal! layout, which
bear similaritics to Persian architectural traditions."
29,The paintings of Abanindranath Tagore have classified as:,Realistic,Socialistic,Revivalistic,Impressionistic,UPSC CSE Pre.,1999.0,c,"Exp) Option c is the correct answer. }
Abanindranath Tagore’s paintings have been classified
as revivalistic, which means that they aimed to revive the

anclent and traditional art forms of india and creates distinct

mattonel identity aad pride. He painted various themes such

ts historical, mythological, religious, and literary subjects,

as well os landscapes, portraits, and animals, Some of his

famous paintings ave “Bharat Mata’, “The Passing of Shah

Jahao’, “Krishna Lila’, “Ganesh Janani® and “Journey's End®
Important Tips

Famous Modern Painters of Iadia:

«© Raja Ravi Varma: He was one of the first Indian
palmters to use oil paints and realistic style. He paiated
scenes from Hiadu mythology, history, and literature,
65 well as portreus of Indian soyalty and nobility. He is
segarded as the father of modern Indien art and the
pioneer of Indian printing press. Some of his fomous
Pauntings are “Shakuniale’, “Damaysnti Taking
to a Swan’, “Lady with tbe Lamp’ ead “Galaxy of
Muslclons”.

+ Jamiol Roy: Iie was one of the most original and
popular painters of India. He wes Inspired by the folk
art of Bengal, especially the Kalighat paintings. He used
bold coloura, simple forms, end geometric paticrne
to create his distinctive style, Some of Bus famous
paintings ere “Krishna oad Balerame”, “Mother end
Child"", “Sauthal Dance’, and “Cat™.

+ M.R Husain: He was one of the most prolific and
<onteoverstal palaters of India. He was a founding
member of the Progressive Artiste’ Group, which
almed to break eway (rom the traditional and ecademi¢
style of painting. Ie painted various thesscs such as
mythology, history, culture, religion, end cinema.
Some of his famous paintings are “Zameen, “Horses,
“Mother Teresa” and “Gandhi”.

© S.it. Resa: He was one of the most renowned abstract
painters of Indie. He was influenced by the Indiao
philosophy and cosmology, especially the concept of
Bindu o¢ the dot. He used vibrant colours, geometric
shapes, and symbols to create his abstract compositions.
Some of his famous paintings are “Ssorashica®,
“Bindu®, *Prakritl-Purashe®, end “Rajecthan’,"
30,The Besanagar inscription of Heliodorus is associated with-,Sankarshan and Vasudeva,Sankarshan and Pradyumna,"Sankarshan, Pradyumna and Vasudeva",Only Vasudeva,UPSC CSE Pre.,1998.0,d,"Rsp) Option d ls the correct answer,

The Bessnagar insceiption of Heltodorus is associated
with only Vasudeva. The Indo Greek ruler Anticidas seat
his ambassador Heliodorus to the court of Shungs reler
Bhagabhadra. Heligdorus constructed a pillar at Vidishe ia
honour of Vasudeva (Krishna). The Pillar is also known as
Garuda dhwajs or Besanagar Pillar inscription."
31,The Asokan major rock edicts which tell us about the Sangam Kingdom include rock edicts:,I and X,I and XI,II and XIII,II and XIV,UPSC CSE Pre.,1998.0,c,"£xp) Option c ts the correct answer.

Rock Edict 11 and X21 of Ashoka’s mejor rock edicts
provide insights into the Sangam Kingdom. Edict 1
discusses dhammia's catadlishment and mentions the Chola,
Pandya, and Setiyaputa regions, referred to os “Sangam”
highlighting thete cultural significance. Edict XUI records

Ashoka’s remorse for Kalinga war and dhamma’s spread in

the south, reaching Cholas, Pandyas, and Ceylon. These

edicts offer valuable information about Ashoka’s rule and his
efforts to promote dhamma in diverse regions of his empire."
32,"Consider the following: 
1. Tughluqabad
2. Lodi Garden
3. Qutb Minar
4 Fatehpur Sikri
The correct chronological order in which they were built is:","3, 1, 4, 2","3, 1, 2, 4","1, 3, 2, 4","1, 3, 4, 2",UPSC CSE Pre.,1998.0,b,"Exp) Option b is the correct answer.

The correct chronological order is Qutub Minar,

Tughlaqabad Fort, Lodhi Garden and Fatehpur Sikri.

* Qutub Minar in red and buff standstone is the highest
tower in India. Qutbu'd-Din Aibak laid the foundation of
Minar in AD 1199.

+ Tughlagabad Fort is a ruined fort in Delhi, which was
built by Ghiyasud- din Tughlaq, the founder of Tughlaq

. dynasty, of the Delhi Sultanate in 1321.

¢ Lodhi Garden was set up in between the 15th and 16th
centuries by the Sayyid and Lodhi rulers.

« The city of Fatehpur Sikri was founded in 1569 by the
Mughal Emperor Akbar, and served as the capital of
the Mughal Empire from 1571 to 1585, It is a UNESCO
World Heritage Site."
33,Which one of the following ancient Indian records is the earliest royal order to preserve food-grains to be utilised during the crisis in the country?,Sohgaura Copper-plate,Rummindei Pillar-edict of Asoka,Prayaga- Prasasti,Mchrauli Pillar inscription of Chandra,UPSC CSE Pre.,1998.0,a,"Exp) Option a is the correct answer.

The earliest royal order to preserve food-grains to be

utilized during the crisis in the country is found in the

Sohgaura Copper-plate: inscription. This inscription,

discovered in Sohgaura, Uttar Pradesh, is believed to date

back to the period of Ashoka or possibly even earlier. It
mentions the establishment of two grain depots to store
commodities from. different regions as a measure to
combat famine and crisis, making it an early example of
food-grain preservation in India.

Important Tips

Iron pillar of Delhi (Mehrauli Pillar):

« The historic Mehrauli Iron Pillar, originally situated
near the Beas River, was moved to Delhi by a Delhi
king.

¢ Mehrauli inscription praises the Gupta emperor
Chandragupta Vikramaditya’s achievements. It dates
from the late fourth to early fifth century A.D and
presently situated in the Qutb Mosque’s courtyard.

« It is thought to have had the emblem of the mythical
bird Garuda, the Guptas’ symbol, at the top, but it is
now missing.

* Over 1600 years old, it remains rust-free and a
testament to ancient India’s engineering prowess.

The Allahabad Pillar Inscription (Prayag Prasasti):

¢« The Allahabad Pillar Inscription is situated at the
confluence of the Ganga, Yamuna, and mythical
Saraswati rivers, lending its name from “Prayag.”

« Prashasti, signifying praise, was initially inscribed
on the Kausambhi Ashokan Pillar, later moved to
Allahabad fort.

+ This Ashokan Stambh showcases four inscriptions,
including standard Ashokan ottes, a Queen’s edict
praising Kaurwaki’s charity, Samudragupta’s
conquest inscriptions in Sanskrit and Brahmi, and
Jahangir’s Persian inscriptions."
34,Which Ashokan Rock Edict describes the victory and injuries of Kalinga war?,Rock edict I,Rock edict II,Rock edict XII,Rock edict XIII,UPSC CSE (Pre),1998.0,d,"so . ,
Exp) Option d is the correct answer.
The Ashokan Rock Edict that describes the victory and
injuries of the Kalinga war is Rock Edict XIII: This
inscription details Emperor Ashoka’s victory over Kalinga
and his remorse for the suffering caused during the
conquest. It also mentions his commitment to the principles
of “Dhamma” (righteousness) and his efforts to spread these
principles throughout his empire. :

- Important Tips :

Key highlights of Major Rock Edict XIII:

e Victory over Kalinga: The edict describes ‘Ashoka’s
victorious military campaign against the kingdom of
Kalinga in 262-261 BC.

« Remorse and Dhamma: Ashoka expresses deep
remorse for the tremendous loss of life and suffering
caused during the Kalinga war, with estimates of half
a million casualties. He attributes this remorse to the
principles of “Dhamma,” emphasizing moral conduct
and compassion. ,

« Extent of Conquest: Ashoka proclaims his conquests
that have extended his empire's boundaries to cover a |
vast expanse of 600 yojanas (a measure of distance).

¢ Influence of Dhamma: Ashoka states that the teachings
of Brahmans and Sramana are now widespread across
his empire, except for the lands of the Greeks.

+ Directive to Forest Tribes: Ashoka urges forest-
dwelling tribes to embrace Dhamma and repent for
their actions, or face consequences. 7 ,

+ Greek Rulers: He names Greek rulers beyond his
empire’s borders, like Antiochus II Theos, Ptolemy III
Euergetes, Antigonus Gonatus, Magas of Cyrene, and
possibly Alexander IT of Epirus.

« Dhamma’s Victory in South India: The edict notes the
spread of Dhamma’s influence in South India among
the Cholas and Pandyas, extending as far as Ceylon (Sri |
Lanka).

+ Dual Language: Major Rock Edict XIII was also
inscribed in Greek, emphasizing Ashoka’s desire to
communicate his message across different linguistic ‘
communities. . .

« Symbol of Ashoka’s Transformation: This edict stands | .
as aremarkable symbol of Ashoka’s transformation from
a conqueror to a promoter of ethical principles, social | _
welfare, and compassion, driven by his commitment to
Dhamma. _"
35,Which one of the following edicts mentions the personal name of Ashoka?,Kalsi,Rummindei,Special Kalinga Edict,Maski,UPSC CSE Pre.,1997.0,d,". ;

Exp) Option d is the correct answer.- . ;

The edict that mentions the personal name of Ashoka is
the one found at Maski. The Maski edict is part of Ashoka’s
Minor Rock Edicts, issued in the 3rd century BCE. It’s
in Maski, Karnataka, inscribed in Brahmi, and .dated
to Ashoka’s 25th year. This edict is significant because
it contains the name “Ashoka,” whereas earlier edicts
referred to him as “Devanampiye Piyadasi.” The discovery
of this edict at Maski provided important historical insights
into the life and reign of Emperor Ashoka."
36,Which one of the folowing statements regarding Ashokan stonepillars is incorrect?,These are highly polisd,These are monolithic,The shaft of pillars is tapering in shape,These are parts of architectural structures,"UPSC CSE Pr,",1997.0,d,"Exp) Option d is the correct answer.

The Ashokan stone pillars are not parts of architectural
structures. Instead, they are standalone monumental
columns erected by Emperor Ashoka across his empire.
These pillars often have inscriptions carved onto them,
spreading Ashoka’s messages and teachings. The pillars are
highly polished, monolithic (carved from a single piece of
stone), and have a tapering shape with a capital on top.

Important Tips

Differences between Mauryan pillars and Achaemenian

pillars:
1¢ Material: Mauryan pillars are made from a single piece
: of stone, while Achaemenian pillars are made up of
| multiple pieces of stone.

{+ Shape: The shaft of a Mauryan pillar is smooth, while
| the shaft of an Achaemenian pillars has grooves.

« Capital: The capital of a Mauryan pillar is bell-shaped,

while the capital of an Achaemenian pillars is not.

e Becoration: Mauryan pillars are often inscribed with

royal edicts, while Achaemenian pillars are not.

° Function: Mauryan pillars are free-standing

monuments, while Achaemenian pillars are often part |"
37,Mughal painting reached its zenith under:,Tlumayun,Akbar,Jahangir,Shah Jahan,UPSC CSE Pre.,1996.0,c,"Exp) Option c is the correct answer.

During the reign of Jahangir, Mughal painting achieved its
pinnacle through a blend of Indian, Persian, and Islamic
styles, originating from the synthesis of the Indian and
Safavid Persian painting traditions. Jahangir’s personal
passion for art, particularly painting, catalyzed this creative
flourishing, resulting in the liberation of Indian painting
from foreign influences and a harmonious fusion of distinct
styles. His affinity for depicting the natural world, including
hunting scenes, birds, and flowers, enriched the artistic
landscape, while the tradition of portraiture continued to
thrive. Notable painters like Abul Hasan, Mansur, Bishan
Das, Goverdhan, Balchand, Daulat, Mukhlis, Bhim, and
Inayat illuminated his court with their artistic brilliance.
ae

Important Tips
Famous Painters in Jahangir’s Court:
| Ustad Mansur:
Ustad Mansur, a preeminent nature artist during
Jahangir’s court in the early 17th century, was highly
regarded for his scientific precision. His illustrations of
flora and fauna were meticulously detailed and devoid of
personal interpretation, offering both scientific accuracy
and artistic excellence. His prowess led to the title “Nadir-
ul-’Asr” (Miracle of the Age) bestowed upon him by the
emperor. Tasked with documenting plants and animals,
he accompanied Jahangir on journeys, creating a prolific
body of work, including over 100 flower paintings during
a Kashmir Valley expedition, as recounted in Jahangir’s
memoirs, I
| Bishandas:
| Lauded by the emperor as unparalleled in portraiture,
| Bishandas earned distinction for his exceptional skills.
In 1613, he embarked on a diplomatic venture to Persia,
commissioned to paint the Shah's portrait. His sojourn in
Persia spanned seven years, culminating in his return with
= gift - an elephant, symbolizing the successful
completion of his mission. _"
