Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>Consider the following statements:</p><p>1. The Governor of the Reserve bank of India (RBI) is a appointed by the Central Government.</p><p>2. Certain provisions in the Constitution of India give the Central Government the right to issue directions to the RBI in public interest.</p><p>3. The Governor of the RBI draws his power from the RBI Act.</p><p>Which of the above statements are correct?</p>,(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),c,Easy,,"<ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>According to Section 8 of RBI ACT 1934-<ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>A Governor and (not more than four) Deputy Governors to be appointed by the Central Government.<strong> Hence statement 1 is correct</strong>. </li></ul></li><li>According to Section 7 of RBI ACT 1934- <ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>The Central Government may from time to time give such directions to the Bank as it may, after consultation with the Governor of the Bank, consider necessary in the public interest. There is no such provision in the constitution of India. <strong>Hence statement 2 is not correct. </strong></li></ul></li><li>According to Section 7 of RBI Act 1934- <ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>The Governor and in his absence the Deputy Governor nominated by him in this behalf, shall also have powers of general superintendence and direction of the affairs and the business of the Bank, and may exercise all powers and do all acts and things which may be exercised or done by the Bank. <strong>Hence statement 3 is correct.</strong></li></ul></li></ul>"
2," <p>With reference to casual workers employed in India, consider the following statements:</p><p>1. All casual workers are entitled for Employees Provident Fund coverage.</p><p>2. All casual workers are entitled for regular working hours and overtime payment.</p><p>3. The government can by a notification specify that an establishment or industry shall pay wages only through its bank account.</p><p>Which of the above statements are correct?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Indian Economy),d,Medium,,"<ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>Holding that an employer cannot differentiate between contractual and permanent employees, the Supreme Court in Pawan Hans Limited &amp; Ors. Vs Aviation Karmachari Sanghatana has ruled that casual workers are also entitled to social security benefits under the Employees’ Provident Funds and Miscellaneous Provisions Act. </li><li>Code on Social Security, 2020-<ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>The Code replaces nine laws related to social security. These include the<strong> Employees’ Provident Fund Act, 1952, the Maternity Benefit Act, 1961, and the Unorganised Workers’ Social Security Act, 2008 among others.</strong></li><li>The code is applicable to any establishment (subject to size-threshold as may be notified by the central government).</li></ul></li><li>Social security fund: The code states that the central government will set up such a fund for unorganized workers, gig workers and platform workers. Further, state governments will also set up and administer separate social security funds for unorganized workers. </li><li><strong>Code on Wages, 2020 ,Section 6 &amp; 7 are related to number of regular working hours and Weekly day of rest &amp; overtime provisions respectively. Hence statements 1&amp; 2 are correct. </strong></li><li>The Payment of Wages Act, 1936 has been amended by Payment of Wages (Amendment) Act, 2017 (effective from 28.12.2016) to enable the employers to pay wages to their employees by (a) cash or (b) cheque or (c) crediting to their bank account. </li><li>The amendment in the Act also enables the appropriate Government to specify the industrial or other establishment, by notification in the Official Gazette, which shall pay to every person employed in such industrial or other establishment, the wages only by cheque or by crediting in his bank account. <strong>Hence statement 3 is correct.</strong></li></ul>"
3, <p>Which among the following steps is most likely to be taken at the time of an economic recession?</p>,(a) Cut in tax rates accompanied by increase in interest rate,(b) Increase in expenditure on public projects,(c) Increase in tax rates accompanied by reduction of interest rate.,(d) Reduction of expenditure on public projects,Economics (Macroeconomics),b,Easy,,"<ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li><strong>Recession-</strong> It is a situation which is characterized by negative growth rate of GDP in two successive quarters. Some of the indicators of a recession include slowdown in the economy, fall in investments, fall in the output of the economy etc. If an economy experiences a recession and GDP falls, tax revenues fall because firms and households pay lower taxes when they earn less.</li><li>It is prudent for government as well as central bank to follow Expansionary fiscal and monetary policy respectively to stimulate the economy, but keeping in mind the inflationary pressure. </li><li>In all the given options- <ul data-mce-style=""list-style-type: circle;"" style=""list-style-type: circle;""><li>Cut in tax rates accompanied by increase in interest rate- Increase in interest rate results into credit crunch in the economy which is not desirable at the time of recession. </li><li>Increase in expenditure on public projects- It is one of the tool to stimulate the economy at the time of recession, as it triggers the virtuous cycle of investment, which leads to increase in GDP (production of goods &amp; services) and income in the economy and in turn increase in demand, and thus completes the virtuous cycle. </li></ul></li><li>Increase in tax rates accompanied by reduction of interest rate- Increase in tax rate is not desirable at the time of recession as income is falling in the economy. </li><li>Reduction of expenditure on public projects- It is not desirable at the time of recession as it will lead to less government expenditure thereby not contributing much to output.</li><li><strong>Hence (b) is the correct answer.</strong></li></ul>"
4," <p>Consider the following statements:Other things remaining unchanged, market demand for a good might increase if</p><p>1. price of its substitute increases</p><p>2. price of its complement increases</p><p>3. the good is an inferior good and income of the consumers increases</p><p>4. its price falls</p><p>Which of the above statements are correct?</p>",(a) 1 and 4 only,"(b) 2, 3 and 4","(c) 1, 3 and 4","(d) 1, 2 and 3",Economics (Microeconomics),a,Easy,,"<ul><li><strong>Law of Demand-</strong> Law of Demand states that other things being equal, there is a negative relation between demand for a commodity and its price. In other words, when price of the commodity increases, demand for it falls and <strong>when price of the commodity decreases, demand for it rises, other factors remaining the same. Hence, statement 4 is correct.</strong></li><li>The quantity of a good that the consumer demands can increase or decrease with the rise in income depending on the nature of the good.</li><li>For most goods, the quantity that a consumer chooses, increases as the consumer’s income increases and decreases as the consumer’s income decreases. Such goods are called Normal Goods. Thus, a consumer’s demand for a normal good moves in the same direction as the income of the consumer. <strong>However, there are some goods the demands for which move in the opposite direction of the income of the consumer. Such goods are called Inferior Goods. As the income of the consumer increases, the demand for an inferior good falls, and as the income decreases, the demand for an inferior good rises.</strong> Examples of inferior goods include low quality food items like coarse cereals.<strong> Hence statement 3 is not correct. </strong></li><li>The quantity of a good that the consumer chooses can increase or decrease with the rise in the price of a related good depending on whether the two goods are substitutes or complementary to each other. Goods which are consumed together are called complementary goods. </li><li>Examples of goods which are complement to each other include tea and sugar, shoes and socks, pen and ink, etc. <strong>Since tea and sugar are used together, an increase in the price of sugar is likely to decrease the demand for tea</strong> and a decrease in the price of sugar is likely to increase the demand for tea. Similar is the case with other complements. <strong>With the increase in price of complement, demand reduces. Hence statement 2 is not correct. </strong></li><li>In contrast to complements, goods like tea and coffee are not consumed together. In fact, they are substitutes for each other. Since tea is a substitute for coffee, if the price of coffee increases, the consumers can shift to tea, and hence, the consumption of tea is likely to go up. On the other hand, if the price of coffee decreases, the consumption of tea is likely to go down.<strong> The demand for a good usually moves in the direction of the price of its substitutes. Hence statement 1 is correct. </strong></li></ul>"
5," <p>With reference to 'Urban Cooperative banks' in India consider the following statements:</p><p>1. They are supervised and regulated by local boards set up by the State Governments.</p><p>2. They can issue equity shares and preference shares.</p><p>3. They were brought under the purview of the Banking Regulation Act, 1949 through an Amendment in 1966.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),b,Easy,,"<ul><li><strong>Large cooperative banks with paid-up share capital and reserves of Rs.1 lakh were brought under the preview of the Banking Regulation Act 1949 with effect from 1st March, 1966 and within the ambit of the Reserve Bank’s supervision. </strong>This marked the beginning of an era of duality of control over these banks. Banking related functions (viz. licensing, area of operations, interest rates etc.) were to be governed by RBI and registration, management, audit and liquidation, etc. governed by State Governments as per the provisions of respective State Acts. So the control of the RBI was partial and it shared the control with the registrar of cooperative societies of States, giving rise to the much-discussed dual control and the difficulties it posed to the central bank. <strong>Hence statement 3 is correct. </strong></li><li><strong>The recent Banking Regulation (Amendment) Act 2020 enables the RBI to get all the powers, including those hitherto exclusively with the registrar of cooperative societies.</strong> However, powers of registrar continue to be with him but the powers of RBI override those of registrar. <strong>Hence statement 1 is not correct. </strong></li><li>While the amendment gives the required powers to the RBI to take timely action and steps to prevent UCBs from failing so that depositors’ monies are protected, which was the main purpose of the amendment, it also enjoins upon the central bank to make regulations under BR Act without compromising on the cooperative nature and cooperative principles of the banks.</li><li>The Reserve Bank has given new guidelines allowing primary urban cooperative banks (UCBs) to augment capital through issuance of equity shares, preference shares and debt instruments.</li><li>The UCBs, it said, could raise share capital by issue of equity to persons within their area of operation enrolled as members and also through additional equity shares to the existing members. <strong>Hence statement 2 is correct.</strong></li></ul>"
6, <p>Indian Government Bond Yields are influenced by which of the following?</p><p>1. Actions of the United States Federal Reserve</p><p>2. Actions of the Reserve bank of India</p><p>3. Inflation and short-term interest rates</p><p>Select the correct answer using the code given below.</p>,(a) 1 and 2 only,(b) 2 only,(c) 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),d,Easy,,"<ul><li>Bond yield is the return an investor gets on that bond or on a particular government security. It depends on the price of the bond which is impacted by its demand. The major factors affecting the yield is the monetary policy of the Reserve Bank of India, especially the course of interest rates, the fiscal position of the government and its borrowing programme, global markets, economy, and inflation.</li><li>Actions of the United States federal reserve can impact the investments flowing in India. The investments by foreign players in government securities can be effected by this. This will lead to change in demand of government securities and thereby impacting its yield. <strong>Hence statement 1 is correct. </strong></li><li>Actions of Reserve bank determine the liquidity and also the cost of funds available in the economy through its various inflation management tools. The cost of funds will directly impact the demand of government securities in the market and thereby influencing its yield. <strong>Hence statement 2 is correct. </strong></li><li>Inflation and short term rates determine the purchasing capacity of the people in the economy. Therefore, this also has impact on the demand and price of the government -securities thereby influencing the yield. <strong>Hence statement 3 is correct. </strong></li></ul>"
7, <p>Consider the following:</p><p>1. Foreign currency convertible bonds</p><p>2. Foreign institutional investment with certain conditions</p><p>3. Global depository receipts</p><p>4. Non-resident external deposits</p><p>Which of the above can be included in Foreign Direct Investments?</p>,"(a) 1, 2 and 3",(b) 3 only,(c) 2 and 4,(d) 1 and 4,Economics (Macroeconomics),a,Medium,,"<ul><li>In Capital Account of Balance of Payment, we can classify into Investment, Borrowings and External Assistance. </li><li>Investment includes Equity flow in the economy. Foreign Currency Convertible Bonds (FCCB), Foreign Institutional Investment with certain conditions (subject to the overall limit of 24%), and Global Depository Receipts (GDR) are the instruments for the foreign investment in India. <strong>Hence options 1, 2 and 3 are correct. </strong></li><li><strong>Non-Resident external deposits are a ‘debt creating' flow in balance of payments accounts</strong> and therefore, not part of Foreign Direct investments. <strong>Hence options 4 is not correct. </strong></li></ul>"
8, <p>Consider the following statements:</p><p>The effect of devaluation of a currency is that it necessarily</p><p>1. improves the competitiveness of the domestic exports in the foreign markets.</p><p>2. increases the foreign value of domestic currency</p><p>3. improves the trade balance</p><p>Which of the above statements is/are correct?</p>,(a) 1 only,(b) 1 and 2,(c) 3 only,(d) 2 and 3,Economics (Macroeconomics),a,Easy,,"<ul><li>Devaluation means official lowering of the value of a country's currency within a fixed exchange rate system. Devaluation of a currency happens in countries with a fixed exchange rate (or also where it is managed floating rate).</li><li>Example- Let us assume that prevailing exchange rate of $1 is 10 rs. So currently 1 rs is worth of $0.1. If devaluation of currency is done and now exchange rate of $1 is 20 rs, this means 1 rs is worth of $0.05. So the value of domestic currency (rs) is decreased in terms of value of foreign currency ($). <strong>Hence, statement 2 is not correct. </strong></li><li>Let us take another example to understand statement 1- If a shirt costs $8 in the US and Rs 400 in India, the rupee-dollar exchange rate should be Rs 50. To see why, at any rate higher than Rs 50, say Rs 60, it costs Rs 480 per shirt in the US but only Rs 400 in India. In that case, all foreign customers would buy shirts from India. So devaluation of currency improves the competitiveness of the domestic exports (India) in the foreign markets. <strong>Hence, statement 1 is correct. </strong></li><li>Balance of Trade (BOT) is the difference between the value of exports and value of imports of goods of a country in a given period of time.</li><li>Regarding third statement, with the devaluation of currency competitiveness of the export improves, but trade balance depends upon both export as well as imports and it is not necessarily true that devaluation of currency improves trade balance. (Let us take a possibility in Indian economy, our economy is heavily dependent upon the import of crude oil, and at the time of devaluation of currency, export increases but for the same period, demand for crude oil also increases due to increased growth in the economy, and the value of this increase in import is more than the value of increase in export. So, in this scenario again we have deficit trade balance). <strong>Hence statement 3 is not correct. </strong></li></ul>"
9, <p>Which one of the following effects of creation of black money in India has been the main cause of worry to the Government of India? </p>,(a) Diversion of resources to the purchase of real estate and investment in luxury housing,"(b) Investment in unproductive activities and purchase of previous stones, jewellery, gold, etc.",(c) Large donations to political parties and growth of regionalism,(d) Loss of revenue to the State Exchequer due to tax evasion,Economics (Macroeconomics),d,Easy,,"<ul><li>Black Money- There is no official definition of black money in economic theory, with several different terms such as parallel economy, black money, black incomes, unaccounted economy, illegal economy and irregular economy all being used more or less synonymously. The simplest definition of black money could possibly be money that is hidden from tax authorities. That is, black money can come from two broad categories: illegal activity and legal but unreported activity. </li><li>The first category is the more obvious of the two. Money that is earned through illegal activity is obviously not reported to the tax authorities, and so is black. The second category comprises income from legal activity that is not reported to the tax authorities. For example, let us assume that a piece of land is sold, with the payment made in the proportion of 60% by cheque or electronic transfer, and 40% in cash. If that 40% cash component is not reported to the Income Tax Department, then it is black money. A large number of small shops around the country almost exclusively do business in cash without receipts. All of this could potentially be black money. </li><li>Another major source of black money is income earned by companies that is routed through shell companies abroad, thereby evading tax authorities. </li><li>There are several ways to curb black money and the first is through legislative action. The government has already enacted several laws that seek to formalise the economy and make it necessary to report economic transactions. These include the Central Goods and Services Tax Act, the various GST Acts at the State levels, the Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015, the Benami Transactions (Prohibition) Amendment Act, and the Fugitive Economic Offenders Act to name a few. </li><li>Another method employed by the government to make it harder for transactions to be hidden is to mandate the reporting of PAN for transactions of more than ₹2.5 lakh, and the prohibition of cash receipts of ₹2 lakh or more and a penalty equal to the amount of such receipts if a person contravenes the provision. </li><li>statements given in option a, b, and c are ways of creation of black money. </li><li>Option d is the effect of creation of black money. </li></ul>"
10, <p>Which one of the following is likely to be the most inflationary in its effects? </p>,(a) Repayment of public debt,(b) Borrowing from the public to finance a budge deficit,(c) Borrowing from the banks to finance a budge deficit,(d) Creation of new money to finance a budget deficit,Economics (Macroeconomics),d,Easy,,"<ul><li>Borrowing from public and banks will lead to a decrease in the money supply in market as in both the options money in hand is reduced for public and money to lend is reduced for banks. </li><li>Creation to new money to finance a budget deficit will have more inflationary effect than repayment of debt, as it will lead to an increase in total money supply in the market.(as new money is being created). <strong>Hence option (d) is the correct answer. </strong></li><li>During last fiscal year, option of monetization of deficit was explored but idea was dropped due to likely inflationary pressure. </li></ul>"
11, <p>The money multiplier in an economy increases with which one of the following?</p>,(a) Increase in the Cash Reserve Ratio in the banks,(b) Increase in the Statutory Liquidity Ratio in the banks,(c) Increase in the banking habit of the people,(d) Increase in the population of the country,Economics (Macroeconomics),c,Easy,,"<ul><li>Banks create money by making loans. A bank loans or invests its excess reserves to earn more interest.</li><li>A one-rupee increase in the monetary base causes the money supply to increase by more than one rupee. </li><li>The increase in the money supply is the money multiplier.</li><li>Cash Reserve Ratio (CRR) = Percentage of deposits which a bank must keep as cash reserves with the bank.</li><li>Apart from the CRR, banks are also required to keep some reserves in liquid form in the short term. This ratio is called Statutory Liquidity Ratio or SLR.</li><li>Money Multiplier=1/CRR</li><li>Let us assume that our bank starts with a deposit of Rs 100 made by Mr. X. The reserve ratio is 20%. Thus our bank has Rs 80 (100 – 20) to lend and the bank lends out Rs 80 to Mr. Y, which shows up in the bank’s deposits in the next round as liabilities, making a total of Rs 180 as deposits. Now our bank is required to keep 20 per cent of 180 i.e. Rs 36 as cash reserves. Recall that our bank had started with Rs 100 as cash. Since it is required to keep only Rs 36 as reserves, it can lend Rs 64 again (100 – 36 = 64).</li><li>The bank lends out Rs 64 to Mr. Z. This in turn shows up in the bank as deposits. The process keeps repeating itself till all the required reserves become Rs 100. The required reserves will be Rs 100 only when the total deposits become Rs 500. This is because for deposits of Rs 500, cash reserves would have to be Rs 100 (20 per cent of 500 = 100).</li><li>From the above example, it is clear that money multiplier in the economy increases with the banking habit of the people not only an increase in the population. <strong>Increase in banking habit leads to lower cash deposit ratio and hence increase in money multiplier.</strong></li><li>But this money creation is limited by CRR, money supply increases from Rs 100 to Rs 500. Given a CRR of 20%, the bank cannot give a loan beyond Rs 400. Hence, requirement of reserves acts as a limit to money creation. So, as CRR or SLR is increased by RBI, money multiplier is decreased, as there would be less amount of money for credit creation with the banks. </li><li><strong>Hence correct option is c</strong>. </li></ul>"
