Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>Match List I (Articles of the Constitution of India) with List II (Provision) and select the correct answer using the codes given below the lists:      </p>
<table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""height: 10px;"" width=""953"">
<tbody>
<tr style=""height: 0px;"">
<td valign=""top"">
<p><strong>    List I</strong></p>
</td>
<td valign=""top"">
<p><strong>      List II</strong></p>
</td>
</tr>
<tr style=""height: 0px;"">
<td valign=""top"">
<p>A. Article 14</p>
</td>
<td valign=""top"">
<p>1. The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth, or any of them.</p>
</td>
</tr>
<tr style=""height: 0px;"">
<td valign=""top"">
<p>B. Article 15</p>
</td>
<td valign=""top"">
<p>2. The State shall not deny to any person equality before the law or the equal protection of laws within the territory of India.</p>
</td>
</tr>
<tr style=""height: 0px;"">
<td valign=""top"">
<p>C. Article 16</p>
</td>
<td valign=""top"">
<p>3. Untouchability is abolished and its practice in any form is forbidden.</p>
</td>
</tr>
<tr style=""height: 10px;"">
<td valign=""top"">
<p>D. Article 17</p>
</td>
<td valign=""top"">
<p>4. There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the state.</p>
</td>
</tr>
</tbody>
</table>
<p>Select the answer using the codes given below.</p>","(a) A-2, B-1, C-4, D-3","(b) A-3, B-1, C-4, D-2","(c) A-2, B-4, C-1, D-3","(d) A-3, B-4, C-1, D-2",Polity and Governance,a,Medium,Factual,"<p>Article 14 Equality before law. Article 15 Prohibition of discrimination on grounds of religion, race, caste, sex, place of birth etc. Article 16 Equality of opportunity in matters of public employment. Article 17 Abolition of Untouchability.</p>"
2," <p>Consider the following statements:</p>
<ol>
<li>As per the Factories Act, a child is anyone less than the age of 15 years.</li>
<li>As per the Juvenile Justice Act, a child is anyone less than the age of 18 years.</li>
</ol>
<p>Which of the above statements is/are not correct?</p>",(a) 1 only,(b) 2 Only,(c) Both 1 and 2,(d) Neither 1 nor 2,Social issues,b,Medium,Factual,
3," <p>Which one of the following statements correctly describes the Fourth Schedule of the Constitution of India?</p>
",(a)  It contains the scheme of the distribution of powers between the Union and the States.,(b)  It contains the languages listed in the Constitution.,(c)  It contains the provisions regarding the administration of tribal areas.,(d)  It allocates seats in the Council of States.,Polity and Governance,d,Easy,Factual,<ul><li>Fourth Schedule (Article 4(1) and 82(2)) is about the allocation of seats in the Council of States. Distribution of powers between the Union and the States – Seventh Schedule. Language listed in Eighth Schedule. Administration of Tribal areas in Sixth Schedule.</li></ul>
4," <p>Which one of the following Articles of the Constitution of India says that the executive power of every State shall be so exercised as not to impede or prejudice the exercise of the executive power of the Union?</p>
",(a)  Article 257,(b)  Article 258,(c)  Article 355,(d)  Article 356,Polity and Governance,a,Medium,Factual,"<ul><li>Article 258 – Power of the Union to confer power etc. on states in certain cases. Article 355 and 356 deals with emergency provisions. So answer is Article 257, which says that the executive power of the states shall be so exercised as not to impede or prejudice the executive power of the Union.</li></ul>"
5," <p>Which one of the following is the correct sequence in the descending order of precedence in the warrant of precedence?</p>
",(a) Attorney General of India - Judges of the Supreme Court - Members of Parliament - Deputy Chairman of Rajya Sabha.,(b) Judges of the Supreme Court - Deputy Chairman of Rajya Sabha - Attorney General of India - Members of Parliament.,(c) Attorney General of India Deputy Chairman of Rajya Sabha - Judges of the Supreme Court - Members of Parliament.,(d)  Judges of the Supreme Court - Attorney General of India - Deputy Chairman of Rajya Sabha - Members of Parliament.,Polity and Governance,b,Medium,Factual,<ul><li>The correct sequence is : Judges of Supreme Court &gt; Deputy Chairman of Rajya Sabha &gt; Attorney General of India &gt; M.P.S.</li></ul>
6," <p>Which of the following pairs is correctly matched? Departments Ministry of the Government of India:</p>
<p>1. Department of Child Development : Ministry of Health and Family Welfare</p>
<p>2. Department of Official Language : Ministry of Human Resource Development</p>
<p>3. Department of Drinking Water Supply : Ministry of Water Resources</p>
<p>Select the correct answer using the codes given below:</p>
",(a)  1,(b)  2,(c)  3,(d)  None,Polity and Governance,d,Easy,Factual,"<ul><li style=""text-align: justify;"">Department of Child Development: Ministry of Social Justice and Empowerment. Department of Official Language: Ministry of Home. Department of Drinking Water Supply: Ministry of Rural Development.</li></ul>"
7," <p>Consider the following statements:</p>
<p>1. The Speaker of Lok Sabha has the power to adjourn the House sine die but, on prorogation, it is only the President who can summon the House.</p>
<p>2. Unless sooner dissolved or there is an extension of the term, there is an automatic dissolution of the Lok Sabha by efflux of time, at the end of the period of five years, even if no formal order of dissolution is issued by the President.</p>
<p>3. The Speaker of Lok Sabha continues in office even after the dissolution of the House and until ‘immediately before the first meeting of the House’.</p>
<p>Which of the statements given above are correct?</p>
",(a)  1 and 2,(b)  2 and 3,(c)  1 and 3,"(d)  1, 2 and 3",Polity and Governance,d,Difficult,tConceptual,"<p>All the given statements are correct. The dissolution of Lok Sabha takes place in either of two days: </p><p>1. Automatic dissolution (i.e. on the expiry of efflux of its tenure), </p><p>2. Whenever the President decides to dissolve the House.</p>"
8," <p>Which one of the following statements is not correct?</p>
","(a)  In Lok Sabha, a non-confidence motion has to set out the grounds on which it is based.","(b)  In the case of a no-confidence motion in Lok Sabha, no conditions of admissibility have been laid down in the Rules.","(c)  A motion of no-confidence once admitted, has to be taken up within ten days of the leave being granted.",(d)  Rajya Sabha is not empowered to entertain a motion of no-confidence.,Polity and Governance,a,Medium,Conceptual,"<ul><li data-mce-style=""text-align: justify;"" style=""text-align: justify;"">'No-confidence Motion' need not state the reasons for its adoption is the Lok Sabha. If the Speaker thinks it to be fit according to the procedures of the house he reads it out in the house and it is required to be supported by at least 50 members.</li></ul>"
9," <p>With reference to Indian Parliament, which one of the following is not correct?</p>
",(a)  The Appropriation Bill must be passed by both the Houses of Parliament before it can be enacted into law.,(b)  No money shall be withdrawn from the Consolidated Fund of India except under the appropriation made by the Appropriation Act.,(c)  Finance Bill is required for proposing new taxes but no another Bill/Act is required for making changes in the rates of taxes which are already under operation.,(d)  No Money Bill can be introduced except on the recommendation of the President.,Polity and Governance,c,Difficult,tConceptual,<ul><li>Finance Bill is required for proposing new taxes but any change suggested there in requires fresh approval of the Parliament.</li></ul>
10," <p>Who among the following was never the Lok Sabha Speaker?</p>
",(a)  K.V. K. Sundaram,(b)  G.S. Dhillon,(c)  Baliram Bhagat,(d)  Hukam Singh,Polity and Governance,a,Medium,Factual,"<ul><li>G.S. Dhillon served as the Speaker in fourth and fifth Lok Sabhas. Baliram Bhagat in Fifth Lok Sabha, Hukam Singh in Third Lok Sabha.</li></ul>"
