Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>Match List I (Item in the Indian Constitution) with List II (Country from which it was derived) and select the correct answer using the codes given below the lists:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""mceItemTable""><tbody><tr><td valign=""top"" width=""133""><p align=""center""><strong>List I</strong></p></td><td valign=""top"" width=""126""><p align=""center""><strong>List II</strong></p></td></tr><tr><td valign=""top"" width=""133""><p>A. Directive Principles of State Policy</p></td><td valign=""top"" width=""126""><p>1. Australia</p></td></tr><tr><td valign=""top"" width=""133""><p>B. Fundamental Rights</p></td><td valign=""top"" width=""126""><p>2. Canada</p></td></tr><tr><td valign=""top"" width=""133""><p>C. Concurrent List in Union-State Relations</p></td><td valign=""top"" width=""126""><p>3. Ireland</p></td></tr><tr><td valign=""top"" width=""133""><p>D. India as a Union of States with greater powers to the Union</p></td><td valign=""top"" width=""126""><p>4. United Kingdom</p></td></tr><tr><td valign=""top"" width=""133""><p> </p></td><td valign=""top"" width=""126""><p>5. United States of America</p></td></tr></tbody></table><p>     A B C D</p>",(a)  5 4 1 2,(b)  3 5 2 1,(c)  5 4 2 1,(d)  3 5 1 2,Polity and Governance,d,Medium,Fundamental(F),"<ul><li>Directive Principles of State Policy from Ireland Fundamental Rights from United States Concurrent List from Australia Federation with a Strong Centre, vesting of residuary powers in the Centre, from Canada.</li></ul>"
2, <p>The Ninth Schedule to the Indian Constitution was added by</p>,(a)  First Amendment,(b)  Eight Amendment,(c)  Ninth Amendment,(d)  Forty Second Amendment,Polity and Governance,a,Medium,Fundamental(F),"<ul><li>First amendment made in 1951, inserted two new articles, 31A and 31B and the Ninth Schedule to give protection from challenge to land reforms.</li></ul>"
3, <p>Which of the following Constitutional Amendments are related to raising the number of Members of Lok Sabha to be elected from the States?</p>,(a)  6th and 22nd,(b)  13th and 38th,(c)  7th and 31st,(d)  11th and 42nd,Polity and Governance,c,Difficult,tFundamental(F),"<ul><li>74th Constitutional Amendment Act (1956) provides for composition of the House of the people, re-adjustment after every census. 31st Amendment Act (1973) increased the number of Lok Sabha seats from 525 to 545.</li></ul>"
4, <p>Which one of the following Articles of the Indian Constitution provides that ‘It shall be the duty of the Union to protect every State against external aggression and internal disturbance’? </p>,(a)  Article 215,(b)  Article 275,(c)  Article 325,(d)  Article 355,Polity and Governance,d,Medium,Fundamental(F),"<ul><li>Article 215 – High Courts to be Courts of record Article 275 – Grants from the Union to certain States Article 325 – No person to be ineligible for inclusion, in or to claim to be included in a special, electoral roll on grounds of religion, race, caste and sex.</li></ul>"
5, <p>Which one of the following schedules of the Indian Constitution lists the names of states and specifies their territories? </p>,(a)  First,(b)  Second,(c)  Third,(d)  Fourth,Polity and Governance,a,Easy,Fundamental(F),<ul><li>First Schedule of Indian Constitution lists the names of States and specifies their territories.</li></ul>
6," <p>Consider the following statements: </p><p>1. While members of the Rajya Sabha are associated with Committees on Public Accounts and Public Undertakings, members of Committee on Estimates are drawn entirely from Lok Sabha. </p><p>2. The Ministry of Parliamentary Affairs works under the overall direction of Cabinet Committee on Parliamentary Affairs. </p><p>3. The Minister of Parliamentary Affairs nominates Members of Parliament on Committees, Councils, Board and Commissions etc. set up by the Government of India in the various ministries. </p><p>Which of these statements are correct? </p>",(a)  1 and 2,(b)  2 and 3,(c)  1 and 3,"(d)  1, 2 and 3",Polity and Governance,d,Medium,Fundamental(F),<ul><li>All of the above statements are correct.</li></ul>
7, <p>Consider the following statements: </p><p>1. The joint sitting of the two houses of the Parliament in India is sanctioned under Article 108 of the Constitution. </p><p>2. The first joint sitting of Lok Sabha and Rajya Sabha was held in the year 1961. </p><p>3. The second joint sitting of the two Houses of Indian Parliament was held to pass the Banking Service Commission (Repeal) Bill. </p><p>Which of these statements is correct? </p>,(a)  1 and 2,(b)  2 and 3,(c)  1 and 3,"(d)  1, 2 and 3",Polity and Governance,d,Difficult,tFundamental(F),"<p>All the options given in the Question are correct. </p><p>1. Article 108 – Joint sitting of both Houses in certain cases. </p><p>2. The First Joint sitting was held on 6 May, 1961, in which Dowry Prohibition Bill, 1960 was passed. </p><p>3. The Second Joint sitting was held to pass the Banking Service Commission (Repeal) Bill, 1977, on 16 May, 1978.</p>"
8, <p>Which one of the following statements is correct?</p>,(a)  Only the Rajya Sabha and not the Lok Sabha can have nominated members,(b)  There is a constitutional provision for nominating two members belonging to the Anglo-Indian community to the Rajya Sabha,(c)  There is no constitutional bar for a nominated member to be appointed as a Union minister,(d)  A nominated member can vote both in the Presidential and Vice Presidential elections,Polity and Governance,c,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">(a) Rajya Sabha has 12 and Lok Sabha has 2 (from Anglo-Indian Community) nominated members. (b) The Constitutional provision for nominating 2 members belonging to the Anglo-Indian Community is to Lok Sabha (But not Rajya Sabha). (c) A nominated member can vote only in the election of the Vice-President.</li></ul>"
9, <p>The power to enlarge the jurisdiction of the Supreme Court of India with respect to any matter included in the Union List of Legislative Powers rests with</p>,(a)  The President of India,(b)  The Chief Justice of India,(c)  The Parliament,"(d)  The Union Ministry of Law, Justice and Company Affairs",Polity and Governance,c,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">The Parliament can regulate the organization and jurisdiction of the Supreme Court. It can extend the jurisdiction but cannot curtain the same.</li></ul>"
10," <p>Which one of the following Bills must be passed by each House of the Indian Parliament separately, by special majority? </p>",(a)  Ordinary Bill,(b)  Money Bill,(c)  Finance Bill,(d)  Constitution Amendment Bill,Polity and Governance,d,Easy,Fundamental(F),"<ul><li style=""text-align: justify;"">Article 368 – A Constitutional Amendment Bill must be passed by each House separately with a special majority i.e. not less than two-third of the members of the House present and voting.</li></ul>"
