Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>In the Union Budget 2011-12, a full exemption from the basic customs duty was extended to the bio-based asphalt (bioashphalt). What is the importance of this material?</p><p>1. Unlike traditional asphalt, bio-asphalt is not based on fossil fuels.</p><p>2. Bioasphalt can be made from non-renewable resources.</p><p>3. Bioasphalt can be made from organic waste materials.</p><p>4. It is eco-friendly to use biosphalt for surfacing of the roads.</p><p>Which of the statements given above are correct?</p>","(a) 1, 2 and 3 only","(b) 1, 3 and 4 only",(c) 2 and 4 only,"(d) 1, 2, 3 and 4",Science and Technology,b,Medium,Applied(A),
2, <p>Consider the following:</p><p>1. Carbon dioxide</p><p>2. Oxides of Nitrogen</p><p>3. Oxides of Sulphur</p><p> Which of the above is/are the emission/emissions from coal combustion at thermal power plants?</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Ecology and Environment,d,Medium,Fundamental(F),
3," <p>Satellites used for telecommunication relay are kept in a geostationary orbit. A satellite is said to be in such an orbit when:</p><p>1. The orbit is geosynchronous.</p><p>2. The orbit is circular.</p><p>3. The orbit lies in the plane of the Earth’s equator.</p><p>4. The orbit is at an altitude of 22,236 km. </p><p>Select the correct answer using the codes given below.</p>","(a)  1, 2 and 3 only","(b)  1, 3 and 4 only",(c)  2 and 4 only,"(d)  1, 2, 3 and 4",Science and Technology,a,Difficult,tFundamental(F),
4," <p>India has experienced persistent and high food inflation in the recent past. What could be the reasons?</p><p>1. Due to a gradual switchover to the cultivation of commercial crops, the area under the cultivation of food grains has steadily decreased in the last five years by about 30%.</p><p>2. As a consequence of increasing incomes, the consumption patterns of the people have undergone a significant change.</p><p>3. The food supply chain has structural constraints. </p><p>Which of the statements given above are correct?</p>",(a)  1 and 2 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Economics,b,Medium,Applied(A),
5," <p>At present, scientists can determine the arrangement or relative positions of genes of DNA sequences on a chromosome. How does this knowledge benefit us?</p><p>1. It is possible to know the pedigree of livestock.</p><p>2. It is possible to understand the causes of all human diseases.</p><p>3. It is possible to develop disease-resistant animal breeds. </p><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2 only,(b)  2 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Basic Sciences,c,Medium,Applied(A),
6," <p>In terms of economy, the visit by foreign nationals to witness the XIX common Wealth Games in India amounted to</p>",(a)  Export,(b)  Import,(c)  Production,(d)  Consumption,Economics,a,Medium,Fundamental(F),
7, <p>Microbial fuel cells are considered a source of sustainable energy. Why?</p><p>1. They use living organisms as catalysts to generate electricity from certain substrates.</p><p>2. They use a variety of inorganic materials as substrates.</p><p>3. They can be installed in waste water treatment plants to cleanse water and produce electricity. </p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Science and Technology,c,Difficult,tApplied(A),
8," <p>Which one of the following statements appropriately describes the ""fiscal stimulus""?</p>",(a)  It is a massive investment by the Government in manufacturing sector to ensure the supply of goods to meet the demand surge caused by rapid economic growth.,(b)  It is an intense affirmative action of the Government to boost economic activity in the country.,"(c)  It is Government""s intensive action on financial institutions to ensure disbursement of loans to agriculture and allied sectors to promote greater food production and contain food inflation.",(d)  It is an extreme affirmative action by the Government to pursue its policy of financial inclusion.,Economics,b,Medium,Fundamental(F),
9, <p>The formation of ozone hole in the Antarctic region has been a cause of concern. What could be the reason for the formation of this hole?</p><p> </p>,(a)  Presence of prominent tropospheric turbulence; and inflow of chlorofluorocarbons .,(b)  Presence of prominent polar front and stratospheric clouds; and inflow of chlorofluorocarbons.,(c)  Absence of polar front and stratospheric clouds; and inflow of methane and chlorofluorocarbons.,(d)  Increased temperature at polar region due to global warming.,Ecology and Environment,b,Medium,Fundamental(F),
10, <p>Consider the following actions which the government can take:</p><p>1. Devaluing the domestic currency.</p><p>2. Reduction in the export subsidy.</p><p>3. Adopting suitable policies which attract greater FDI and more funds from FIIs.</p><p>Which of the above action/actions can help in reducing the current account deficit?</p>,(a)  1 and 2,(b)  2 and 3,(c)  3  only,(d)  1 and 3,Economics,d,Medium,Applied(A),
11," <p>The Constitution (Seventy-Third Amendment) Act. 1992, which aims at promoting the Panchayati Raj Institutions in the country, provides for which of the following?</p><p>1. Constitution of District Planning Committees.</p><p>2. State Election Commissions to conduct all panchayat elections.</p><p>3. Establishment of state Finance Commissions.</p><p>Select the correct answer using the codes given below:</p>",(a) 1 only,(b) 1 and 2 only,(c) 2 and 3 only,"(d) 1, 2 and 3",Polity and Governance,d,Easy,Applied(A),
12," <p>Two important rivers- one with its source in Jharkhand (and known by a different name in Odisha), and another, with its source in Odisha- merge at a place only a short distance from the coast of Bay of Bengal before flowing into the sea. This is an important site of wildlife and biodiversity and a protected area. Which one of the following could be this?</p>",(a) Bhitarkanika,(b) Chandipur-on-sea,(c) Gopalpur-on-sea,(d) Simlipal,Geography,a,Easy,Fundamental(F),
13," <p>A rapid increase in the rate of inflation is sometimes attributed to the ""base effect"". What is ""base effect""?</p>",(a)  It is the impact of drastic deficiency in supply due to failure of crops.,(b)  It is the impact of the surge in demand due to rapid economic growth.,(c)  It is the impact of the price levels of previous year on the calculation of inflation rate.,"(d)  None of the statements (a ), (b ) and (c  ) given above is correct in this context.",Economics,c,Easy,Fundamental(F),
14, <p>India is regarded as a country with “Demographic Dividend”. This is due to</p>,(a)  Its high population in the age group below 15 years,(b)  Its high population in the group of 15-64 years,(c)  Its high population in the age group above 65 years,(d)  Its high total population,Economics,b,Easy,Fundamental(F),
15," <p>Regarding “carbon credits”, which one of the following statements is <em><strong>not</strong> </em>correct?</p>",(a)  The carbon credit system was ratified in conjunction with the Kyoto Protocol.,(b)  Carbon credits are awarded to countries or groups that have reduced greenhouse gases below their emission quota.,(c)  The goal of the carbon credit system is to limit the increase of carbon dioxide emission.,(d)  Carbon credits are traded at a price fixed from time to time of the United Nation Environment Programme.,Ecology and Environment,d,Medium,Factual,
16," <p>Which one of the following is not a feature of ""Value Added Tax""?</p>",(a)  It is a multi-point destination-based system of taxation .,(b)  It is a tax levied on value addition at each stage of transaction in the production-distribution chain.,(c)  It is a tax on the final consumption of goods or services and must ultimately be borne by the consumer.,(d)  It is basically subject of the Central Government and the State Governments are only a facilitator for its successful implementation.,Economics,d,Easy,Fundamental(F),
17, <p>A “closed economy” is an economy in which</p>,(a)  the money supply is fully controlled,(b)  deficit financing takes place,(c)  only exports take place,(d)  neither exports nor imports take place,Economics,d,Easy,Fundamental(F),
18," <p>When the bark of a tree is removed in a circular fashion all around near its base, it gradually dries up and dies because</p>",(a)  Water form soil cannot rise to aerial parts,(b)  Roots are starved of energy,(c)  Tree is infected by soil microbes,(d)  Roots do not receive oxygen for respiration,Basic Sciences,b,Difficult,tFundamental(F),
19, <p>The “New START” treaty was in the news. What is this treaty?</p><p> </p>,(a)  It is a bilateral strategic nuclear arms reduction treaty between the USA and the Russian Federation.,(b)  It is multilateral energy security cooperation treaty among the members of the East Asia Summit.,(c)  It is a treaty between the Russian Federation and the European Union for the energy security cooperation.,(d)  It is a multilateral cooperation treaty among the BRICS countries for the promotion of trade.,International Affairs and Institutions,a,Medium,Fundamental(F),
20, <p>Three of the following criteria have contributed to the recognition of Western Ghats-Sri Lanka and Indo-Burma regions as hotspots of biodiversity:</p><ol><li>Species richness</li><li>Vegetation density</li><li>Endemism</li><li>Ethno-botanical importance</li><li>Threat perception</li><li>Adaptation of flora and fauna to warm and humid conditions</li></ol><p>Which three of the above are correct criteria in this context?</p>,(a)  1 2 and 6,"(b)  2, 4 and 6","(c)  1, 3 and 5","(d)  3, 4 and 6",Ecology and Environment,c,Medium,Factual,
21," <p>Human activities in the recent past have caused the increased concentration of carbon dioxide in the atmosphere, but a lot of it does not remain in the lower atmosphere because of</p><p>1. Its escape into the outer stratosphere.</p><p>2. The photosynthesis by phytoplankton in the oceans.</p><p>3. The trapping of air in the polar ice caps.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2,(b)  2 only,(c)  2 and 3,(d)  3 only,Ecology and Environment,b,Difficult,tApplied(A),
22," <p>In the context of ecosystem productivity, marine upwelling zones are important as they increase the marine productivity by bringing the .</p><p>1. Decomposer microorganism to the surface.</p><p>2. Nutrients to the surface.</p><p>3. Bottom-dwelling organisms to the surface.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2,(b)  2 only,(c)  2 and 3,(d)  3 only,Ecology and Environment,b,Difficult,tApplied(A),
23," <p>If a tropical rain forest is removed, it does not regenerate quickly as compared to a tropical deciduous forest. This is because</p>",(a)  the soil of rain forest is deficient in nutrients.,(b)  propagules of the trees in a rain forest have poor viability.,(c)  the rain forest species are slow growing.,(d)  exotic species invade the fertile soil of rain forest.,Ecology and Environment,a,Easy,Applied(A),
