Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>""Rapid Financing Instrument"" and ""Rapid Credit Facility"" are related to the provisions of lending by which one of the following?</p>",(a) Asian Development Bank,(b) International Monetary Fund,(c) United Nations Environment Programme Finance Initiative,(d) World Bank,Current Affairs,b,Easy,,"<ul><li>Recent context: The Finance minister of Sri Lanka has started bailout talks with the lender of last resort (IMF) and seeking IMF’s rapid financial assistance to tackle growing shortages of food, fuel and medicines.</li><li>The Rapid Financing Instrument (RFI) provides rapid financial assistance, which is available to all member countries facing an urgent balance of payments need. The RFI was created as part of a broader reform to make the IMF’s financial support more flexible to address the diverse needs of member countries. The RFI replaced the IMF’s previous emergency assistance policy and can be used in a wide range of circumstances.</li><li>Financial assistance under the RFI is provided in the form of outright purchases without the need for a full-fledged program or reviews. A member country requesting RFI assistance is required to cooperate with the IMF to make efforts to solve its balance of payments difficulties and to describe the general economic policies that it proposes to follow. Prior actions may be required where warranted.</li><li>The Rapid Credit Facility (RCF) of IMF provides rapid concessional financial assistance to low-income countries (LICs) facing an urgent balance of payments (BoP) need with no ex post conditionality where a full-fledged economic program is neither necessary nor feasible. The RCF was created under the Poverty Reduction and Growth Trust (PRGT) as part of a broader reform to make the Fund’s financial support more flexible and better tailored to the diverse needs of LICs, including in times of crisis.</li><li>Hence option (b) is the current answer.</li></ul>"
2," <p>With reference to the Indian economy, consider the following statements :</p><p>1. An increase in Nominal Effective Exchange Rate (NEER) indicates the appreciation of rupee.</p><p>2. An increase in the Real Effective Exchange Rate (REER) indicates an improvement in trade competitiveness.</p><p>3. An increasing trend in domestic inflation relative to inflation in other countries is likely to cause an increasing divergence between NEER and REER.</p><p>Which of the above statements are correct?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),c,Medium,,"<ul><li>Nominal Effective Exchange Rate (NEER) is a measure of the value of a currency against a weighted average of several foreign currencies. The nominal exchange rate is the amount of domestic currency needed to purchase foreign currency. If a domestic currency increases against a basket of other currencies inside a floating exchange rate regime, NEER is said to appreciate. If the domestic currency falls against the basket, the NEER depreciates. An increase in NEER indicates an appreciation of the local currency against the weighted basket of currencies of its trading partners. Hence statement 1 is correct.</li><li>Real Effective Exchange Rate (REER) is the real effective exchange rate (a measure of the value of a currency against a weighted average of several foreign currencies) divided by a price deflator or index of costs. In simple words, a nation's nominal effective exchange rate (NEER), adjusted for inflation in the home country, equals its real effective exchange rate (REER). An increase in REER implies that exports become more expensive and imports become cheaper; therefore, an increase indicates a loss in trade competitiveness. Hence statement 2 is not correct.</li><li>REER is the NEER after factoring in relative inflation (consumer price-based index) using some measure of relative prices or costs; changes in the REER thus take into account both nominal exchange rate changes and the inflation differential vis-à-vis trading partners. Soaring inflation will impact REER, which, in turn, would inevitably push up the cost of merchandise and affect competitiveness of Indian exports. Thus, if inflation is in an increasing trend in domestic nation relative to inflation in other countries, there is likely to cause an increasing divergence between NEER and REER. For instance, considering NEER and REER values between April 2019 and May 2021 in India, the NEER has been mostly declining, whereas, REER remains in sync with the inflationary trends—the upward biases in REER due to inflation was already being felt in May 2021. The increasing difference between trends of NEER and REER in the last 26 months was due to India’s domestic inflation being higher relative to the six major currencies considered. Hence statement 3 is correct.</li></ul>"
3," <p>With reference to the Indian economy, consider the following statements:</p><p>1. If the inflation is too high, Reserve Bank of India (RBI) is likely to buy government securities.</p><p>2. If the rupee is rapidly depreciating, RBI is likely to sell dollars in the market.</p><p>3. If interest rates in the USA or European Union were to fall, that is likely to induce RBI to buy dollars.</p><p>Which of the statements given above are correct ?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),b,Medium,,"<ul><li>A central bank such as Reserve Bank of India (RBI), periodically intervenes in the debt market to influence the interest rates and rate of inflation in the economy. If RBI feels inflation is too high, it will sell government securities, and suck money out of the system. This act will push up interest rates in the economy, and business will cut back on capital expenditure financed by loans, reducing the demand for money. Hence statement 1 is not correct.</li><li>Central banks also intervene periodically in foreign exchange markets. If the rupee is rapidly depreciating, RBI will sell dollars in the market. This will increase the supply of dollars and the demand for rupees, causing the rupee price of the dollar to come down. On the contrary, if the rupee is rapidly appreciating, RBI will buy dollars and inject rupees into the economy. This will increase the demand for dollars and the supply of rupees, thereby leading to an increase in the rupee price of the dollar. Hence statement 2 is correct.</li><li>Interest rate movements in a foreign economy can stimulate action on the part of RBI. If interest rates in the US or the EU were to fall, FIIs (Foreign Institutional investors) will ramp up investments in India. The resultant demand for rupees will cause the rupee to appreciate. In response, RBI will buy dollars and inject rupees in to the system. Hence statement 3 is correct. </li></ul>"
4," <p>With reference to the ""G20 Common Framework"", consider the following statements:</p><p>1. It is an initiative endorsed by the G20 together with the Paris Club.</p><p>2. It is an initiative to support Low Income Countries with unsustainable debt.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,Current Affairs,c,Medium,,"<ul><li>The Common Framework for debt treatment beyond the DSSI (Common Framework) is an initiative endorsed by the G20, together with the Paris Club, to support, in a structural manner, low income countries with unsustainable debt. It is a way to temporarily ease the financing constraints for these countries and free up scarce money that they can instead use to mitigate the human and economic impact of the COVID-19 crisis. Hence both statements 1 and 2 are correct.</li></ul>"
5," <p>With reference to the Indian economy, what are the advantages of ""Inflation-Indexed Bonds (IIBs)"" ?</p><p>1. Government can reduce the coupon rates on its borrowing by way of IIBs.</p><p>2. IIBs provide protection to the investors from uncertainty regarding inflation.</p><p>3. The interest received as well as capital gains on IIBs are not taxable.</p><p>Which of the statements given above are correct?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),a,Medium,,"<ul><li>Inflation-indexed bonds in India were issued by the Reserve Bank of India (RBI) in 2013 and were benchmarked to Wholesale Price Index (WPI).</li><li>Inflation-indexed bonds are financial instruments that attempt to protect the bonds' purchasing power by tying interest and principal payments to an index of price changes. Indexed bonds include two types of compensation, a real rate of return plus a compensation for the erosion of purchasing power. Inflation component on principal will not be paid with interest but the same would be adjusted in the principal by multiplying principal with index ratio (IR). At the time of redemption, adjusted principal or the face, whichever is higher, would be paid. Interest rate will be provided protection against inflation by paying fixed coupon rate on the principal adjusted against inflation. Hence statement 2 is correct.</li><li>Economists have argued that inflation indexed bonds could reduce government borrowing costs. If the market overestimates future inflation, government will reduce borrowing costs by issuing inflation indexed bonds rather than nominal bonds. This may occur because, for example, investors• expectations are not completely forward-looking or rational. Alternatively, the government, because it is able to influence inflation through its policies, may have better information about the future course of inflation, or perhaps has more faith in its commitment to contain it than the public does. In these cases a treasury can lower its costs by issuing indexed bonds. For example, if coupon rate of IIBs is fixed 1.5 % above WPI (Whole sale price index) and current WPI is 4%, so effective rate will be 5.5% (4+1.5). In future, when WPI falls from 4% to 2%, then effective coupon rate will become 3.5% (i.e. 2+1.5) and thus government can reduce the coupon rates on its borrowing by way of IIBs through reducing inflationary trends. Hence statement 1 is correct.</li><li>Extant tax provisions will be applicable on interest payment and capital gains on IIBs. There will be no special tax treatment for these bonds. Hence statement 3 is not correct.</li></ul>"
6," <p>With reference to foreign-owned e-commerce firms, operating in India, which of the following statements is/are correct?</p><p>1. They can sell their own goods in addition to offering their platforms as market-places.</p><p>2. The degree to which they can own big sellers on their platforms is limited.</p><p>Select the correct answer using the code given below:</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,Economics (Macroeconomics),b,Difficult,t,"<ul><li>Consumer Protection (E-Commerce)</li><li>Rules, 2020 define e-commerce entity (also foreign owned) as any person who owns, operates or manages digital or electronic facility or platform for electronic commerce, but does not include a seller offering his goods or services for sale on a marketplace e-commerce entity. Hence statement 1 is not correct. </li><li>Marketplace based model of e-commerce means providing an IT platform by an e-commerce entity on a digital &amp; electronic network to act as a facilitator between buyer and seller. On other hand, Inventory based model of e-commerce means an e-commerce activity where inventory of goods and services is owned by e-commerce entity and is sold to the consumers directly. However, FDI is not permitted in inventory based model of e-commerce.</li><li>According to guidelines for FDI (Foreign Direct Investment) on E-Commerce, E-commerce entity providing a marketplace will not exercise ownership or control over the inventory i.e. goods purported to be sold. Such an ownership or control over the inventory will render the business into inventory based model. Inventory of a vendor will be deemed to be controlled by e-commerce marketplace entity if more than 25% of purchases of such vendor are from the marketplace entity or its group companies. Hence statement 2 is correct.</li></ul>"
7, <p>Which of the following activities constitute real sector in the economy?</p><p>1. Farmers harvesting their crops</p><p>2. Textile mills converting raw cotton into fabrics</p><p>3. A commercial bank lending money to a trading company</p><p>4. A corporate body issuing Rupee Denominated Bonds overseas</p><p>Select the correct answer using the code given below:</p>,(a) 1 and 2 only,"(b) 2, 3 and 4 only","(c) 1, 3 and 4 only","(d) 1, 2, 3 and 4",Economics (Macroeconomics),a,Easy,,"<ul><li>The real sector of an economy is the key section as activities of this sector persuade economic output and is</li><li>represented by those economic segments that are essential for the progress of GDP of the economy. For instance, farmers harvesting their crops or textile mills converting raw cotton into fabrics ensure increase of economic output and in turn progress of GDP. The sector is crucial for the sustainability of the economy because of its productive capability to meet nations’ aggregate demand. Hence statements 1 and 2 are correct.</li><li>On other hand, the financial sector is a section of the economy made up of firms and institutions that provide financial services to commercial and retail customers. The financial sector generates a good portion of its revenue from loans and mortgages. This sector comprises a broad range of industries including banks, investment companies, insurance companies, and real estate firms. Thus, a commercial bank lending money to a trading company or a corporate body issuing rupee denominated bonds overseas constitute financial sector activities and not real sector activities. Hence statements 3 and 4 are not correct.</li></ul>"
8," <p>Which one of the following situations best reflects ""Indirect Transfers"" often talked about in media recently with reference to India?</p>",(a) An Indian company investing in a foreign enterprise and paying taxes to the foreign country on the profits arising out of its investment,(b) A foreign company investing in India and paying taxes to the country of its base on the profits arising out of its investment,(c) An Indian company purchases tangible assets in a foreign country and sells such assets after their value increases and transfers the proceeds to India,(d) A foreign company transfers shares and such shares derive their substantial value from assets located in India,Economics (Macroeconomics),d,Medium,,"<ul><li>Indirect transfers refer to situations where when foreign entities own shares or assets in India, the shares of such foreign entities are transferred instead of a direct transfer of the underlying assets in India. Hence option (d) is the correct answer.</li><li>The origin of retrospective taxation can be traced backed to 2012, When Vodafone Ltd. was retrospectively taxed by the Indian tax authorities for a 2007 deal. The 2012 act had amended the IT act to impose tax liability on the income earned from the sale of shares of a foreign company on a retrospective basis (i.e., also applicable to the transactions done before May 28, 2012). The amendments made by the 2012 Act clarified that if a company is registered or incorporated outside India, its shares will be deemed to be or have always been situated in India if they derive their value substantially from the assets located in India. As a result, the persons who sold such shares of foreign companies before the enactment of the Act (i.e., May 28, 2012) also became liable to pay tax on the income earned from such sale. </li><li>The Taxation Laws (Amendment) Act, 2021 nullifies the ‘retrospective taxation’ that was introduced with the Finance Act of 2012. It nullifies this tax liability imposed on such persons provided they fulfil certain conditions. These conditions are:</li><li>(i) if the person has filed an appeal or petition in this regard, it must be withdrawn or the person must submit an undertaking to withdraw it,</li><li>(ii) if the person has initiated or given notice for any arbitration, conciliation, or mediation proceedings in this regard, the notices or claims under such proceedings must be withdrawn or the person must submit an undertaking to withdraw them,</li><li>(iii) the person must submit an undertaking to waive the right to seek or pursue any remedy or claim in this regard, which may otherwise be available under any law in force or any bilateral agreement, and</li><li>(iv) other conditions, as may be prescribed.</li><li>The Act ensures that there cannot exist any future demand by the government for the collection of taxes on the basis of an amendment with retrospective effect. This Act makes the tax regime of India more predictable, increasing the scope of foreign investment into the country as it clarifies the stance of Indian Government on imposition of retrospective taxation.</li></ul>"
9," <p>With reference to the expenditure made by an organisation or a company, which of the following statements is/are correct?</p><p>1. Acquiring new technology is capital expenditure.</p><p>2. Debt financing is considered capital expenditure, while equity financing is considered revenue expenditure.</p><p>Select the correct answer using the code given below:</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,Economics (Microeconomics),a,Easy,,"<ul><li>Capital expenditures (CapEx) are funds used by a company to acquire, upgrade, and maintain physical assets such as property, plants, buildings, technology, or equipment. CapEx is often used to undertake new projects or investments by a company. Costs to upgrade or purchase software, investing in new technology and computer equipment, are considered part of Capital expenditure. As they are often employed to improve operational efficiency, increase revenue in the long term, or make improvements to the existing assets of a company. Hence statement 1 is correct.</li><li>When a company borrows money to be paid back at a future date with interest it is known as debt financing. It occurs when a firm sells fixed income products, such as bonds, bills, or notes. It could be in the form of a secured as well as an unsecured loan. Debt financing is the opposite of equity financing, which entails issuing stock to raise money. For example, reliance can choose debt financing, which entails selling fixed income products, such as bonds, bills, or notes, to investors to obtain the capital needed to grow and expand its operations. Both debt financing and equity financing are considered as part of capital receipts for the company, as capital receipts are receipts that create liabilities or reduce financial assets. Funds from these would be used by company for capital expenditure such as to grow or expand its operations. Hence statement 2 is not correct.</li></ul>"
10," <p>With reference to the Indian economy, consider the following statements :</p><p>1. A share of the household financial savings goes towards government borrowings.</p><p>2. Dated securities issued at market-related rates in auctions form a large component of internal debt.</p><p>Which of the above statements is/are correct ?</p>",(a) 1 only,(b) 2 only,(c) Both l and 2,(d) Neither 1 nor 2,Economics (Macroeconomics),c,Medium,,"<ul><li>Household financial savings refer to currency, bank deposits, debt securities, mutual funds, pension funds, insurance, and investments in small savings schemes by households. The net household financial savings was 11.5 percent of GNDI (gross national disposal income) in 2020-21. A part of this financial saving goes toward government borrowing. As government borrows through the issue of government securities called G-secs and Treasury Bills. It borrows from the market, small savings funds, state provident funds, external assistance and short-term borrowings. Any adverse movement in the household savings will have a significant bearing on banks, insurance companies and mutual/provident funds, who, in turn, are key investors in government securities. Hence statement 1 is correct.</li><li>The Central Government Debt includes all liabilities of Central Government contracted against the Consolidated Fund of India (defined as Public Debt). Public debt is further classified into internal and external debt. Internal debt</li><li>consists of marketable debt and non-marketable debt. Marketable debt comprises of Government dated</li><li>securities and Treasury Bills, issued through auctions. Non-marketable debt comprises of intermediate</li><li>Treasury Bills (14 days ITBs) issued to State Governments/UTs as well as select Central Banks, special securities issued against small savings, special securities issued to public sector banks/EXIM Bank, securities issued to international financial institutions, and compensation and other bonds. </li><li>All marketable securities i.e. Dated securities and Treasury bills are issued through auctions as per the schedule notified through halfyearly/quarterly auction calendars. As at end-March 2021, outstanding amounts under dated securities stood at 71.7 lakh crore (36.3 per cent of GDP) and accounted for 68.1 per cent of the total Public Debt. Hence statement 2 is correct.</li></ul>"
