Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>Consider the following statements: </p><p>1. Article 301 pertains to the Right to Property. </p><p>2. Right to Property is a legal right but not a Fundamental Right. </p><p>3. Article 300 A was inserted in the Constitution of India by the Congress Government at the Centre by the 44th Constitutional Amendment. </p><p>Which of the statements givens above is/are correct?</p><p> </p>,(a)  2 only,(b)  2 and 3,(c)  1 and 3,"(d)  1, 2 and 3",,a,,,"<ul><li style=""text-align: justify;"">Article 301 pertains to freedom of trade, commerce, and intercourse. 44th Amendment Act deleted the right to property from the list of Fundamental Rights, and made it only a legal right. Article 300A was inserted in the Constitution by the 44th Amendment Act by the Janata Government but not by the Congress Government.</li></ul>"
2," <p>Consider the following statements: </p><p>1. Part IX of the Constitution of India contains provisions for Panchayats and was inserted by the Constitution (73rd Amendment) Act, 1992.</p><p> 2. Part IX A of the Constitution of India contains provisions for municipalities and the Article 243 Q envisages two types of municipalities – a Municipal Council and a Municipal Corporation for every State. </p><p>Which of the statements given above is/are correct?</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,a,,,"<p>Article 243 Q envisages three types of municipalities: </p><p>1. A Nagar Panchayat, </p><p>2. A Municipal Council, and </p><p>3. A Municipal Corporation.</p>"
3," <p>Consider the following statements:</p><ol><li>The Constitution of India has 20 parts.</li><li>There are 390 Articles in the Constitution of India in all.</li><li>Ninth, Tenth, Eleventh and Twelfth Schedules were added to the Constitution of India by the Constitution (Amendment) Acts.</li></ol><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2,(b)  2 only,(c)  3 only,"(d)  1, 2 and 3",Polity and Governance,c,Easy,Fundamental(F),"<ul><li>Constitution of India has 22 parts, and 395 Articles; Ninth, Tenth, Eleventh and Twelfth Schedules were added by the First, Fifty-Second, Seventy-third and Seventy-fourth Constitution Amendment Acts respectively.</li></ul>"
4, <p>The Constitution (98th Amendment) Act is related to: </p>,(a)  Empowering the Centre to levy and appropriate service tax.,(b)  The constitution of the National Judicial Commission.,(c)  Readjustment of electoral constituencies on the basis of the Population Census 2001.,(d)  The demarcation of new boundaries between States.,Polity and Governance,b,Medium,Factual,<ul><li>Constitution (98th Amendment) Act is related to the Constitution of the National Judicial Commission.</li></ul>
5," <p>Consider the following statements:</p><p></p><ol><li>Article 371 A to 371 I were inserted in the Constitution of India to meet regional demands of Nagaland, Assam, Manipur, Andhra Pradesh, Sikkim, Mizoram, Arunachal Pradesh and Goa.</li><li>Constitutions of India and the United States of America envisage a dual policy (The Union and the States) but a single citizenship.</li><li>A naturalized citizen of India can never be deprived of his citizenship.</li></ol><p></p><p>Which of the statements given above is/are correct?</p>","(a)  1, 2 and 3",(b)  1 and 3,(c)  3 only,(d)  1 only,Polity and Governance,d,Medium,Factual,"<ul><li>The Constitution of U.S.A. provides for Dual Citizenship whereas the Constitution of India envisages a single Citizenship. If a person has been sentenced to imprisonment for a period of 2 years or more, within five years of his registration of naturalization, his citizenship is terminated through ""Deprivation"".</li></ul>"
6, <p>Under which one of the Ministries of the Government of India does the Food and Nutrition Board Work? </p>,(a)  Ministry of Agriculture,(b)  Ministry of Health and Family Welfare,(c)  Ministry of Human Resource Development,(d)  Ministry of Rural Development,Polity and Governance,c,Medium,Factual,<ul><li>Under the Ministry o Human Resource Development does the Food and Nutrition Board Work.</li></ul>
7, <p>Consider the following: </p><p>1. Disputes with mobile cellular companies </p><p>2. Motor accident cases </p><p>3. Pension cases For </p><p>Which of the above are Lok Adalats held? </p>,(a)  1 only,(b)  1 and 2,(c)  2 only,"(d)  1, 2 and 3",Polity and Governance,c,Medium,Conceptual,"<ul><li>Lok Adalat (People’s courts), settles disputes through conciliation and compromise. Lok Adalat’s have been organized for settlement of motor accident cases, Insurance claim cases and Land disputes cases.</li></ul>"
8," <p>Consider the following statements: </p><p>1. There are 25 High Courts in India.</p><p>2. Punjab, Haryana and the Union Territory of Chandigarh have a common High Court. </p><p>3. National Capital Territory of Delhi has a High Court of its own. </p><p>Which of the statements given above is/are correct? </p>",(a)  2 and 3,(b)  1 and 2,"(c)  1, 2 and 3",(d)  3 only,Polity and Governance,a,Easy,Factual,"<ul><li>There are 21 High Courts in the country. Punjab, Haryana and Union Territory of Chandigarh have a common High Court in Chandigarh. N.C.T. of Delhi has a High Court of its own.</li></ul>"
9, <p>Consider the following statements:</p><ol><li>The Parliament cannot enlarge the jurisdiction of the Supreme Court of India as its jurisdiction is limited to that conferred by the Constitution.</li><li>The officers and servants of the Supreme Court and High Courts are appointed by the concerned Chief Justice and the administrative expenses are charged on the Consolidated Fund of India.</li></ol><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Polity and Governance,b,Medium,Conceptual,"<ul>
<li>The Parliament can extend the Jurisdiction of the Supreme Court but it cannot curtail it.</li>
</ul>"
10, <p>Assertion (A): Existence of human life of Venus is highly improbable. </p><p>Reason (R): Venus has extremely high level of carbon dioxide in its atmosphere.<br/></p><p></p><br/>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,,a,,,"<ul><li>Venus second closest planet after Mercury to the Sun is often considered ‘Earth’s twin’ because of their close proximity in size, mass (weight) and density. Existence of human life is highly improbable because of high levels CO2 in its atmosphere.</li></ul>"
11, <p>Itaipur Dam built on the River Parana is one of the largest dams in the world. Which one of the following two countries have this as a joint project?</p><p> </p>,(a)  Brazil and Peru,(b)  Paraguay and Ecuador,(c)  Brazil and Paraguay,(d)  Colombia and Paraguay,,c,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Itaipu Dam built on the River Parana is a joint project
between Brazil and Paraguay.</p>
</div>"
12, <p>Consider the following statements: </p><p>1. Total land area of Earth is approximately 1475 lack square kilometers. </p><p>2. Ratio of land area to water area of Earth is approximately 1 : 4. </p><p>3. Maximum percentage of Earth’s water is in the Pacific Ocean. </p><p>Which of the statements given above is/are correct?</p><p> </p>,(a)  1 and 3,(b)  2 and 3,(c)  1 only,(d)  3 only,,a,,,"<p>Ratio of land area to water area of earth is 29 : 71 (nearly 1 : 2.5). Surface area of Earth : 510,100,500 sq. km. Land area of Earth : 148,950,800 sq. km. Ocean Surface of Earth : 361,149,700 sq. km.</p>"
13, <p>Which one of the following countries does not border Lithuania?</p><p> </p>,(a)  Poland,(b)  Ukraine,(c)  Belarus,(d)  Latvia,,b,,,<p>Lithuania is not bordered by Ukraine.</p>
14," <p>Consider the following statements: </p><p>1. Great Britain comprises England, Wales, Scotland and Northern Ireland. </p><p>2. England covers less than 60% of the total area of the United Kingdom. </p><p>Which of the statements given above is/are correct? </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,b,,,"<p>Great Britain comprises England, Wales and Scotland on the island of Great Britain, while the United Kingdom includes Great Britain as well as Northern Ireland on the Island of Ireland. The Isle of Man in the Irish sea and the channel islands in the English channel, are dependencies of the crown, with their own systems of government.</p>"
15, <p>Match List-I with List-II and select the correct answer using the code given below the lists: </p><p><strong>List-I (City)                   List-II (River)</strong> </p><p>A. Washington D.C.    1. River Manzanares </p><p>B. Berlin                       2. River Seine </p><p>C. Paris                         3. River Spree </p><p>D. Madrid                    4. River Potomac </p><p>     A B C D </p>,(a)  2 3 4 1,(b)  4 1 2 3,(c)  2 1 4 3,(d)  4 3 2 1,,d,,,<ul><li>Washington D.C. – River Potomac Berlin – River Spree Paris – River Seine Madrid – River Manzanares.</li></ul>
16, <p>Which one of the following statements is not correct? </p>,(a)  There is no definition of the Scheduled Tribe in the Constitution of India.,(b)  North-East India accounts for a little over half of the country’s tribal population.,(c)  The people known as Todas live in the Nilgiri area.,(d)  Lotha is a language spoken in Nagaland.,,b,,,"<p>Of the total Scheduled Tribe Population (8.43 crores), more than 50% of them are distributed in Middle and East Indian States viz., Madhya Pradesh (1.2 crore), Jharkhand (0.7 crore), Chhattisgarh (0.66 crore), Orissa (0.8 crore), West Bengal (0.44 crore), Maharashtra (0.85 crore). The total S.T. population of NE India (7 states) is 1.163 crores only.</p>"
17," <p>Where do the Sahariya tribals, who were recently in the news, live?</p><p> </p>",(a)  Andhra Pradesh,(b)  Assam,(c)  Rajasthan,(d)  Orissa,,c,,,<p>Rajasthan</p>
18, <p>Which one of the following statements in not correct?</p>,(a)  The Western Ghats are relatively higher in their northern region,(b)  The Anai Mudi is the highest peak in the Western Ghats.,(c)  Tapi river lies to the south of Satpura.,(d)  The Narmada and the Tapi river valleys are said to be old rift valleys.,,a,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">The Western Ghats are relatively higher in their Southern
region. The highest peak (2,696 m) of Anaimudi is the Central point from where
three ranges radiate in three directions – the Cardamom hills to the South, the
Anamalai to the North and the Palni to the North-east. Tapti river lies to the
south of Satpura and North of Ajanta ranges. The Narmada and Tapi are two old
rift valleys formed due to faulting of the land and drained to the west to join
in Arabian sea.</p>
</div>"
19, <p>Gandhi Sagar Dam is a part of which one of the following? </p>,(a)  Chambal Project,(b)  Kosi Project,(c)  Damodar Valley Project,(d)  Bhakra Nangal Project,,a,,,<p>Champal Project is a joint venture of Rajasthan and Madhya Pradesh started in 1954 on Chambal river. Rana Pratap Sagar and Jawahar Sagar in Rajasthan Gandhi Sagar Dam in Chautasigarh near Bhanpura (Madhya Pradesh) are part of Chambal project.</p>
