Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>Which one of the following subjects is under the Union List in the Seventh Schedule of the Constitution of India?</p><p><br/></p>,(a) Regulation of Labour and safety in mines and oilfields,(b) Agriculture,(c) Fisheries,(d) Public health,Ecology and Environment,a,Medium,Fundamental(F),"<ul><li data-mce-style=""text-align: justify;"" style=""text-align: justify;"">Regulation of mines and mineral development in the public interest, regulation of labour and safety in mines and oil fields are in Union list. Agriculture, Fisheries and public health are in State list.</li></ul>"
2, <p>Consider the following statements:</p><p>1. There is no provision in the Constitution of India to encourage equal pay for equal work for both men and women.</p><p>2. The Constitution of India does not define backward classes.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Polity and Governance,b,Medium,Applied(A),"<ul><li style=""text-align: justify;"">Article 39 (d) says that, the state shall, in particular; direct its policy towards securing that there is equal pay for equal work for both men and women. Article 15 – No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligible for, or discriminated against in respect of, any employment or office under the state. This article implicitly saying equal pay for equal work. The Constitution has neither specified the BC’s nor used a single uniform expression to characterize the BC’s. So, second statement is correct.</li></ul>"
3, <p>What does the 104th Constitution Amendment Bill relate to?</p>,(a)  Abolition of Legislative Councils in certain States,(b)  Introduction of dual citizenship for persons of Indian origin living outside India,(c)  Providing quota to socially and educationally backward classes in private educational institutions.,(d)  Providing quota for religious minorities in the services under the Central Government.,Polity and Governance,c,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">104th Constitution Amendment Bill is related to providing quota to socially and educationally backward classes in private educational institutions.</li></ul>"
4," <p>Consider the following statements: </p><p>1. Free and compulsory education to the children of 6-14 years age group by the State was made a Fundamental Right by the 76th Amendment to the Constitution of India. </p><p>2. Sarva Shiksha Abhiyan seeks to provide computer education even in rural areas. </p><p>3. Education was included in the Concurrent List by the 42nd Amendment, 1976 to the Constitution of India. </p><p>Which of the statements given above are correct? </p>","(a)  1, 2 and 3","(b)  1 and 2, only","(c)  2 and 3, only","(d)  1 and 3, only",Polity and Governance,c,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">The Parliament has passed the 86th Amendment Act (but not 76th) 2002, to make elementary education a Fundamental Right for children in the age-group of 6-14 years. SSA (Sarva Shiksha Abhiyan) seeks to achieve the long-cherished goal of Universalization of Elementary Education (UEE). It seeks to provide computer education even in rural areas. 42nd Amendment Act shifted five subjects from the State List to the Concurrent List viz. education, forests, protection of wild animals and birds, weights and measures and administration of justice, constitution and organization of all courts except the Supreme Court and the High Courts.</li></ul>"
5, <p>Who is the President of the Council of Scientific and Industrial Research? </p>,(a)  President of India,(b)  Vice-President of India,(c)  Prime Minister of India,(d)  Union Minister of Science and Technology,Science and Technology,c,Medium,Fundamental(F),<ul><li>Prime Minister of India – President of CSIR Union Minister of Science and Technology – Vice President of CSIR R.A. Mashelkar – Director General of CSIR.</li></ul>
6, <p>Which one among the following Commissions was set up in pursuance of a definite provision under an Article of the Constitution of India? </p>,(a)  University Grants Commission,(b)  National Human Rights Commission,(c)  Election Commission,(d)  Central Vigilance Commission,Polity and Governance,c,Easy,Fundamental(F),"<ul><li>University Grants Commission, N.H.R.C., and C.V.C. are non-Constitutional bodies (statutory bodies), whereas Election Commission is a Constitutional body. It was set up in pursuance of a definite provision under Article 324 which states, “Superintendence, direction, and control of elections to be vested in an Election Commission”.</li></ul>"
7," <p>Assertion (A): In India, every state has a High Court in its territory.</p><p>Reason (R): The Constitution of India provides for a High Court in each state.</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Polity and Governance,d,Medium,Fundamental(F),"<ul><li>‘A’ is wrong. Because, there are 21 High Courts in the country, 3 having jurisdiction over more than one state. ‘R’ is correct. The Constitution of India provides for a High Court for each State, But the Seventh Amendment Act of 1956 authorized the Parliament to establish a Common High Court for two or more stat</li><li>es or for two or more states and a Union territory.</li></ul>"
8, <p>Consider the following statements:</p><p>1. A person who has held office as a permanent Judge of a High Court cannot plead or act in any court or before any authority in India except the Supreme Court. </p><p>2. A person is not qualified for appointment as a Judge of a High Court in India unless he has for at least five years held a judicial office in the territory of India.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Polity and Governance,d,Difficult,tFundamental(F),"<ul>
<li>As per Article 220, no person who, after the commencement of the Constitution, has held office as a permanent judge of a High Court shall plead or act in any court or before any authority in India except the Supreme Court and the other High Courts. A person to be appointed as a Judge of a High Court, should have held a judicial office in the territory of India for 10 years (but not 5 years).</li>
</ul>"
9, <p>Who was the Chief Justice of India when public interest litigation (PIL) was introduced to the Indian Judicial System?</p>,(a)  M. Hidaatullah,(b)  A.M. Ahmadi,(c)  A.S. Anand,(d)  P.N. Bhagwati,Polity and Governance,d,Easy,Fundamental(F),<ul><li>P.N. Bhagwati was the Chief Justice of India when PIL concept was developed in the Indian Judicial System in 1981 (by widening the concept of ‘Locus standi’ in SP Gupta vs. Union of India case by the apex court).</li></ul>
10, <p>Consider the following statements: </p><p>1. Length of terrestrial mile is lesser than that of a nautical mile. </p><p>2. Harmattan is a dusty land-wind of the East African Coast. </p><p>3. Greece and Albania form a part of the Iberian Peninsula. </p><p>Which of the statements given above is/are correct? </p>,"(a)  1, 2 and 3","(b)  2 and 3, only",(c)  3 only,(d)  1 only,Geography,d,Difficult,tApplied(A),"<ul><li>Harmattan is a dusty land-wind of the West African coast. The length of terrestrial mile (1.6 km) is lesser than that of a nautical mile (1.85 km). Greece and Albania forms a part of Balkan peninsula, Portugal and Spain forms Iberian peninsula.</li></ul>"
