Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>Which of the following Constitution Amendment Acts seeks that the size of the Councils of Ministers at the Centre and in a State must not exceed 15 per cent of the total number of members in the Lok Sabha and the total number of members of the Legislative Assembly of that State, respectively?</p>",(a)  91st,(b)  93rd,(c)  95th,(d) 97th,Polity and Governance,a,,,<ul><li>91st Amendment (2003) – Amended the anti-defection law and made a provision that the number of ministers in the Central and State Govt. cannot be more than 15% of the strengths of Lok Sabha and Vidhan Sabha respectively.</li></ul>
2," <p>Consider the following statements in respect of financial emergency under Article 360 of the Constitution of India:</p><p>1. A Proclamation of financial emergency issued shall cease to operate at the expiration of two months, unless before the expiration of that period it has been approved by the resolution of both houses of Parliament.</p><p>2. If any Proclamation of financial emergency is in operation, it is competent for the President of India to issue directions for the reduction of salaries and allowances of all or any class of persons serving in connection with the affairs of the Union but excluding the Judges of the Supreme Court and the High Courts.</p><p>Which of the statement(s) given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,a,,,"<ul><li>The President acquires the following extraordinary powers when a Financial emergency is proclaimed: i. He can give directions to the states to observe the canons of financial propriety. ii. He can issue directions for the reduction of salaries and allowances of all or any class of persons serving under the state. iii. He can require that all money bills and other financial bills passed by the state legislature be reserved for his consideration. iv. He can issue directions for the reduction of salaries and allowances of all or any class of persons serving in connection with the affairs of the Union, including judges of the Supreme Court and High Courts.</li></ul>"
3, <p>Assertion (A): The Council of Ministers in the Union of India is collectively responsible both to the Lok Sabha and the Rajya Sabha.</p><p>Reason (R): The Members of both the Lok Sabha and the Rajya Sabha are eligible to be the Ministers of the Union Government.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Polity and Governance,d,,,"<ul><li>The Council of Ministers in the Union of India is collectively responsible to the lower house of the Parliament, i.e. Lok Sabha only.</li></ul>"
4," <p>
	Consider the following statements:</p>
<ol>
<li>
		The Chairman of the Committee on Public Accounts is appointed by the Speaker of the Lok Sabha.</li>
<li>
		The Committee on Public Accounts comprises Members of Lok Sabha, Members of Rajya Sabha and a few eminent persons of industry and trade.</li>
</ol>
<p>
	Which of the statement(s) given above is/are correct?</p>
<p>
</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Polity and Governance,a,,,"<ul>
<li>
		‘Committee on Public Accounts’ consists of 22 members – 15 from the Lok Sabha and 7 from Rajya Sabha, a Lok Sabha member from a major opposition party is appointed its chairman.</li>
</ul>
"
5, <p>Who was the Speaker of the first Lok Sabha?</p>,(a)  Hukam Singh,(b)  G.V. Mavalankar,(c)  K.M. Munshi,(d)  U.N. Dhebar,Polity and Governance,b,,,"<ul><li>G.V. Mavalankar was the speaker of the first Lok Sabha (15 May, 1952 – 27 Feb, 1956). Humak Sngh – 17 april 1962 – 16 March 1967 (IIIrd Lok Sabha) K.M. Munshi and U.N. Dhebar never became the Speaker of Lok Sabha.</li></ul>"
6, <p>Consider the following statements:</p><p>1. Jawaharlal Nehru was in his fourth term as the Prime Minister of India at the time of his death.</p><p>2. Jawaharlal Nehru represented Rae Bareilly constituency as a Member of Parliament.</p><p>3. The first non-Congress Prime Minister of India assumed the Office in the year 1977.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 and 2  only,(b)  3 only,(c)  1 only,(d)  1 and 3,Polity and Governance,d,,,"<ul><li>Jawaharlal Nehru was in PM’s Office for four terms (1947-52, 1952-57, 1957-62 and 1962-64) represented ‘Phulpur’ near Allahabad as a member of Parliament. ‘Morarji Desai’ of Janata Party was the first non-Congress PM of India assumed the office on March 24, 1977.</li></ul>"
7," <p>Consider the following statements:</p><p>1. The mode of removal of a Judge of a High Court in India is same as that removal of a Judge of the Supreme Court.</p><p>2. After retirement from the office, a permanent Judge of a High Court cannot plead or act in any court or before any authority in India.</p><p>Which of the statement(s) given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Polity and Governance,a,,,"<ul>
<li>No person who, after the commencement of this Constitution, has held office as a permanent judge of a High Court shall plead or act in any Court and the other High Courts (Article-220).</li>
</ul>"
8, <p>Consider the following statements:</p><p>1. The annual range of temperature is greater in the Pacific Ocean than that in the Atlantic Ocean.</p><p>2. The annual range of temperature is greater in the Northern Hemisphere than that in the Southern Hemisphere.</p><p>Which of the statement(s) given above is/are correct.</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Geography,b,,,"<ul><li>Bigger the size of ocean (pacific), lesser the annual range of temperature.</li></ul>"
9, <p>The largest coral reef in the world is found near the coast of which one of the following countries?</p>,(a)  Australia,(b)  Cuba,(c)  Ghana,(d)  Philippines,Geography,a,,,<p>President Bush designated an Island chain spanning nearby 2250 km of the Pacific Ocean as a national monument. The region contains 70% of the tropical shallow water coral reefs in U.S. The reserve is the world’s largest protect marine area.</p>
10, <p>Match List-I with List-II and select the correct answer using the code given below the lists: </p><p>List-I (Town)              List-II (River Nearer to it) </p><p>A. Betul                      1. Indravati</p><p> B. Jagdalpur              2. Narmada </p><p>C. Jabalpur                3. Shipra </p><p>D. Ujjain                     4. Tapti </p><p><span>          A     B       C    D                     A     B     C    D</span><br/><span></span></p><br/>,(a)       1     4       2    3,(b)   4     1      2   3,(c)       4     1       3    2,(d)   1     4     3   2,Geography,b,,,"<ul><li>4, 1, 2, 3  Betul is the district of MP. The major rivers flowing in the district are Ganjal river that is tributary of Tapi river, Morand river and Tawa river.</li><li>Jagdalpur is a city in the Chhattisgarh. The city is located on the south bank of Indravati river.</li><li>Jabalpur is in MP. It has a beautiful collection of marble rocks surrounding the holy Narmada river.</li><li>Ujjain is in Malwa region of MP, on the eastern bank of Shipra river.</li></ul>"
