Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>Among the following President of India, who was also the Secretary General of Non-Aligned Movement for some period ?</p>",(a)  Dr. Sarvepalli Radhakrishnan,(b)  Varahagiri Venkatagiri,(c)  Giani Zail Singh,(d)  Dr. Shanker Dayal Sharma.,India and World,c,Medium,Fundamental(F),"Between summits, the Non-Aligned Movement is run by the Secretary general elected at last summit meeting. The first Secretary General of NAM was Josip Broz Tito from 1961 to 1964. Former Indian President Giani Zail Singh, held the post of 9th Secretary General of NAM from 1983 to 1986. Raul Castro of Cuba is the current (2008) Secretary General of NAM. N. Sanjeeva Reddy also became the Secretary General of NAM in 1983, but for a brief period only."
2, <p>Match List I with List II and select the correct answer using the code given below the lists: </p><p>List I (Person)                                       List I (Organization) </p><p>A. Anil Agarwal                                      1. Gujarat Heavy Chemicals Ltd.</p><p> B. Gautam H. Singhania                       2. Raymond Ltd. </p><p>C. Sanjay Dalmia                                   3. Vedanta Resources.</p><p>D. Venugopal Dhoot                             4. Videocon Group A B C D .</p>,(a)  3 1 2 4,(b)  4 1 2 3,(c)  3 2 1 4,(d)  4 2 1 3,Economics,c,Medium,Current Affairs(CA),"Vedanta Resource plc is a global diversified and integrated metals and mining group headquartered in London, England. Headed by Indian billionaire Anil Agarwal, most of Vedanta’s operations are located in India.
 Raymon H. Singhania is the current Chairman of the Raymond Group, who took over this post on September 2000, from his father Vijayapat Singhania.
 Current Chairman of GHCL, Mr Dalmia has also served on the Board of Directors of Union Bank of India, a Member of the Northern Committee of Industrial Development Bank of India. He was a member of the Rajya Sabha, (Upper House of the Indian Parliament) where he worked as a ‘constructive-link’ between the Government and the Industry to improve the overall economic development of the country.
 Venugopal Dhoot is an Indian business tycoon, who is currently the chairman of Videocon grouo, founded by his father Nandlal Madhavlal Dhoot. According to Forbes, Venugopal is the eighteenth richest man in India."
3," <p>To integrate cultural leaders into its meetings, which one of the following gives “Crystal Award”?</p><p> </p>",(a)  Asia Pacific Economic Cooperation.,(b)  International Bank for Reconstruction and Development .,(c)  World Health Organization.,(d)  World Economic Forum.,International Affairs and Institutions,d,Medium,Current Affairs(CA),"Bollywood actor Amitabh Bachchan has been honoured with the World Economic Forum’s Crystal Award on February 2009, in Davos for his contribution to the world of cinema along with another Indian artist — Mallika Sarabhai — a Kuchipudi and Bharatnatyam danseuse."
4," <p>In India, which one of the following States has the largest inland saline wetland?</p>",(a)  Gujarat,(b)  Haryana,(c)  Madhya Pradesh,(d)  Rajasthan,Ecology and Environment,d,Medium,Fundamental(F),"<ul><li>Located in the arid zone of Rajasthan, the Sambhar Lake is one of the largest inland saline lakes in India. This wetland is one of the most important wintering areas for flamingoes and pelicans. Salt extraction is one of the major activities in the wetland.</li></ul>"
5, <p>Consider the following statements:</p><p>1. MMTC Limited is India’s largest international trading organization.</p><p>2. Neelachal Ispat Nigam Limited has been set up by MMTC jointly with the Government of Orissa.</p><p>Which of the statement(s) given above is/are correct ?</p><p> </p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Current Affairs,c,Medium,Current Affairs(CA),"MMTC Limited is India’s largest trading company with an annual business turnover of US $ 7 billion. It is the largest exporter of Minerals and Ores from India, leading exporter/importer of Agro commodities, single largest importer/supplier of Bullion, a major player in the Coal and hydrocarbons and Non-Ferrous Metals imports by the country and one of India’s largest buyers of Finished Fertilizers and Fertilizer Raw Materials. As a strategy to diversify and add value to its trading operations, MMTC has set up Neelachal Ispat Nigam Limited (NINL) – an iron and steel plant of 1.1 million tone capacity and a 0.8 million tonne coke oven plant with captive power plants, jointly with the Government of Orissa at a total capital outlay of nearly Rs. 2000 crore."
6, <p>In which one of the following States has India’s largest private sector sea port been commissioned recently?</p>,(a)  Andhra Pradesh,(b)  Karnataka,(c)  Kerala,(d)  Tamil Nadu,Current Affairs,a,Medium,Current Affairs(CA),"<ul><li>On July 2008, Navayuga Group, one of India’s leading infrastructure developers, has unveiled the country’s largest private sector port in Krishnapatnam in Nellore district of Andhra Pradesh, some 180 km from Chennai. UPA Chairperson and Congress President Ms Sonia Gandhi dedicated the port to the nation.</li></ul>"
7, <p>Which one of the following pair of a nation that of share market is <strong>not</strong> correctly matched ?</p>,(a)  Japan : Nikkei,(b)  Singapore : Shcomp,(c)  UK : FTSE,(d)  USA : Nasdaq,Economics,b,Difficult,tFundamental(F),"Nikkei 225 is a stock market index for the Tokyo Stock Exchange (TSE). Another major index for the Tokyo Stock Exchange is the Topix.
 Shcomp: A price index of Shanghai Composite Index Market.
 The Straits Time Index (STI) is a market value-weighted stock market index based on the stocks of 30 representative companies listed on the Singapore Exchange.
 The FTSE 100 Index — also called FTSE 100, FTSE, or, informally, the “footside” is a share index of the 100 most highly capitalized UK companies listed on the London Stock Exchange.
 The National Association of Securities Dealers Automated Quotations known as NASDAQ, is an American stock exchange. It is the largest electronic screen-based equity securities trading market in the United States. With approximately 3,800 companies and corporations, it has more trading volume per hour than any other stock exchange in the world."
8, <p>Consider the following statements :</p><p>1. INS Sindhughosh is an aircraft carrier.</p><p>2. INS Viraat is a submarine.</p><p>Which of the statements given above is/are correct ?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Science and Technology,d,Medium,Fundamental(F),"INS Sindhughosh (S55) is the lead ship of Sindhughosh class (Kilo) submarines of the Indian Navy. The submarine was commissioned in April 1986 in Riga, Russia. This submarine is diesel-powered and have totally six motors. INS Sindhughosh was the first submarine in Indian Navy to be equipped with the Klub ZM-54E SS-N-27 antiship cruise missiles with a range of 220 km. INS Sindhughosh collided with a foreign merchant vessel – MV Leeds Castle – white trying to surface in the seas north of Mumbai on 7 January 2008.
 INS Viraat (R22) is a Centaur-class aircraft carrier currently in service with the Indian Navy. INS Viraat is the flagship of the Indian Navy, the oldest carrier afloat, and also the only aircraft carrier in the Indian Ocean Region."
9," <p>Consider the following statements :</p><p>1. The Commission for Agricultural Costs and Prices recommends the Minimum Support Prices for 32 crops.</p><p>2. The Union Ministry of Consumer Affairs, Food and Public Distribution has launched the National Food Security Mission.</p><p>Which of the statements given above is/are correct ?</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Economics,d,Difficult,tFundamental(F),"The minimum support prices are announced by the Govt. of India with a view to ensuring remunerative prices to the farmers for their produce on the basis of the Commission for Agricultural Costs and Prices (CACP) recommendations. The Commission for Agricultural Costs and Prices recommended the Minimum Support Prices for 24 crops.
The National Development Council (NDC) in its 53rd meeting held on 29th May, 2007 adopted a resolution to launch a Food Security Mission comprising rice, wheat and pulses to increase the production of rice by 10 million tons, wheat by 8 million tons and pulses by 2 million tons by the end of the Eleventh Plan (2011-12). Accordingly, A Centrally Sponsored Scheme, ‘National Food Security Mission’, has been launched from 2007-08 to operationalize the above mentioned resolution."
10," <p>In India, the ports are categorized as major and non-major ports. Which one of the following is a non-major port ?</p>",(a)  Kochi (Cochin),(b)  Dahej,(c)  Paradip,(d)  New Mangalore,Geography,b,Medium,Fundamental(F),"<ul><li>Major Ports in India a) On the West Coast: Mumbai, Jawaharlal Nehru Port at Jhava Sheva, Kandla, Mormugao, New Mangalore and Cochin. b) On the East Coast: Kolkata/Haldia, Paradip, Chennai, Visakhapatnam, Ennore and Tuticorin.</li></ul>"
