Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>In the series AABABCABCDABCDE………. Which letter occupies the 100th position?</p><p> </p>,(a)  H,(b) I,(c)  J,(d)  K,gs_unclassified,b,,,
2," <p>What is the number of terms in the series 117, 120, 123, 126, ……, 333 ?</p><p> </p>",(a)  72,(b)  73,(c)  76,(d)  79,gs_unclassified,b,,,
3," <p>In how many different ways can four books A, B, C and D be arranged one above another in a vertical order such that the books A and B are never in continuous position? </p>",(a)  9,(b)  12,(c)  14,(d)  18,gs_unclassified,b,,,
4," <p>Carpenter A can make a chair in 6 hours, carpenter B in 7 hours and carpenter C in 8 hours. If each carpenter works for 8 hours per day, how many chairs will be made in 21 days?       </p>",(a)  61,(b)  67,(c)  73,(d)  79,,c,,,
5, <p>A person purchases 100 pens at a discount of 10%. The net amount of money spent by the person to purchase the pens is Rs 600. The selling expenses incurred by the person are 15% on the net cost price. What should be the selling price for 100 pens in order to earn a profit of 25%?</p><p> </p>,(a)  Rs 802.50,(b)  Rs 811.25,(c)  Rs 862.50,(d)  Rs 875,gs_unclassified,c,,,
6, <p>A schoolteacher has to select the maximum possible number of different groups of 3 students out of total of 6 students. In how many groups any particular student will be included? </p>,(a)  6,(b)  8,(c)  10,(d)  12,gs_unclassified,c,,,
7," <p>In an examination, 70% of the students passed in the Paper I, and 60% of the students passed in the Paper II. 15% of the students failed in both the papers while 270 students passed n both the papers. What is the total number of students? </p>",(a)  600,(b)  580,(c)  560,(d)  540,gs_unclassified,a,,,
8, <p>What is Bisphenol A (BPA)?</p>,(a)  A medical test for detecting cancer.,(b)  A test for testing the use of drugs to improve performance by athletes .,(c)  A chemical used for the development of food-packaging materials.,(d)  A special type of allow steel.,Basic Sciences,c,,,"Bisphenol A (abbreviated BPA) is an organic compound with the formula (CH3)2C(C6H4OH)2. Containing two phenol functioning groups, it is a difunctional building block to several important polymers and polymer additives. Bisphenol A is used in the synthesis of polyesters, polysulfones, and polyether ketones, as an antioxidant in some plasticizers, and as a polymerization inhibitor in PVC. Bisphenol A I used in the production of epoxy resins and polycarbonate plastics. These plastics are used in many food and drink packaging applications, whilst the resins are commonly used as lacquers to coat metal products such as food cans, bottle tops and water supply pipes."
9," <p>Which of the following pairs about India’s economic indicator and agricultural production (all in rounded figures) are correctly matched?</p><p>1. GDP per capital (current prices) : Rs. 37,000.</p><p>2. Rice                                                  : 180 million tons.</p><p>3. Wheat                                              : 75 million tons.</p><p>Select the correct answer using the code given below:</p>","(a)  1, 2 and 3.",(b)  1 and 2 only.,(c)  2 and 3 only.,(d)  1 and 3 only.,Economics,d,,,"Rice Production in 2007-08: 93.4 million tonnes
Wheat Production in 2007-08: 75.8 million tonnes"
10," <p>March 1, 2008 was Saturday. Which day was it on March 1, 2002?</p>",(a)  Thursday.,(b)  Friday.,(c)  Saturday.,(d)  Sunday.,gs_unclassified,b,,,
