Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>In which one of the following regions was Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, located?</p>",(a) Andhra,(b) Gandhara,(c) Kalinga,(d) Magadha,History (Ancient India),a,Medium,Fundamental(F),"<p>There are a few literary traditions about the <strong>presence of Buddhism in Andhra Pradesh during pre-Mauryan period. </strong>The famous Buddhist sites of Amaravati and Dhanyakataka are associated with Buddha, as a birthplace of one of the previous births of Buddha and a preaching site of Buddha respectively.<strong>Amaravati and Dharanikota, both formed part of ancient Dhanyakataka, the capital of later Satavahanas.</strong></p><p><strong>With the spread of Buddhism to different parts of the country many sects appeared. </strong>For example, <strong>the Theravadins had their centre of activity at Kausambi; Mathura was the centre for the Sarvastivadins; </strong>and the<strong> Bhadra Yanika sect flourished at Nasik and Kanheri.</strong> The origin of these sects may not have been originally due to differences in the doctrines. In fact, what contributed to their origin and growth were factors related to geographical diversities of the country, attitudes of various communities at the local levels and perhaps lack of coordination between the various exponents of the sects. <strong>Under the Satavahavas,the Dhanyakataka (Amaravati) region became the most important stronghold of Mahayana Buddhism whereas the Sthaviravadins were popular in the north.</strong></p><p><strong>Hence option (a) is the correct answer.</strong></p>"
2," <p>With reference to ancient India, consider the following statements: </p><p>1. The concept of Stupa is Buddhist in origin. </p><p>2. Stupa was generally a repository of relics. </p><p>3. Stupa was a votive and commemorative structure in Buddhist tradition. </p><p>How many of the statements given above are correct? </p>",(a) Only one,(b) Only two,(c) All three,(d) None,History (Ancient India),b,Medium,Fundamental(F),"<p>Stupa, Sanskrit for heap, is a mound-like (hemispherical) burial structure <strong>containing relics of Buddhist monks.</strong> E.g. Sanchi Stupa built over Buddha relics. <strong>Hence statement 2 is correct.</strong></p><p><strong>However, concept of stupa does not have Buddhist origin. The word Stupa is mentioned in the Rigveda, Atharvaveda, Vajasaneyi Samhita, Taittriya Samhita, etc. Hence statement 1 is not correct.</strong></p><p><strong>Rigveda refers to a Stupa raised by the King Varuna above the forest in a place having no foundation .</strong>The<strong> word ‘estuka’</strong> is also used in the same sense in Rigveda, probably by then anything raised on the ground like a heap/pile might have been known as Stupa. <strong>However the Pali word ‘thupa’ is quite similar to the term ‘Stupa’. Thupa means a conical heap, a pile or a mound or a conical or bell shaped shrine containing a relic.</strong></p><p>Stupa is regarded as a monument for veneration. But as Stupa seems to be associated with votive and commemorative and offering purposes; Stupa thus gradually was related to the<strong> ritualistic and commemorative with sectarian, affliation with school of philosophical obligatory and was bound by aspects of social- economic life. Hence statement 3 is correct.</strong></p><p>The Buddhist texts like the Avadana Satakam, Mahavadana and Stupavadanam mentions about the commemorative aspects of the Stupa even the Jaina literature like Raya Pasenaiya Sutta refers to it. Probably in the later period, due to deep desire of the common mass to worship the lord for the sake of salvation, Stupa acquired its votive character as well. </p>"
3," <p>With reference to ancient South India, Korkai, Poompuhar and Muchiri were well known as </p>",(a) capital cities,(b) ports,(c) centres of iron-and-steel making,(d) shrines of Jain tirthankaras,History (Ancient India),b,Easy,Fundamental(F),"<p><strong>Korkai, Poompuhar and Muchiri were well-known ports.</strong></p><p>The Sangam literature provides valuable insights into the urban centres and cultures of early historical South India.</p><p><strong>Kaverippumpattinam (also known as Pumpuhar or Puhar) was the premier Chola port in early historical times.</strong> Classical accounts refer to it as Khaberis or Camara.</p><p><strong>Korkai was the major Pandya port, </strong>while Tondi and <strong>Muchiri </strong>were the important ports in the <strong>Chera kingdom.</strong></p><p><strong>Hence option (b) is the correct answer.</strong></p>"
4, <p>Which one of the following explains the practice of 'Vattakirutal' as mentioned in Sangam poems?</p>,(a) Kings employing women bodyguards,(b) Learned persons assembling in royal courts to discuss religious and philosophical matters,(c) Young girls keeping watch over agricultural fields and driving away birds and animals,(d) A king defeated in a battle committing ritual suicide by starving himself to death,History (Ancient India),d,Difficult,tFundamental(F),"<p>Sangam poems are pervaded with a warrior ethic. The goal of the hero of the puram poems was pukal (glory, fame) and a heroic death was greatly valued. It was believed that the spirit of a warrior who died in battle dwelt in paradise. A poem in the Purananuru suggests that the bodies of warriors who did not die in battle were cut with swords before the funerary rites, to simulate death in battle.</p><p>The <strong>practice of vattakirutal was one in which a defeated king committed ritual suicide by starving himself to death, accompanied by those who had been close to him during his lifetime. </strong></p><p>The <strong>worship of memorial stones (natukal) </strong>was a corollary of the importance of the heroic ideal. Memorial stones were erected in honour of heroes who died fighting valiantly in battle; the spirit of the fallen hero was believed to reside in these stones.</p><p><strong>Hence option (d) is the correct answer.</strong></p>"
5, <p>Consider the following dynasties:</p><p>1. Hoysala</p><p>2. Gahadavala</p><p>3. Kakatiya</p><p>4. Yadava</p><p>How many of the above dynasties established their kingdoms in early eighth century AD?</p>,(a) Only one,(b) Only two,(c) Only three,(d) None,History (Ancient India),d,Difficult,tFundamental(F),"<p>The <strong>Hoysala era (1026 CE – 1343 CE)</strong> was marked by illustrious achievements in art, architecture, and culture. The nucleus of this activity lay in the present-day Hassan district of Karnataka, India. <strong>Hence option 1 is not correct.</strong></p><p>The <strong>Gahadavala dynasty also Gahadavalas of Kannauj was a Rajput dynasty</strong> that ruled parts of the <strong>present-day Indian states of Uttar Pradesh and Bihar, during 11th and 12th centuries.</strong> Their capital was located at Banaras in the Gangetic plains, and for a brief period, they also controlled Kannauj. <strong>Hence option 2 is not correct.</strong></p><p>The <strong>Kakatiya dynasty </strong>ruled most of eastern Deccan region in present-day India <strong>between 12th and 14th centuries.</strong> Their territory comprised much of the present day Telangana and Andhra Pradesh, and parts of eastern Karnataka, northern Tamil Nadu, and southern Odisha. <strong>Hence option 3 is not correct.</strong></p><p><strong>The Seuna, Sevuna or Yadava dynasty (850 - 1334 A.D.) </strong>was an Indian dynasty, which at its peak ruled a kingdom stretching from the Tungabhadra to the Narmada rivers, including present-day Maharashtra, north Karnataka and parts of Madhya Pradesh, from its capital at Devagiri (present-day Daulatabad in Maharashtra). <strong>Hence option 4 is not correct.</strong></p>"
6," <p>With reference to ancient Indian History, consider the following pairs:</p><table border=""1"" data-mce-selected=""1"" data-mce-style=""border-collapse: collapse; width: 99.9853%;"" style=""border-collapse: collapse; width: 99.9853%;""><tbody><tr><td data-mce-first-selected=""1"" data-mce-selected=""1"" data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100""><em><strong>Literary work</strong></em></td><td data-mce-selected=""1"" data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100""></td><td data-mce-last-selected=""1"" data-mce-selected=""1"" data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100""><em><strong>Author</strong></em></td></tr><tr><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">1.Devichandragupta</td><td data-mce-style=""width: 13.1062%; text-align: center;"" style=""width: 13.1062%; text-align: center;"" width=""100""><em><strong>:</strong></em></td><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">Bilhana</td></tr><tr><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">2.Hammira-Mahakavya </td><td data-mce-style=""width: 13.1062%; text-align: center;"" style=""width: 13.1062%; text-align: center;"" width=""100""><em><strong>:</strong></em></td><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100""><p>Nayachandra Suri</p></td></tr><tr><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">3.Milinda-panha </td><td data-mce-style=""width: 13.1062%; text-align: center;"" style=""width: 13.1062%; text-align: center;"" width=""100""><em><strong>:</strong></em></td><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">Nagarjuna</td></tr><tr><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100"">4.Nitivakyamrita</td><td data-mce-style=""width: 13.1062%; text-align: center;"" style=""width: 13.1062%; text-align: center;"" width=""100""><em><strong>:</strong></em></td><td data-mce-style=""width: 13.1062%;"" style=""width: 13.1062%;"" width=""100""><p>Somadeva Suri</p></td></tr></tbody></table><p>How many of the above pairs are correctly matched?</p><div class=""mce-resizehandle"" data-mce-bogus=""all"" data-mce-style=""cursor: nw-resize; margin: 0px; padding: 0px; left: -5px; top: 25px;"" id=""mceResizeHandlenw"" style=""cursor: nw-resize; margin: 0px; padding: 0px; left: -5px; top: 25px;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""all"" data-mce-style=""cursor: ne-resize; margin: 0px; padding: 0px; left: 758px; top: 25px;"" id=""mceResizeHandlene"" style=""cursor: ne-resize; margin: 0px; padding: 0px; left: 758px; top: 25px;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""all"" data-mce-style=""cursor: se-resize; margin: 0px; padding: 0px; left: 758px; top: 149.8px;"" id=""mceResizeHandlese"" style=""cursor: se-resize; margin: 0px; padding: 0px; left: 758px; top: 149.8px;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""all"" data-mce-style=""cursor: sw-resize; margin: 0px; padding: 0px; left: -5px; top: 149.8px;"" id=""mceResizeHandlesw"" style=""cursor: sw-resize; margin: 0px; padding: 0px; left: -5px; top: 149.8px;"" unselectable=""true""></div>",(a) Only one,(b) Only two,(c) Only three,(d) All four,Art And Culture,b,Difficult,tFundamental(F),"<p>Devichandragupta - Vishakadatta. <strong>Hence pair 1 is not correctly matched.</strong></p><p>Hammira-Mahakavya - Nayachandra Suri. <strong>Hence pair 2 is correctly matched.</strong></p><p>Milinda-panha - Nagarjuna. <strong>Hence pair 3 is not correctly matched.</strong></p><p>Nitivakyamrita - Somadeva Suri. <strong>Hence pair 4 is correctly matched.</strong></p><p><strong>*For Clarification:</strong></p><p>The Indian philosopher Acharya <strong>Nagarjuna (c. 150-250 CE) </strong>was the <strong>founder of the Madhyamaka (Middle Path) school of Mahayana Buddhism</strong> and arguably the most influential Buddhist thinker/philosopher.</p><p>Whereas the <strong>old NCERT Ancient India book by R.S. Sharma mentions</strong> that Menander who was an Indo-Greek Ruler (165-145 B.C.) also known as <strong>Milinda was converted to Buddhism by Nagasena (who was also known as Nagarjuna). </strong>He asked many questions to Nagasena which were recorded in a book called<strong> 'Milinda Panho'.</strong></p><p>UPSC has asked a question in Prelims 1997: Milinda Panho is in the form of dialogue between King Milind and which Buddhist monk? <strong>(a) Nagasena (b) Nagarjuna</strong> (c) Nagbhatta (d) Kumarilbhatta. According to UPSC the answer was Nagasena. So when UPSC in this particular question distinguished Nagasena with Nagarjuna, then we should also consider Nagasena different from Nagarjuna. That is why we have given the answer as B.</p>"
7," <p>""Souls are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked on as living by other religious sects."" </p><p>The above statement reflects one of the core beliefs of which one of the following religious sects of ancient India? </p>",(a) Buddhism,(b) Jainism,(c) Shaivism,(d) Vaishnavism,History (Ancient India),b,Easy,Fundamental(F),"<p>Jainism holds that <strong>every atom has a soul but it is not Jiva, because they do not have sense organs.</strong> The soul is both permanent and changing. Based on extension, Jainism divides substance into two classes, those that are extended in space and those that are not. Although Jainism recognizes souls, it rejects the notion of an ultimate, universal soul.</p><p><strong>Hence option (b) is the correct answer.</strong></p>"
8, <p>Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and a canal-cum-aqueduct several kilometres long from the river to the capital city?</p>,(a) Devaraya I,(b) Mallikarjuna,(c) Vira Vijaya,(d) Virupaksha,History (Medieval India),a,Difficult,tFundamental(F),<p><strong>Devaraya I in around 1410 A.D. got a barrage constructed across the Tungabhadra river</strong> and commissioned a 24 km long aqueduct from the Tungabhadra river tothe capital. The account provided by Nuniz gives details of the projectsundertaken by Deva Raya I that brought prosperity to the Kingdom.</p><p><strong>Hence option (a) is the correct answer.</strong></p>
9, <p>Who among the following rulers of medieval Gujarat surrendered Diu to Portuguese? </p>,(a) Ahmad Shah,(b) Mahmud Begarha,(c) Bahadur Shah,(d) Muhammad Shah,History (Modern India),c,Difficult,tFundamental(F),"<p>Nino da Cunha (1529-38) shifted the capital of the Portuguese colony from Cochin to Goa in 1530. In 1534 AD,<strong> he captured Diu and Bassein from the Sultan of Gujarat, Bahadur Shah. </strong></p><p><strong>Hence option (c) is the correct answer.</strong></p>"
10, <p>By which one of the following Acts was the Governor General of Bengal designated as the Governor General of India? </p>,(a) The Regulating Act,(b) The Pitt's India Act,(c) The Charter Act of 1793,(d) The Charter Act of 1833,History (Modern India),d,Easy,Fundamental(F),"<p><strong>Charter Act of 1833:</strong> This Act was the final step towards centralisation in British India.</p><ul><li>It <strong>made the Governor-General of Bengal as the Governor- General of India and vested in him all civil and military powers.</strong></li><li>The act created, for the first time, the Government of India having authority over the entire territorial area possessed by the British in India.</li><li>Lord William Bentick was the first Governor-General of India.</li><li>It deprived the Governor of Bombay and Madras of their legislative powers. The Governor-General of India was given exclusive legislative powers for the entire British India.</li></ul><p><strong>Hence option (d) is the correct answer.</strong></p>"
