Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>How many Delimitation Commissions have been constituted by the Government of India till December 2023?</p>,(a) One,(b) Two,(c) Three,(d) Four,Polity And Governance,d,Easy,Fundamental(F),"<ul><li>Delimitation literally means the act or process of fixing limits or boundaries of territorial constituencies in a country or a province having a legislative body. The job of delimitation is assigned to a high power body. Such a body is known as Delimitation Commission or a Boundary Commission. In India, such Delimitation Commissions have been constituted 4 times – in 1952 under the Delimitation Commission Act, 1952, in 1963 under Delimitation Commission Act, 1962, in 1973 under Delimitation Act, 1972 and in 2002 under Delimitation Act, 2002.<strong> Hence, option (d) is the correct answer. </strong></li><li>The Delimitation Commission in India is a high power body whose orders have the force of law and cannot be called in question before any court. These orders come into force on a date to be specified by the President of India in this behalf. The copies of its orders are laid before the House of the People and the State Legislative Assembly concerned, but no modifications are permissible therein by them.</li></ul>"
2," <p>The Constitution (71st Amendment) Act, 1992 amends the Eighth Schedule to the Constitution to include which of the following languages?</p><p>1. Konkani</p><p>2. Manipuri</p><p>3. Nepali</p><p>4. Maithili</p><p>Select the correction answer using the code given below :</p>","(a) 1, 2 and 3","(b) 1, 2 and 4","(c) 1, 3 and 4","(d) 2, 3 and 4",Polity And Governance,a,Medium,Fundamental(F),"<ul><li>The 71st Amendment, enacted in 1992, included three more languages, i.e. Konkani, Meitei (Manipuri) and Nepali. The 92nd Amendment, added Bodo, Dogri, Santhali and Maithali in 2003, raising the total number of languages to 22. Hence, option (a) is the correct answer.</li></ul>"
3," <p>Consider the following pairs :</p><table border=""1"" style=""border-collapse: collapse; width: 100.024%;""><tbody><tr><td style=""width: 7.18391%;""><strong><em>Party</em></strong></td><td style=""width: 7.18391%;""><br/></td><td style=""width: 7.18391%;""><strong><em>Its Leader</em></strong></td></tr><tr><td style=""width: 7.18391%;"">1. Bhartiya Jana Sangh</td><td style=""width: 7.18391%; text-align: center;""><strong>:</strong></td><td style=""width: 7.18391%;"">Dr. Shyama Prasad Mukherjee</td></tr><tr><td style=""width: 7.18391%;"">2. Socialist Party</td><td style=""width: 7.18391%; text-align: center;""><strong>:</strong></td><td style=""width: 7.18391%;"">C. Rajagopalachari</td></tr><tr><td style=""width: 7.18391%;"">3. Congress for Democracy</td><td style=""width: 7.18391%; text-align: center;""><strong>:</strong></td><td style=""width: 7.18391%;"">Jagjivan Ram</td></tr><tr><td style=""width: 7.18391%;"">4. Swatantra Party</td><td style=""width: 7.18391%; text-align: center;""><strong>:</strong></td><td style=""width: 7.18391%;"">Acharya Narendra Dev</td></tr></tbody></table><p>How many of the above are correctly matched?</p>",(a) Only one,(b) Only two,(c) Only three,(d) All four,Post Independence,b,Difficult,tFundamental(F),"<ul><li>The Bharatiya Jana Sangh was an Indian nationalist political party. This party was established on 21 October 1951 in Delhi, that existed from 1951 to 1977. Its three founding members were Shyama Prasad Mukherjee, Balraj Madhok and Deendayal Upadhyaya. <strong>Hence pair 1 is correctly matched.</strong> C. Rajagopalachari was the founder of the Swatantra Party, not the Socialist Party. The Socialist Party was associated with leaders like Ram Manohar Lohia and Jayaprakash Narayan. <strong>Hence pair 2 is not correctly matched. </strong></li><li>The Congress for Democracy (CFD) was an Indian political party founded in 1977 by Jagjivan Ram. It was formed after Jagjivan Ram, Hemavati Nandan Bahuguna, and Nandini Satpathy left the Indian National Congress of Indira Gandhi and denounced her rule during the Indian Emergency. <strong>Hence pair 3 is correctly matched. </strong></li><li>The Swatantra Party was an Indian classical liberal political party that existed from 1959 to 1974. It was founded by C. Rajagopalachari in reaction to what he felt was the Jawaharlal Nehru-dominated Indian National Congress's increasingly socialist and statist outlook. <strong>Hence pair 4 is not correctly matched. </strong></li><li><strong>Hence option (b) is the correct answer. </strong></li></ul>"
4, <p>Which of the following statements are correct about the Constitution of India?</p><p>1. Powers of the Municipalities are given in Part IX A of the Constitution.</p><p>2. Emergency provisions are given in Part XVIII of the Constitution.</p><p>3. Provisions related to the amendment of the Constitution are given in Part XX of the Constitution.</p><p>Select the answer using the code given below :</p>,(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Polity And Governance,d,Easy,Fundamental(F),"<ul><li>Indian costitution is the world's lengthiest written constitution had 395 articles in 22 parts and 8 schedules at the time of commencement. Now the Constitution of India has 448 articles in 25 parts and 12 schedules. </li><li>Part IX-A of the Indian constitution deals with municipalities, its composition, powers, etc. It was added by the 74th amendment act of the Indian Constitution. The 74th amendment act was introduced in 1992. It came into force on 1st June 1993.<strong> Hence, statement 1 is correct. </strong></li><li>Part XVIII of the Indian constitution envisages the following three emergencies: General Emergency (also called national emergency) Breakdown of constitutional machinery in the states -(also called state emergency) Financial Emergency. <strong>Hence, statement 2 is correct. </strong></li><li>The procedure of amendment in the constitution is laid down in Part XX (Article 368) of the Constitution of India.<strong> Hence, statement 3 is correct.</strong></li></ul>"
5, <p>Which one of the following statements is correct as per the Constitution of India?</p>,(a) Inter-State trade and commerce is a State subject under the State List.,(b) Inter-State migration is a State subject under the State List.,(c) Inter-State quarantine is a Union subject under the Union List.,(d) Corporation tax is a State subject under the State List.,Polity And Governance,c,Medium,Fundamental(F),"<ul><li>The Seventh Schedule to the Constitution of India under Article 246 specifies the allocation of powers and functions between the Union and the State legislatures. Presently, the Union List contains 98 subjects (originally 97), the State List contains 59 subjects (originally 66) and the Concurrent List contains 52 subjects (originally 47). </li><li>Inter-State trade and commerce finds itself in the Union list of the seventh schedule. Inter-state migration as entry 42. </li><li>Entry 81 of the Union List mentions Inter-State migration and inter-State quarantine. Corporation Tax is entry 85 in the Union List. <strong>Hence, option (c) is the correct answer. </strong></li></ul>"
6," <p>Under which of the following Articles of the Constitution of India, has the Supreme Court of India places the Right to Privacy?</p>",(a) Article 15,(b) Article 16,(c) Article 19,(d) Article 21,Polity And Governance,d,Easy,Fundamental(F),"<ul><li>The Supreme Court of India in Justice K.S. Puttaswamy (Retd) vs Union of India has declared that the Right to Privacy is a fundamental right under Article 21. In doing so, the Supreme Court has overruled verdicts given in the M.P. Sharma case in 1958 and the Kharak Singh case in 1961, both of which said that the right to privacy is not protected under the Indian constitution. <strong>Hence, option (d) is the correct answer.</strong></li></ul>"
7, <p>What are the duties of the Chief of Defence Staff (CDS) as Head of the Department of Military Affairs?</p><p>1. Permanent Chairman of Chiefs of Staff Committee.</p><p>2. Exercise military command over the three Service Chiefs.</p><p>3. Principal Military Advisor to Defence Minister on all tri-service matters.</p><p>Select the correct answer using the code given below.</p>,"(a) 1, 2 and 3",(b) 1 and 2 only,(c) 2 and 3 only,(d) 1 and 3 only,Current Affairs,d,Medium,Current Affairs(CA),"<ul><li><strong>The duties and functions of the Chief of Defence Staff (CDS) include the following: </strong><ul><li>To head the Department of Military Affairs in Ministry of Defence and function as its Secretary. </li><li>To act as the Principal Military Advisor to Hon’ble Raksha Mantri on all Tri-Service matters. </li><li>To function as the Permanent Chairman of the Chiefs of Staff Committee </li><li>To administer the Tri-Service organizations/agencies/commands. </li><li>To be a member of Defence Acquisition Council chaired by Hon’ble Raksha Mantri. </li><li>To function as the Military Advisor to the Nuclear Command Authority. </li><li>To bring about jointness in operation, logistics, transport, training, support services, communications, repairs and maintenance, etc of the three Services. </li><li>To ensure optimal utilisation of infrastructure and rationalise it through jointness among the Services. </li><li>To implement Five-Year Defence Capital Acquisition Plan and Two-Year roll-on Annual Acquisition Plans, as a follow up of Integrated Capability Development Plan. </li><li>To assign inter-services prioritisation to capital acquisition proposals based on the anticipated budget. </li><li>To bring about reforms in the functioning of three Services with the aim to augment combat capabilities of the Armed Forces by reducing wasteful expenditure. </li></ul></li><li>The CDS does not exercise military command over the three services. <strong>Hence, option (d) is the correct answer. </strong></li></ul>"
8, <p>Operations undertaken by the Army towards upliftment of the local population in remote areas to include addressing of their basic needs is called :</p>,(a) Operation Sankalp,(b) Operation Maitri,(c) Operation Sadbhavana,(d) Operation Madam,Current Affairs,c,Easy,Current Affairs(CA),"<ul><li><strong>Operation SADBHAVANA’, is an initiative of the Indian Army to support various welfare activities in the Union Territory of Ladakh. </strong>The Army<strong> is undertaking multiple welfare activities such as the running of Army Goodwill Schools, Infrastructure Development Projects, Education Tours, etc. for the children living in remote areas of the Union Territory (UT) of Ladakh. The aim is to improve the standard of education and ensure the provision of quality education. </strong></li><li>Under the program, women in remote areas of Ladakh are being empowered through various training programs in Vocational Training Centres, Women Empowerment Centres, and Computer Centres. In addition, training classes are being organized for various activities i.e., Pashmina Shawl Weaving, Wool Knitting, Extraction of Apricot Oil, Yak Cheese Making, and Yak Cheese Baking. Further, ‘Kargil Ignited Minds’ an initiative exclusively for girl students of Kargil is launched for preparation for various competitive examinations for admissions into various professional colleges and institutions in India.</li><li>Overall, the funds are being utilized for various activities like Human Resource/Skill Development, Sports, Healthcare, National Integration, Infrastructure Development, Ecology, Environment, and Education. <strong>Hence option (c) is the correct answer.</strong></li></ul>"
9, <p>The longest border between any two countries in the world is between :</p>,(a) Canada and the United States of America,(b) Chile and Argentina,(c) China and India,(d) Kazakhstan and Russian Federation,Geography,a,Easy,Fundamental(F),"<ul><li><strong>Canada's border with the United States is the world's longest international border, at 8,890 km.</strong> This compares with the 6,846-km boundary between Russia and Kazakhstan and the 5,308-km frontier between Chile and Argentina.</li><li>India shares 3488 Km of border with China that runs along the Union Territory of Ladakh, States of Himachal Pradesh, Uttarakhand, Sikkim and Arunachal Pradesh.</li><li><strong>Hence option (a) is the correct answer.</strong></li></ul>"
10, <p>Which of the following statements about the Ethics Committee in the Lok Sabha are correct?</p><p>1. Initially it was an ad-hoc Committee.</p><p>2. Only a Member of the Lok Sabha can make a complaint relating to unethical conduct of a member of the Lok Sabha.</p><p>3. This Committee cannot take up any matter which is sub-judice.</p><p>Select the correct answer using the code given below :</p>,(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Current Affairs,c,Medium,Current Affairs(CA),"<ul><li><strong>The Ethics Committee of the Lok Sabha and its History:</strong><ul><li>The genesis of the formation of the Ethics Committee in Parliament can be traced to a resolution adopted at the Presiding Officers Conference held in New Delhi in October 1996 which desired the legislatures to explore the possibility of constituting an Ethics Committee. It is in pursuance of this resolution that the endeavour for setting up of the Ethics Committee in Indian Legislatures began in earnest.Then Vice President (and Rajya Sabha Chairman) K R Narayanan constituted the Ethics Committee of the Upper House on March 4, 1997, and it was inaugurated that May to oversee the moral and ethical conduct of members and examine cases of misconduct referred to it. The Rules applicable to the Committee of Privileges also apply to the ethics panel.</li><li>In the case of Lok Sabha, a study group of the House Committee of Privileges, after visiting Australia, the UK, and the US in 1997 to look into practices pertaining to the conduct and ethics of legislators, recommended the constitution of an Ethics Committee, but it could not be taken up by Lok Sabha. The Committee of Privileges finally recommended the constitution of an Ethics Committee during the 13th Lok Sabha. The late Speaker, G M C Balayogi, constituted an ad hoc Ethics Committee in 2000, which became a permanent part of the House only in 2015. <strong>Hence, statement 1 is correct.</strong></li><li>Any person can complain against a Member through another Lok Sabha MP, along with evidence of the alleged misconduct, and an affidavit stating that the complaint is not “false, frivolous, or vexatious”. If the Member himself complains, the affidavit is not needed. The Speaker can refer to the Committee any complaint against an MP. <strong>Hence, statement 2 is not correct.</strong></li><li>The Committee does not entertain complaints based only on media reports or on matters that are sub judice. The Committee makes a prima facie inquiry before deciding to examine a complaint. It makes its recommendations after evaluating the complaint. <strong>Hence, statement 3 is correct.</strong></li></ul></li></ul>"
