Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>In the areas covered under the Panchayat (Extension to the Scheduled Areas) Act, 1996, what is the role/power of Gram Sabha?</p><p>1. Gram Sabha has the power to prevent alienation of land in the Scheduled Areas.</p><p>2. Gram Sabha has the ownership of minor forest produce.</p><p>3. Recommendation of Gram Sabha is required for granting prospecting lincence or mining lease for any mineral in the Scheduled Areas.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 1 and 2 only,(c) 2 and 3 only,"(d) 1, 2 and 3",Polity and Governance,b,Medium,Fundamental(F),"<p>ARTICLE 4(K) from PESA act - The recommendations of the Gram Sabha or the Panchayats at the appropriate level shall be made mandatory prior to grant of prospecting licence or mining lease for minor minerals in the Scheduled Areas;[Note: please pay attention to 'minor minerals' and 'or the Panchayats at the appropriate level'. These words are deliberately removed/changed to make the statement false] PESA promotes self-governance in Schedule V Areas, giving centrality to Gram Sabhas. Under PESA, Gram Sabhas have mandatory executive functions to approve plans of the Village Panchayats, identify beneficiaries for schemes, issue certificates of utilization of funds, right to be consulted before land acquisition, rehabilitation &amp;resettlement, power to regulate and restrict sale/consumption of intoxicants, prevent alienation of land and restore alienated land, manage village markets, control money lending an ownership of minor forest produce. Specific provisions in the law are designed to prevent tribal alienation from their lands and the restoration of illegally alienated land. Another provision makes it mandatory for the gram sabha to be consulted prior to land acquisition in tribal areas.</p>"
2," <p>In the Parliament of India, the purpose of an adjournment motion is</p>",(a)  to allow a discussion on a definite matter of urgent public importance,(b)  to let opposition members collect information from the ministers,(c)  to allow a reduction of specific amount in demand for grant,(d)  to postpone the proceedings to check the inappropriate or violent behaviour  on the part of some members.,Polity and Governance,a,Easy,Fundamental(F),<ul><li>Adjournment motion allow a discussion on a definite matter of urgent public importance.</li></ul>
3, <p>How does National Biodiversity Authority (NBA) help in protecting the Indian Agriculture?</p><p>1. NBA checks the biopiracy and protects the indigenous and traditional genetic resources.</p><p>2. NBA directly monitors and supervises the scientific research on genetic modification of crop plants.</p><p>3. Application for Intellectual Property Rights related to genetic/biological resources cannot be made without the approval of NBA.</p><p>Which of the statements given above is/are correct?  </p>,(a)  1 only,(b)  2 and 3 only,(c) 1 and 3 only,"(d)  1, 2 and 3",Ecology and Environment,c,Difficult,tFundamental(F),"<p>NBA had finally concluded its year-long investigation in Aug 2011 and recommended action against the U.S. agribusiness giant, Monsanto, and its Indian collaborators. Any person who intends to apply for a patent or any other form of intellectual property protection whether in India or outside India referred to in sub section (1) of section 6, may make an application in such form and in such manner as may be prescribed to the National Biodiversity Authority. NBA to take action against Bt Brinjal biopiracy The NBA deals with all matters relating to requests for access by foreign individuals, institutions or companies, and transfer of results of research to any foreigner. While granting approvals, NBA imposes conditions which secure equitable sharing of benefits arising out of the use of biological resources and associated knowledge. These benefits could include monetary gains; grant of joint ownership of Intellectual property Rights (IPRs), transfer of technology, association of Indian scientists in research and development, setting up of venture capital funds etc. Further, NBA’s approval is also required before seeking any IPR based on biological material and associated knowledge obtained from India. The NBA also has power to oppose grant of IPRs in any other country on biological resources or associated knowledge obtained or derived from India.<br/></p>"
4," <p>The National Green Tribunal Act, 2010 was enacted in consonance with which of the following provisions of the Constitution of India?</p><p>1. Right to healthy environment, construed as a part of Right to life under Article 21.</p><p>2. Provision of grants for raising the level of administration in the Scheduled Areas for the welfare of Scheduled Tribes under Article 275(1).</p><p>3. Powers and functions of Gram Sabha as mentioned under Article 243(A).</p><p>Select the correct answer using the codes given below:  </p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Ecology and Environment,a,Medium,Fundamental(F),"<p><br data-mce-bogus=""1""/></p>"
5," <p>If National Water Mission is properly and completely implement, how will it impact the country?</p><p>1. Part of the water needs of urban areas will be met through recycling of waste-water.</p><p>2. The water requirements of coastal cities with inadequate alternative sources of water will be met by adopting appropriate technologies that allow for the use of ocean water.</p><p>3. All the rivers of Himalayan origin will be linked to the rivers of peninsular India.</p><p>4. The expenses incurred by farmers for digging bore-wells and for installing motors and pump-sets to draw ground-water will be completely reimbursed by the Government.</p><p>Select the correct answer using the codes given below:</p>",(a)  1 only,(b)  1 and 2 only,(c)  3 and 4 only,"(d)  1, 2, 3 and 4",Economics,b,Medium,Applied(A),"[from objective statement] 
It will seek to ensure that a considerable share of the water needs of urban areas are met through recycling of waste water, and ensuring that the water requirements of coastal cities with
inadequate alternative sources of water are met through adoption of new and appropriate technologies such as low temperature desalination technologies
that allow for the use of ocean water.
http://india.gov.in/allimpfrms/alldocs/15658.pdf
Climate council's water mission for
India
Pasted from <http: article449163.ece="""" op-ed="""" opinion="""" www.thehindu.com=""""> 
The objective of National Water
Mission is ""conservation of water, minimizing wastage and ensuring its equitable distribution both across and within States through integrated water
resources development and management"". 
Pasted from <http: erelease.aspx?relid=""71513"" newsite="""" www.pib.nic.in=""""></http:></http:>"
6, <p>Consider the following provisions under the Directive Principles of State Policy as enshrined in the Constitution of India:</p><p>1. Securing for citizens of India a uniform civil code.</p><p>2. Organizing village Panchayats.</p><p>3. Promoting cottage industries in rural areas.</p><p>4. Securing for all the workers reasonable leisure and cultural opportunities.  </p><p>Which of the above are the Gandhian Principles that are reflected in the Directive Principles of State Policy?  </p>,"(a)  1, 2 and 4 only",(b)  2 and 3 only,"(c)  1, 3 and 4 only","(d)  1, 2, 3 and 4",Polity and Governance,b,Easy,Fundamental(F),
7," <p>Consider the following statements:</p><p>1. Union Territories are not represented in the Rajya Sabha.</p><p>2. It is within the purview of the Chief Election Commissioner to adjudicate the election disputes.</p><p>3. According to the Constitution of India, the Parliament consists of the Lok Sabha and the Rajya Sabha only.  </p><p>Which of the statements given above is/are correct?  </p>",(a) 1 only,(b) 2 and 3,(c) 1 and 3,(d) None,Polity and Governance,d,Medium,Fundamental(F),"<p>Adjudication of Election DisputesSpecial election benches designated for election petitions onlyshould be formed in the High CourtSpecial Election Tribunals should be constituted at the regionallevel under article 329B of the Constitution to ensure speedy disposal ofelection petitions and disputes within a stipulated period of six months,comprising a High Court judge and a senior civil servant with at least 5 yearsexperience in the conduct of elections (not below the rank of an AdditionalSecretary to the Government of India/Principal Secretary of a State Government) Pasted from &lt;http://pib.nic.in/newsite/PrintRelease.aspx?relid=72662&gt; The other subjects which were likelyto find place in the new Bill on election laws might be de-communalisation of elections,conduct, regulation and better management of elections, adjudication ofelection disputes and media and elections. Pasted from &lt;http://www.thehindu.com/news/national/article2642678.ece&gt;  </p>"
8," <p>With reference to consumers’ rights/privileges under the provisions of law in India, which of the following statements is/are correct?</p><p>1. Consumers are empowered to take samples for food testing.</p><p>2. When a consumer files a complaint in any consumer forum, no fee is required to be paid.</p><p>3. In case of death of a consumer, his/her legal heir can file a complaint the consumer forum on his/her behalf.</p><p>Select the correct answer using the codes given below:</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Polity and Governance,c,Medium,Fundamental(F),"<p>Poin1 discussed in AIR talk   http://www.consumerisking.in/consumer-complaint-checklist.pdf, ONE HAS TO PAY COURT FEE</p>"
9," <p>Regarding the office of the Lok Sabha Speaker, consider the following statements:</p><p>1. He/She holds the office during the pleasure of the President.</p><p>2. He/She need not be a member of the House at the time of his/her election but has to become a member of the House within six months from the date of his/her election.</p><p>3. If he/she intends to resign, the letter of his/her resignation has to be addressed to the Deputy Speaker.  </p><p>Which of the statements given above is/are correct?  </p>",(a)  1 and 2 only,(b)  3 only,"(c)  1, 2 and 3",(d)  None,Polity and Governance,b,Medium,Fundamental(F),
10, <p>Which of the following are included in the original jurisdiction of the Supreme Court?</p><ol><li>A dispute between the Government of India and one or more States.</li><li>A dispute regarding elections to either House of the Parliament or that of Legislature of a State.</li><li>A dispute between the Government of India and a Union Territory.</li><li>A dispute between two or more States.</li></ol><p>Select the correct answer using the codes given below.<br/></p><p></p><br/>,(a)  1 and 2,(b)  2 and 3,(c)  1 and 4,(d)  3 and 4,Polity and Governance,c,Easy,Fundamental(F),
