Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>A geographic area with an altitude of 400 metres has following characteristics:</p><table border=""1"" width=""300""><tbody><tr><td width=""50"">Month</td><td width=""100"">J</td><td width=""100"">F</td><td width=""100"">M</td><td width=""100"">A</td><td width=""100"">M</td><td width=""100"">J</td><td width=""100"">J</td><td width=""100"">A</td><td width=""100"">S</td><td width=""100"">O</td><td width=""100"">N</td><td width=""100"">D</td></tr><tr><td width=""100"">Average Maximum Temp. Celsius</td><td width=""100"">31</td><td width=""100"">31</td><td width=""100"">31</td><td width=""100"">31</td><td width=""100"">30</td><td width=""100"">30</td><td width=""100"">29</td><td width=""100"">28</td><td width=""100"">29</td><td width=""100"">29</td><td width=""100"">30</td><td width=""100"">31</td></tr><tr><td width=""100"">Average Minimum Temp.</td><td width=""100"">21</td><td width=""100"">21</td><td width=""100"">21</td><td width=""100"">21</td><td width=""100"">21</td><td width=""100"">21</td><td width=""100"">20</td><td width=""100"">20</td><td width=""100"">20</td><td width=""100"">20</td><td width=""100"">20</td><td width=""100"">20</td></tr><tr><td width=""100"">Rainfall (mm)</td><td width=""100"">51</td><td width=""100"">85</td><td width=""100"">188</td><td width=""100"">158</td><td width=""100"">139</td><td width=""100"">121</td><td width=""100"">134</td><td width=""100"">168</td><td width=""100"">185</td><td width=""100"">221</td><td width=""100"">198</td><td width=""100"">86</td></tr></tbody></table><p>If this geographic area were to have a natural forest, which one of the following would it most likely be?</p>",(a) Moist temperate coniferous forest,(b) Montane subtropical forest,(c) Temperate forest,(d) Tropical rain forest,Geography,d,Medium,Applied(A),"<p>Tropical rainforest are located in a band around the equator, mostly in the area between the Tropical of Cancer (23.5o N latitude) and the Tropic of Capricorn (23.5o S latitude). This 3,000 mile (4800 km) wide band is called the ""tropics"". Tropical rainforests are found in South America, West Africa, Australia, southern India, and Southeast Asia. Tropical rainforests are found in a narrow region around the equator that is known as the tropics. The climate is rainy and the temperatures are warm and nearly the same every day. The sun and the rain combine to create an environment that is very humid. This climate is ideal for the growth of many kinds of green plants. The temperature in tropic rain forest rarely gets higher than 340C or drops below 200C. In Montane subtropical forest, mean temperature range between 8 to 200C.</p>"
2," <p>If a potato is placed on a pure paper plate which is white and unprinted and put in a microwave oven, the potato heats up but the paper plate does not. This is because</p>",(a)  Potato is mainly made up of starch whereas paper is mainly made up of cellulose,(b)  Potato transmits microwaves whereas paper reflects microwaves,(c)  Potato contains water whereas paper does not contain water,(d)  Potato is a fresh organic material whereas paper is a dead organic material,Basic Sciences,c,Difficult,tApplied(A),"<ul><li>Microwaves are a type of electromagnetic energy. Microwave ovens use this energy to cook foods. The microwaves are absorbed by water molecules in food and cause the water molecules to rotate more rapidly. The extra energy of these more rapidly rotating water molecules spreads out and causes other molecules to move more rapidly. This causes the food to get warn and cook. Since the paper does not contain water molecules, it does not absorb the microwave energy. Microwaves go through glass and paper without heating them. Metal objects reflect microwaves and will damage microwave ovens if placed in them. The walls of microwave ovens are metal to help reflect the microwaves back to the food to be cooked.</li></ul>"
3," <p>Which reference to the Constitution of India, consider the following:</p><p>1. Fundamental Rights</p><p>2. Fundamental Duties</p><p>3. Directive Principles of State Policy</p><p>Which of the above provisions of the constitution of India is/are fulfilled by the National Social Assistance Programme launched by the Government of India ?</p>",(a)  1 only,(b)  3 only,(c)  1 and 3 only,"(d)  1, 2 and 3 only",Polity and Governance,b,Easy,Applied(A),"<ul><li>The National Social Assistance Programme (NSAP) which came into effect from 15th August, 1995 represents a significant step towards the fulfillment of the Directive Principles in Article 41 of the Constitution. The programme introduced a National Policy for Social Assistance for the poor and aims at ensuring minimum national standard for social assistance in addition to the benefits that states are currently providing or might provide in future. NSAP at present, comprised of Indira Gandhi National Old Age Pension Scheme (IGNOAPS), Indira Gandhi National Widow Pension Scheme (IGNWPS), Indira Gandhi National Disability Pension Scheme (IGNDPS), National Family Benefit Scheme (NFBS) and Annapurna.</li></ul>"
4," <p>A new type of El Nino called El Nino Modoki appeared in the news. In this context, consider the following statements:</p><p>1. Normal El Nino forms in the Central Pacific ocean whereas El Nino Modoki forms in Eastern Pacific ocean.</p><p>2. Normal El Nino results in diminished hurricanes in the Atlantic ocean but El Nino Modoki results in a greater number of hurricanes with greater frequency.</p><p>Which of the statements given above is/are correct ?.</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Geography,b,Medium,Fundamental(F),"<p>The traditional Nino, also called Eastern Pacific (EP) El Nino, involves temperature anomalies in the Eastern Pacific. However, in the last two decades non-traditional El Ninos were observed, in which the usual place of the temperature anomaly is not affected, but an anomaly arise in the central Pacific. The phenomenon is called Central Pacific (CP) El Nino, ""dateline"" El Nino (because the anomaly arises near the dateline), or El Nino ""Modoki"" (Modoki is Japanese for ""similar, but different"") The effects of the CP El Nino are different from those of the traditional EP El Nino - e.g., the new El Nino leads to more hurricanes more frequently making land fall in the Atlantic. The recent discovery of El Nino Modoki has some scientists believing it to be linked to Global Warming. However, Satellite data only goes back to 1979. More research must be done to find the correlation and study past El Nino episodes.</p>"
5, <p>Mon 863 is a variety of maize. It was in the news for the following reason</p>,(a)  It is a genetically modified dwarf variety which is resistant to drought,(b)  It is a genetically modified variety which is pest resistant,(c)  It is a genetically modified variety with ten times higher protein content than regular maize crop,(d)  It is a genetically modified variety used exclusively for bio - fuel production,Science and Technology,b,Easy,Fundamental(F),"<ul><li>MoN 863 is a genetically engineered (GE) insect resistant maize (corn) that expresses a Bt-toxin (Cry 3Bb1). This toxin, which stems from a micro-organism (Bacillus thuringiensis), is meant to protect to maize against the corn rootworm pest. This GE maize is different from those Bt-plants (Mon 810, Bt11, Bt 176) already placed on the market, as they produce another toxin (cry14b), which is toxic to the European corn borer. Further, the GE maize contains an antibiotic resistance marker gene (ntpII conferring resistance to kanamycin).</li></ul>"
6, <p>A cuboid has six sides of different colours. The red side is opposite to black. The blue side is adjacent to white. The brown side is adjacent to blue. The red side is face down. Which one of the following would be the opposite to brown?</p>,(a)  Red,(b)  Black,(c)  White,(d)  Blue,gs_unclassified,c,Medium,Applied(A),"<ul><li>Red is opposite of black. So, Red and Black cannot be opposite to Brown. Brown is adjacent to Blue. So, Blue cannot be opposite to Brown. Hence, among the options given, option (c) i.e. White can only be opposite to Brown.</li></ul>"
7, <p>Consider the following statements: </p><p>The satellite Oceansat – 2 launched by India helps in</p><p>1. estimating water vapour content in the atmosphere.</p><p>2. predicting the onset of monsoons. </p><p>3. monitoring the pollution of coastal waters.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 and 2 only,(b)  2 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Current Affairs,d,Medium,Fundamental(F),"<ul><li>Oceansat-2 is an Indian satellite designed to provide service continuity for operational users of the Ocean Colour Monitor (OCM) instrument on Oceansat-1. It will also enhance the potential of applications in other areas. The mission objectives of Oceansat-2 are to gather systematic data for oceanographic, coastal and atmospheric applications. The main objectives of Oceansat-2 are to study surface winds and ocean surface strata, observation of chlorophyll concentrations, monitoring of phytoplankton blooms, study of atmospheric aerosols and suspended sediments in the water. The major applications of data from Oceansat-2 are identification of potential fishing zones, sea state forecasting, coastal zone studies and inputs for weather forecasting and climatic studies.</li></ul>"
8, <p>Genetically modified “golden rice” has been engineered to meet human nutritional requirements. Which one of the following statements best qualifies golden rice?</p>,(a)  The grains have been fortified with genes to provide three times higher grain yield per acre than other high yielding varieties,(b)  Its grains contain pro-vitamin A which upon ingestion is converted to vitamin A in the human body,(c)  Its modified genes cause the synthesis of all the nine essential amino acids,(d)  Its modified genes cause the fortification of its grains with vitamin D,Science and Technology,b,Easy,Fundamental(F),"<ul>
<li>Golden rice is a variety of Oryza sativa rice produced through genetic engineering to biosynthesize beta-carotene, a precursor of pro-vitamin A in the edible parts of rice. Golden rice was developed as a fortified food to be used in areas where there is a shortage of dietary vitamin A. Because many children in countries where there is a dietary deficiency in vitamin A rely on rice as a staple food, the genetic modification to make rice produce provitamin A (beta-carotene) is seen as a simple and less expensive alternative to vitamin supplements or an increase in the consumption of green vegetables or animal products. It can be considered as the genetically engineered equivalent of fluoridated water or iodized salt. Initial analyses of the potential nutritional benefits of golden rice suggested consumption of golden rice would not eliminate the problems of blindness and increased mortality, but should be seen as a complement to other methods of vitamin A supplementation. Since then, improved straits of golden rice have been developed containing sufficient provitamin A to provide the entire dietary requirement of this nutrient to people who eat about 75g of golden rice per day.</li>
</ul>"
9, <p>In a tournament 14 teams play league matches. If each team plays against every other team once only then how many matches are played?</p>,(a)  105,(b)  91,(c)  85,(d)  78,gs_unclassified,b,Medium,Applied(A),
10, <p>Consider the following statements: The Supreme Court of India tenders advice to the President of India on matters of law or fact</p><p>1. On its own initiative (on any matter of larger public interest).</p><p>2. If he seeks such an advice.</p><p>3. Only if the matters relate to the Fundamental Rights of the citizens.</p><p>Which of the statements given above is/are correct ?</p><p> </p>,(a)  1 only,(b)  2 only,(c)  3 only,(d)  1 and 2 only,Polity and Governance,b,Medium,Fundamental(F),"<ul><li>Article 143 of the Constitution of India: Power of President to consult Supreme Court 1) If at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court upon it, he may refer the question to that Court for consideration and the Court may, after such hearing as it thinks fit, report to the President its opinion thereon 2) The President may, notwithstanding anything in the proviso to Article 131, refer a dispute of the kind mentioned in the said proviso to the Supreme Court for opinion and the Supreme Court shall, after such hearing as it things fit, report to the President its opinion thereon.</li></ul>"
11, <p>Chlorination is a process used for water-purification. The disinfecting action of chlorine is mainly due to</p>,(a)  The formation of hydrochloric acid when chlorine is added to water,(b)  The formation of hypochlorous acid when chlorine is added to water,(c)  The formation of nascent oxygen when chlorine is added to water,(d)  The formation of hydrogen when chlorine is added to water,Basic Sciences,b,Difficult,tApplied(A),"<ul><li>Action of Chlorine: When chlorine is added to water, there is formation of hydrochloric and hypochlorous acids. The hydrochloric acid is neutralized by the alkalinity of the water. The hypochlorous and ionized to form hydrogen ions and hypochlorite ions as follows: H2O + CI2 - HCI + HOCI HOCI - H+ + OCI- The disinfecting action of chlorine is mainly due to the hypochlorous acid, and to a small extent due to the hypochlorite ions. The hypochlorous acid is the most effective form of chlorine for water disinfection. It is more effective (70-80 times) than the hypochlorite ion. Chlorine acts best as a disinfectant when the pH of water is around 7 because of the predominance of hypochlorous acid. When the pH value exceeds 8.5 it is unreliable as a disinfectant because about 90% of the hypochlorous acid gets ionized to hypochlorite ions.</li></ul>"
12," <p>With reference to Lok Adalats, which of the following statements is correct ?</p>",(a)  Lok Adalats have the jurisdiction to settle the matters at pre-litigative stage and not those matter pending before any court,(b)  Lok Adalats can deal with matters which are civil and not criminal in nature,(c)  Every Lok Adalat consists of either serving or retired judicial officers only and not any other person,(d)  None of the statements given above is correct,Polity and Governance,d,Medium,Fundamental(F),"<ul>
<li>Lok Adalat has the jurisdiction to settle, by way of effecting compromise between the parties, any matter which may be pending before any court, as well as matters at pre-litigative stage i.e. disputes which have not yet been formally instituted in any Court of Law. Such matters may be civil or criminal in nature, but any matter relating to an offence not compoundable under any law cannot be decided by the Lok Adalat even if the parties involved therein agree to settle the same. Lok adalats can take cognizance of matters involving not only those persons who are entitled to avail free legal services but of all other persons also, be they women, men, or children and even institutions. The Lok Adalat is presided over by a sitting or retired judicial officer or other person of respect and legal knowledge as the chairman, with two other members, usually a lawyer and a social worker.</li>
</ul>"
13, <p>Consider the following:</p><p>1. Bluetooth device</p><p>2. Cordless phone </p><p>3. Microwave oven</p><p>4. Wi – Fi device </p><p>Which of the above can operate between 2.4 and 2.5 GHz range of radio frequency band ?</p>,(a)  1 and 2 only,(b)  3 and 4 only,"(c)  1, 2 and 4 only","(d)  1, 2, 3 and 4",Science and Technology,d,Difficult,tApplied(A),"<ul>
<li>Bluetooth uses a ratio technology called frequency-hopping spread spectrum, which chops up the data being sent and transmits chunks of it on up to 79 bands (1 MHz each) in the range 2.402 - 2.480 GHz. Cordless phones operate on 3 different frequencies, 900 MHz, 2.4 GHz, and 5 GHz. Microwaves are electromagnetic waves with wavelengths, ranging from as long as one meter to as short as one millimeter, or equivalently, with frequencies between 300 MHz (0.3 GHz) and 300 GHz.</li>
</ul>"
