Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1," <p>When reference to carbon nanotubes, consider the following statements:</p><p class=""MsoNormal"" data-mce-style=""text-align: justify;"" style=""text-align: justify;""><span data-mce-style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"" style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"">1. They can be used as carriers of drugs and antigens in the human body. </span></p><p class=""MsoNormal"" data-mce-style=""text-align: justify;"" style=""text-align: justify;""><span data-mce-style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"" style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"">2. They can be made into artificial blood capillaries for an injured part of human body.</span></p><p class=""MsoNormal"" data-mce-style=""text-align: justify;"" style=""text-align: justify;""><span data-mce-style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"" style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"">3. They can be used in biochemical sensors. </span></p><p class=""MsoNormal"" data-mce-style=""text-align: justify;"" style=""text-align: justify;""><span data-mce-style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"" style=""font-size: 10.0pt; line-height: 115%; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri;"">4. Carbon nanotubes are biodegradable. Which of the statements given above are correct?   </span></p>",(a) 1 and 2 only,"(b) 2, 3 and 4 only","(c) 1, 3 and 4 only","(d) 1, 2, 3 and 4",Science And Technology,c,Difficult,tCurrent Affairs(CA),"<ul><li>Carbon nanotubes (CNTs) are cylindrical large molecules consisting of a hexagonal arrangementof hybridized carbon atoms, which may by formed by rolling up a single sheet of <strong>graphene (single-walled carbon nanotubes, SWCNTs)</strong> or by rolling up multiple sheets of graphene <strong>(multiwalled carbon nanotubes, MWCNTs)</strong>. Hence structurally, carbon nanotubes (CNTs) can be viewed as wrapped from graphene sheets.</li><li>Carbon nanotubes were once considered to be resistant to chemical damage due to their rigid and perfect chemical structure, which rendered them immune to biodegradation. However, enzymes like peroxidase were found to play an important role in the process of biodegradation of carbon nanotubes. <strong>Hence option 4 is correct.</strong></li><li><strong>NASA has demonstrated the use of carbon nanotube arrays as biosensors. Hence option 3 is correct.</strong></li><li>Carbon nanotubes (CNTs) are characterized by unique chemical and biological properties. CNTs have a large surface area that allows them to attach a wide range of biological substances. In addition, <strong>CNTs are able to penetrate through cell membranes, capillaries, and accumulated in cells and tissues.</strong></li><li>It is expected that <strong>enabling technology would facilitate the making of nanodevices using these blood-compatible nanomaterials as building blocks for biomedical applications such as artificial implants, including structural tissue replacements, that is, artificial blood vessels, or functional devices such as drug delivery matrixes. Hence statements 1 and 2 are correct.</strong></li></ul>"
2," <p>Consider the following activities:</p><p>1. Spraying pesticides on a crop field</p><p>2. Inspecting the craters of active volcanoes</p><p>3. Collecting breath samples from spouting whales for DNA analysis.</p><p>At the present level of technology, which of the above activities can be successfully carried out by using drones?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Science And Technology,d,Difficult,tCurrent Affairs(CA),"<ul><li>Drone technology has been used by defense organizations for quite some time. However, the benefits of this technology extends well beyond just these sectors e.g. emergency response, humanitarian relief, healthcare, disease control, weather forecasting etc. Recently, Australian scientists used drones (that flew 200 metres above the blowholes of whales) to collect the mucus of whales from their water sprays to examine their health.The whale spray collected by a drone contains DNA, proteins, lipids and types of bacteria. <strong>Hence option 3 is correct. </strong></li><li>Drones have also been used to study the craters of active volcanoes to know about their recent activities, a place which human beings cannot directly access. <strong>Hence option 2 is correct.</strong></li><li>Recently, the use of drones to spray pesticides (in Telengana) was in the news. It is considered illegal in India. But in the US it is legally practised in many states. <strong>Hence option 1 is correct.</strong></li><li><strong>Hence option (d) is the correct answer. </strong></li></ul>"
3," <p>The experiment will employ a trio of spacecraft flying in formation in the shape of an equilateral triangle that has sides one million kilometers long, with lasers shining between the craft."" The experiment in question refers to</p>",(a) Voyager-2,(b) New Horizons,(c) LISA Pathfinder,(d) Evolved LISA,Science And Technology,d,Medium,Current Affairs(CA),"<ul><li>The experimental research on black holes using gravitational waves expanded following the second detection of gravitational waves by the LIGO detector. After the success of the LISA Pathfinder experiment, <strong>the evolved Laser Interferometer Space Antenna (eLISA)</strong> project is a plan of setting into space three spacecraft, a mother and two daughter spacecraft, which will fly in a triangular formation, trailing the earth in its orbit around the sun at a distance of over 50 million km. Each arm of the imaginary triangle, from the mother to each daughter spacecraft, will measure about a million km. Inside these spacecraft will float “freely falling” test masses – cubes with sides measuring abut 46 mm. Laser interferometers will accurately measure changes in the distance between these cubes. If they should be affected by a gravitational wave, the minute changes in this distance are measure by the interferometer. <strong>Hence option (d) is the correct answer.</strong></li></ul>"
4, <p>Consider the following statements:</p><p>1. Genetic changes can be introduced in the cells that produce eggs or sperms of a prospective parent.</p><p>2. A person's genome can be edited before birth at the early embryonic stage.</p><p>3. Human induced pluripotent stem cells can be injected into the embryo of a pig.</p><p>Which of the statements given above is/are correct? </p>,(a) 1 only,(b) 2 and 3 only,(c) 2 only,"(d) 1, 2 and 3",Science And Technology,d,Medium,Current Affairs(CA),"<ul><li>Germline gene therapy targets the reproductive cells, meaning any changes made to the DNA will be passed on to the next generation. Consequently, the practice has dramatically divided opinion. Germline gene therapy is when DNA is transferred into the cells that produce reproductive cells, eggs or sperm, in the body. <strong>Hence statement 1 is correct.</strong></li><li>Although germline gene therapy is illegal, embryonic genetic editing is different from that and is possible to make genome changes to eliminate the vertical trasfer (through inheritance) of certain diseases and medical conditions. <strong>Hence statement 2 is correct.</strong></li><li>Human-animal chimeras are animals bearing human cells and organs. They offer insights into early human development and disease onset and provide a realistic drug-testing platform. Researchers have experimented by injecting several different forms of human stem cells into pig embryos to see which cell-type would survive best. The cells that survived longest and showed the most potential to continue to develop were intermediate human pluripotent stem cells. <strong>Hence statement 3 is correct.</strong></li></ul>"
5, <p>What is the importance of using Pneumococcal Conjugate Vaccines in India?</p><p>1. These vaccines are effective against pneumonia as well as meningitis and sepsis.</p><p>2. Dependence on antibiotics that are not effective against drug resistant bacteria can be reduced.</p><p>3. These vaccines have no side effects and cause no allergic reactions.</p><p>Select the correct answer using the code given below: </p>,(a) 1 only,(b) 1 and 2 only,(c) 3 only,"(d) 1, 2 and 3",Science And Technology,b,Difficult,tCurrent Affairs(CA),"<ul><li>A conjugate vaccine is a type of vaccine which combines a weak antigen with a strong antigen as a carrier so that the immune system has a stronger response to the weak antigen.</li><li>A Pneumococcal Conjugate Vaccine (PCV) is a pneumococcal vaccine which gives prevention against pneumococcal diseases, that are infections caused by bacteria called Streptococcus pneumoniae, or pneumococcus. Pneumococcal infections can range from ear and sinus infections to pneumonia and bloodstream infections. A pneumococcal vaccine is also commonly called pneumonia vaccine and can prevent septicaemia (a kind of blood poisoning, also called sepsis) and meningitis. <strong>Hence statement 1 is correct. </strong></li><li>While vaccines are not intended to replace antibiotics, they can contribute to reduce AMR (Antimicrobial Resistance or drug resistance) by preventing (resistant) bacterial diseases and their transmission, and by reducing antibiotic use and misuse. PCVs for pneumococcos can potentially reduce the dependence on antibiotics by nearly 50 fifty percent per year. <strong>Hence statement 2 is correct.</strong></li><li>Pneumococcal Conjugate Vaccines can have side effects ranging from fever, loss of appetite to headache, fussiness. <strong>Hence statement 3 is not correct.</strong></li></ul>"
6," <p>In India, the term ""Public Key Infrastructure is used in the context of </p>",(a) Digital security infrastructure,(b) Food security infrastructure,(c) Health care and education infrastructure,(d) Telecommunication and transportation infrastructure,Science And Technology,a,Easy,Current Affairs(CA),<ul><li>Public Key Infrastructure (PKI) is a technology for authenticating users and devices in the digital world. The basic idea is to have one or more trusted parties digitally sign documents certifying that a particular cryptographic key belongs to a particular user or device. <strong>Hence option (a) is the correct answer.</strong></li></ul>
7, <p>Which of the following statements are correct regarding the general difference between plant and animal cells?</p><p>1. Plant cells have cellulose cell walls whilst animal cells do not.</p><p>2. Plant cells do not have plasma membrane unlike animal cells that do.</p><p>3. Mature plant cell has one large vacuole whilst animal cell has many small vacuoles.</p><p>Select the correct answer using the code given below:</p>,(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",Basic Science (Biology),c,Medium,Fundamental(F),"<ul><li>The most important difference between a plant cell and an animal cell is that the former has a cell wall. A cell wall gives mechanical support to a plant cell. Animal cells do not have cell walls. Plants have both a cell wall that is made up of cell membrane (plasma membrane) and cellulose. The cell wall is, a rigid membrane matrix found on the surface of all plant cells whose primary role is to protect the cell and its content. <strong>Hence statement 1 is correct and statement 2 is not correct.</strong></li><li>Plant cells have a large central vacuole that can occupy up to 90% of the cell’s volume. Animal cells may have many small vacuoles, a lot smaller than the plant cell. <strong>Hence statement 3 is correct.</strong></li></ul>"
8, <p>Which of the following are the reasons/factors for exposure to benzene pollution?</p><p>1. Automobile exhaust</p><p>2. Tobacco smoke</p><p>3. Wood burning</p><p>4. Using varnished wooden furniture</p><p>5. Using products made of polyurethane</p><p>Select the correct answer using the code given below:</p>,"(a) 1, 2 and 3 only",(b) 2 and 4 only,"(c) 1, 3 and 4 only","(d) 1, 2, 3, 4 and 5",Environment,a,Medium,Fundamental(F),"<ul><li><strong>Sources of exposure to benzene</strong></li><li>Human exposure to benzene has been associated with a range of acute and long-term adverse health effects and diseases, including cancer and aplastic anaemia. <strong>Active and passive exposure to tobacco smoke is also a significant source of exposure.</strong> Benzene is highly volatile, and most exposure is through inhalation. <strong>Natural sources of benzene include volcanoes and forest fires.</strong> Benzene is also a natural part of crude oil, gasoline, and cigarette smoke.</li><li><strong>Industrial processes</strong></li><li>As benzene occurs naturally in crude petroleum at levels up to 4 g/l, human activities using petroleum lead to exposure. <strong>These activities include processing of petroleum products, coking of coal, production of toluene, xylene and other aromatic compounds, and use in industrial and consumer products, as a chemical intermediate and as a component of petrol (gasoline) and heating oils.</strong> The presence of benzene in petrol and as a widely used industrial solvent can result in significant occupational exposure and widespread emissions to the environment. <strong>Automobile exhaust accounts for the largest source of benzene in the general environment.</strong></li><li>Wood finishes can contain and emit various chemicals. For example, paints and some wood treatments can contain formaldehyde, acetone, toluene or butanol. Wood dyes can contain: nonane, decane, undecane, dimethyloctane, dimethylnonane, trimethylnonane, trimethylbenzene.</li><li>During fires, polyurethane foams burn rapidly and produce dense smoke, toxic gases and intense heat. Carbon monoxide is most common, but smoke also contains <strong>benzene,</strong> toluene, nitrogen oxides and hydrogen cyanide. </li></ul>"
9," <p>If another global financial crisis happens in the near future, which of the following action/policies are most likely to give some immunity to India?</p><p>1. Not depending on short-term foreign borrowings</p><p>2. Opening up to more foreign banks</p><p>3. Maintaining full capital account convertibility</p><p>Select the correct answer using the code given below:</p>",(a) 1 only,(b) 1 and 2 only,(c) 3 only,"(d) 1, 2 and 3",Economics (Macroeconomics),a,Medium,Fundamental(F),"<ul><li>If a global financial crisis happens in the future, lesser exposure to the foreign financial markets is likely to give some immunity to India.</li><li><strong>Option 1 is correct:</strong> Short-term borrowings would lead to the burden of paying back the debt, and could result in stressful conditions for the borrowing economy/ India.</li><li><strong>Option 2 is not correct:</strong> Opening up to more foreign banks would lead to an enhanced exposure to the global economy, and hence an increased risk.</li><li><strong>Option 3 is not correct:</strong> Currency convertibility refers to a situation in which a currency can be converted into a foreign currency, and vice-versa at the prevailing exchange rate without any government intervention. In India, we cannot completely convert rupees to dollars- There are restrictions to the same.</li><li>Now, capital account convertibility is the freedom to convert domestic currency into a foreign currency, and vice-versa wrt capital account transactions of the Balance of Payments accounts. It could also be the freedom to convert domestic financial assets (like rupees) / liabilities into foreign assets / liabilities and vice-versa. <strong>It is more risky, as the foreign investors can withdraw all their money at once which called capital flight.</strong></li><li><strong>Risks associated with full capital account convertability:</strong></li><li><strong>It increases the vulnerability</strong> of the domestic economy to external economic shocks. Hence the economy becomes unstable- For example, during the American recession- countries that were more connected were affected more. </li><li><strong>Flight of capital-</strong> i.e. the withdrawal of huge foreign exchange within a short period of time. If full convertibility is not there, the RBI can check the complete withdrawal of funds. (This flight of capital happened in the South East Asian crisis of 1997. For these Asian tigers- the fastest growing economies of the world- the current account was in a deficit, but there was significant inflow in their capital accounts. However, as interest rates in America increased, people withdrew their money and foreign exchange began to deplete. The people began to fear that they would not be able to take their money out. Out of this fear, everybody started to withdraw their investments- FDI was also withdrawn and the recession set in- they collapsed in one go!)</li><li><strong>It increases volatility in the domestic financial markets </strong></li><li><strong>The capital Account is potentially more volatile </strong>than the current account- People cannot start consuming double/ triple/ four times the previous amount. But investment in shares accumulates, and the entire money can be immediately withdrawn.</li></ul>"
10," <p>If you withdraw Rs. 1,00,000 in cash from your Demand Deposit Account at your bank, the immediate effect on aggregate money supply in the economy will be </p>","(a) to reduce it by Rs. 1,00,000","(b) to increase it by Rs. 1,00,000","(c) to increase it by more than Rs. 1,00,000",(d) to leave it unchanged,Economics (Macroeconomics),d,Easy,Fundamental(F),"<p>There are 4 concepts of money supply: M1, M2, M3 and M4</p><p><strong>1) M1 = C + DD + OD</strong></p><p>C- Is the currency held by the public. (Public money means that money which is held by everybody other than the government and the banks. It includes companies, general organisations, households. It does not include inter-bank or government deposits in banks)</p><p>DD- Means net demand deposits with banks. ‘Net’ here indicates the deposits of only the public in banks. OD- Means other deposits.These are the deposits with the RBI, held by certain individuals and institutions • Individuals - like the former governors of the RBI • institutions- like IMF deposits</p><p><strong>2) M3 = M1 + TD = C + DD + OD + TD (Broad money)</strong></p><p>'TD' means time deposits</p><p>M3 shows the total purchasing power in the economy. Therefore, when we say money supply in general, it means M3. So, normally, in newspapers etc. when the word money supply is used, it means M3 (Sometimes, M1 is also used- meaning 100% liquid money- but overall PP is shown by M3)</p><p>Now, in the given case, <strong>while the 'DD' component will fall by Rs. 1,00,000, the 'C' component will increase by Rs. 1,00,000, thereby, leaving the money supply unchanged. Hence option (d) is the correct answer.</strong></p>"
