Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>Which Article of the Constitution provides that it shall be the endeavour of every state to provide adequate facility for instruction in the mother tongue at the primary state of education?</p>,(a)  Article 349,(b)  Article 350,(c)  Article 350 A,(d)  Article 351,Polity and Governance,c,Medium,Fundamental(F),<ul><li>Article 350 A facilitates for instruction in mother-tongue at primary stage.</li></ul>
2, <p>Which one of the following statements correctly describes the Fourth Schedule of the Constitution of India?</p>,(a)  It lists the distribution of powers between the Union and the states.,(b)  It contains the languages listed in the Constitution,(c)  It contains the provisions regarding the administration of tribal areas,(d)  It allocates seats in the Council of States,Polity and Governance,d,Medium,Fundamental(F),<ul><li>Fourth Schedule of the Constitution is about Allocation of Seats in the Council of States.</li></ul>
3," <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><table border=""1"" cellpadding=""0"" cellspacing=""0""><tbody><tr><td valign=""top"" width=""127""><p align=""center""><strong>List I (Amendment to the Constitution)</strong></p></td><td valign=""top"" width=""168""><p align=""center""><strong>List II (Contents)</strong></p></td></tr><tr><td valign=""top"" width=""127""><p>A. The Constitution (sixty-ninth Amendment Act, 1991)</p></td><td valign=""top"" width=""168""><p>1. Establishment of state level Rent Amendment) Act, 1991</p></td></tr><tr><td valign=""top"" width=""127""><p>B. The Constitution (Seventy- Fifth Amendment Act, 1994)</p></td><td valign=""top"" width=""168""><p>2. No reservations for Scheduled Castes in Panchayats in Arunachal Pradesh</p></td></tr><tr><td valign=""top"" width=""127""><p>C. The Constitution (Eightieth Amendment) Act, 2000</p></td><td valign=""top"" width=""168""><p>3. Constitution of Panchayats in Villages or at other local levels</p></td></tr><tr><td valign=""top"" width=""127""><p>D. To Constitution (Eighty-third) Act, 2000</p></td><td valign=""top"" width=""168""><p>4. Accepting the recommendations of the Tenth Finance Commission</p></td></tr><tr><td valign=""top"" width=""127""><p> </p></td><td valign=""top"" width=""168""><p>5. According the status of National Capital Territory to Delhi</p></td></tr></tbody></table><p>    </p>","(a) A-5, B-1, C-4, D-2","(b) A-1, B-5, C-3, D-4","(c) A-5, B-1, C-3, D-4","(d) A-1, B-5, C-4, D-2",Polity and Governance,a,Difficult,tFundamental(F),<ul><li>(a) 69th Amendment Act (1991) – To give the Status of N.C.T. (National Capital Territory) to Delhi. (b) 75th Amendment Act (1994) – For setting up of State-level Rent Tribunals. (c) 80th Amendment Act (2000) – Based on the recommendations of Tenth Finance Commission. (d) 83rd Amendment Act (2000) – No reservation for SCs in Arunachal Pradesh in Panchayats.</li></ul>
4," <p>If a new state of the Indian Union is to be created, which one of the following schedules of the Constitution must be amended?</p>",(a)  First,(b)  Second,(c)  Third,(d)  Fifth,Polity and Governance,a,Easy,Fundamental(F),"<ul><li>The States and Union territories of India are specified in the First Schedule. So to form a new state and alteration of areas, boundaries or names of existing states requires the amendment of First Scheduled of the Constitution.</li></ul>"
5, <p>In what way does the Indian Parliament exercise control over the administration?</p><p> </p>,(a)  Through Parliamentary Committees.,(b)  Through Consultative Committees of various ministries.,(c)  By making the administration send periodic reports.,(d)  By compelling the executive to issue writs.,Polity and Governance,a,Easy,Applied(A),"<ul><li>Parliament supervises the activities of the Executive with the help of its Committees like Committee on Government assurance, Committee on Subordinate legislation, Committee on Petition etc.</li></ul>"
6, <p>Which one of the following duties is <strong>NOT</strong> performed by the Comptroller and Auditor General of India?</p>,(a)  To audit and report on all expenditure from the Consolidated Fund of India,(b)  To audit and report on all expenditure from the Contingency Funds and Public Accounts,"(c)  To audit and report on all trading, manufacturing, profit and loss accounts","(d)  To control the receipt and issue of public money, and to ensure that the public revenue is lodged in the exchequer",Polity and Governance,c,Difficult,tApplied(A),"<ul><li>To audit and repot on all trading, manufacturing profit and loss accounts.</li></ul>"
7, <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><p>List I (Article of the Constitution)                II (Content) Constitution)</p><p>          A. Article 54                             1. Election of the President of India</p><p>          B. Article 75                             2. Appointment of the Prime Minister and Council of Ministers</p><p>          C. Article 155                           3. Appointment of the Governor of a state</p><p>          D. Article 164                          4. Appointment of the Chief Minister and Council of Ministers of a State.</p><p>                                                          5. Composition of Legislative Assemblies</p><p>             </p>,"(a) A-1, B-2, C-3, D-4","(b) A-1, B-2, C-4, D-5","(c) A-2, B-1, C-3, D-5","(d) A-2, B-1, C-4, D-3",Polity and Governance,a,Medium,Fundamental(F),<ul><li>Article 54 – Election of the President. Article 75 – The Prime Minister shall be appointment by the President and the other ministers shall be appointed by the President on the advice of the Prime Minister. Article 155 – Appointment of a Governor. Article 164 – Appointment of Chief Minister and Council of Ministers of a State.</li></ul>
8," <p>Consider the following statements regarding the political parties in India:</p><p>1. The Representation of the People Act, 1951 provides for the registration of political parties.</p><p>2. Registration of political parties is carried out by the Election Commission.</p><p>3. A national level political party is one which is recognized in four or more states.</p><p>4. During the 1999 general elections, there were six national and 48 state level parties recognized by the Election Commission.</p><p> Which of these statements are correct ?</p>","(a)  1, 2 and 4 only",(b)  1 and 3 only,(c)  2 and 4 only,"(d)  1, 2, 3 and 4",Polity and Governance,d,Difficult,tFundamental(F),"<ul><li>A national level political party should secure 6% of valid votes polled in any four or more states at a general election to the Loksabha or the Legislative assembly. (ii) in addition, it wins 4 seats in the Lok Sabha from any state. In 1999, there were 6 national parties and 48 states parties and 656 registered-unrecognized parties in India.</li></ul>"
9, <p>Consider the following statements regarding the High Courts in India:</p><p>1. There are eighteen High Courts in the country.</p><p>2. Three of them have jurisdiction over more than one state.</p><p>3. No Union Territory has a High Court of its own.</p><p>4. Judges of the High Court hold office till the age of 62.</p><p>Which of these statements is/are correct ?</p><p> </p>,"(a)  1, 2 and 4 only",(b)  2 and 4 only,(c)  1 and 4 only,(d)  4 only,Polity and Governance,b,Medium,Fundamental(F),"<ul>
<li>There are 21 High Courts in the country, three having jurisdiction over more than one state. Among the Union Territories, Delhi alone has a High Court. Judges in the High Courts hold office up to 62 years of age.</li>
</ul>"
10, <p>The Supreme Court of India tenders advice to the President on a matter of law of fact</p>,(a)  On its own initiative,(b)  Only if he seeks such advice,(c)  Only if the matter relates to the Fundamental Rights of citizens,(d)  Only if the issue poses a threat to the unity and integrity of the country,Polity and Governance,b,Easy,Applied(A),"<p>Article 143 of the Constitution says that, if at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court up on it, he may refer the question to that court for consideration, and the court may, after such hearing as it thinks fit, report to the President its opinion thereon.</p>"
11," <p>Assertion (A): During the Neap Tides, the high tide is lower and the low tide is higher than usual.</p><p>Reason (R): The Neap Tide, unlike the Spring Tide, occurs on the New Moon instead of on the Full Moon.</p>",(a) Both A and R are individually true and R is the correct explanation of A,(b) Both A and R are individually true but R is not the correct explanation of A,(c) A is true but R is false,(d) A is false but R is true,Geography,b,Medium,Applied(A),<p>The reason for lower high tide and higher low tide is – as it occurs on the new moon. So the gravitational pull of the new moon is less than the full moon.</p>
12," <p>
	Assertion (A): Anticyclonic conditions are formed in winter season when atmospheric pressure is high and air temperatures are low.</p>
<p>
	Reason (R): Winter rainfall in Northern India causes development of anticyclonic conditions with low temperature.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Geography,b,Medium,Applied(A),<p>Both A and R are correct but R is not the explanation of A.</p>
13, <p>The approximate age of the Aravallis range is</p>,(a)  370 million years,(b)  470 million years,(c)  570 million years,(d)  670 million years,Geography,d,Medium,Fundamental(F),"<p>The Aravalli system is said to date back to 3,500 million years. Some later sediments seem to have been incorporated around 1,000 million years ago. So, in the given answers, maximum age is 670 million years.</p>"
14, <p>Consider the decadal Census data given below: Decadal population (in millions) Year Population 1961 10.7 1971 14.3 1981 16.2 1991 18.9 The above data refer to which one of the ‘Population by Religion’ Groups:</p>,(a)  Sikhs,(b)  Jains,(c)  Christians,(d)  Buddhists,Geography,c,Medium,Applied(A),"<p>The data mentioned here refers to the Christian population. The population of Christian was 10.7 million in 1961 (2.4%), 19.6 million in 1991 (2.34%).</p>"
15," <p>Consider the following statements about the minorities in India:</p><p>1. The Government of India has notified five communities, namely, Muslims, Sikhs, Christians, Buddhists and Zoroastrians as Minorities.</p><p>2. The National Commission for Minorities was given statutory status in 1993.</p><p>3. The smallest religious minority in India are the Zoroastrians.</p><p>4. The Constitution of India recognizes and protects religious and linguistic minorities.</p><p>  Select the correct answer using the code given below.</p>",(a)  2 and 3 only,(b)  1 and 4 only,"(c)  2, 3 and 4 only","(d)  1, 2 and 4",Polity and Governance,c,Medium,Fundamental(F),"<p>All the statements are correct. Five religious communities, i.e., Muslims, Christians, Sikhs, Buddhists and Zoroastrians have been notified as minorities as per the provisions under the “National Commission for Minorities”, which was set up as a Statutory body in 1993. The smallest religious minority in India re the Zoroastrians concentrated in Maharashtra.</p>"
16, <p>The largest number of Buddhists is found in</p>,(a)  Bihar,(b)  Karnataka,(c)  Maharashtra,(d)  Uttar Pradesh,Geography,c,Difficult,tFundamental(F),<p>The largest number of Buddhists is found in Maharashtra. These are Neo-Buddhists who embraced this religion after large scale conversion under the influence of the movement launched by Baba Saheb Ambedkar.</p>
17, <p>The high density of population in Nile Valley and Island of Java is primarily due to</p>,(a)  Intensive agriculture,(b)  Industrialization,(c)  Urbanization,(d)  Topographic constraints,Geography,a,Medium,Applied(A),"<p>Fertile alluvial soil beds in these region lead to intensive agriculture, due to which the high density of population is seen in those areas.</p>"
18," <p>Cloudly nights are warmer compared to clear cloudless nights, because clouds</p>",(a)  Prevent cold waves from the sky from descending on earth,(b)  Reflect back the heart given off by earth,(c)  Produce heat and radiate it towards earth,(d)  Absorb heat from the atmosphere and send it towards earth,Geography,b,Medium,Applied(A),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;""></div>"
19," <p>Consider the following statements made about the sedimentary rocks:</p><p></p><ol><li>Sedimentary rocks are formed at earth""s surface by the hydrological system.</li><li>The formation of sedimentary rocks involves the weathering of pre-existing rocks.</li><li>Sedimentary rocks contain fossils.</li><li>Sedimentary rocks typically occur in layers.</li></ol><p></p><p>Select the correct answer using the code given below.</p>",(a)  1 and 2 only,(b)  1 and 4 only,"(c)  2, 3 and 4 only","(d)  1, 2, 3 and 4",Geography,d,Medium,Applied(A),<ul><li>All the statements are correct. The weathered material at the pre-existing rocks is transformed by the hydrolyzed systems and is deposited elsewhere in layers. They contain fossils.</li></ul>
20, <p>Quartzite is metamorphosed from?</p>,(a)  Limestone,(b)  Obsidian,(c)  Sandstone,(d)  Shale,Geography,c,Difficult,tFundamental(F),<p>Quartzite is metamorphosed from Sandstone while Shale is from State.</p>
