q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"Consider the following statements:
Statement-1: In India, prisons are managed by State Governments with their own rules and regulations for the day-to-day administration of prisons
Statement-II: In India, prisons are governed by the Prisons Act, 1894 which expressly kept the subject of prisons in the control of Provincial Governments.
Which one of the following is correct in respect of the above statements?",Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-1,Both Statement-1 and Statement-II are correct and Statement-II is not the correct explanation for Statement-1,Statement-1 Is correct but Statement-11 is incorrect,Statement-1 Is incorrect but Statement-II is correct,UPSC CSE Pre,2023.0,a,"Exp) Option a is the correct answer

The Prisons Act 1894 is one of the oldest pieces of legislation
in India dealing with laws enacted in relation to prisons in
India.

Statement 1 is correct: Prison is a State subject under List-
II of the Seventh Schedule in the Constitution.. States have
the primary role, responsibility and power to change the
current prison laws, rules and regulations.

Hence it is true that prisons are managed by the state
governments with their own rules and regulations.
Statement 2 is correct: The management and administration
of Prisons falls exclusively in the domain of the State
Governments and is governed by the Prisons Act, 1894
and the Prison Manuals of the respective State Governments.
Hence it is true that the Prisons Act 1894 kept the subject
of prisons in the Provincial government (State governments)
and this explains why State governments have the power
to frame their own rules and regulations regarding prison
management."
2,"With reference to the writs issued by the Courts in India, consider the following statements:
1. Mandamus will not lie against a private organisation unless it is entrusted with a public duty.
2. Mandamus will not lie against a Company even though it may be a Government Conipany.
3. Any public minded person can be a petitioner to move the Court to obtain the writ of Quo Warranto.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre,2022.0,d,"Exp) Option d is the correct answer

Statement 1 is correct: Mandamus is a command issued
by the court to a public official asking him to perform his
official duties that he has failed or refused to perform. It can
also be issued against any public body, a corporation, an
inferior court, a tribunal, or a government for the same
purpose. It is usually not usable against a private entity.
Statement 2 is correct: Mandamus cannot be used against
a government company which is incorporated under
the Companies Act as there is neither a statutory nor a
public duty imposed on it by a statute in respect of which
enforcement could be sought by means of a mandamus.
Statement 3 is correct: Quo Warranto is issued by the
court to enquire into the legality of the claim of a person
to a public office. Hence, it prevents illegal usurpation of
public office by a person. Unlike the other writs, this can be
sought by any interested person and not necessarily by the
aggrieved person"
3,"Consider the following statements:
1. Pursuant to the report of H.N. Sanyal Conminittee, the Contempt of Courts Act,1971 was passed.
2. The Constitution of India empowers the Supreme Court and the High Courts to punish for contempt of themselves.
3. The Constitution of India defines Civil Contempt and Criminal Contempt.
4, In India, the Parliament is vested with the powers to make laws on Contempt of Court.
Which of the statements given above is/are correct?",1 and 2 only,"1,2 and 4",3 and 4 only,3 only,UPSC CSE Pre,2022.0,b,"Exp) Option b is the correct answer

Statement 1 is correct: A committee was set up in 1961
under the chairmanship of the late H N Sanyal, the
then additional solicitor general. The committee made
a comprehensive examination of the law and problems
relating to contempt of court in the light of the position
obtained in our own country and various foreign countries.

Pursuant to the recommendations made by the H N Sanyal
Committee, the Contempt of Courts Act, 1971 was passed.
Statement 2 is correct: The Supreme Court and the High
Courts of India have been empowered with the power to
penalize for Contempt of Court under Articles 129 and 215
of the Constitution of India.

Statement 3 is incorrect: The Constitution of India does
not define Civil Contempt and/or Criminal Contempt.
Statement 4 is correct: Article 142 (2) of the Indian
Constitution clearly states that “subject to the provisions of
any law made on this behalf by Parliament” the Supreme
Court shall have all and every power to make any order on the
punishment of any contempt of itself. Thus, the parliament
is vested with powers to make laws on Contempt of Court."
4,"With reference to India, consider the following statements:
1. Government law officers and legal firms are recognised as advocates, but corporate lawyers and patent attorneys are excluded from recognition as advocates.
2. Bar Councils have the power to lay down the rules relating to legal education and recognition of law colleges.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre,2022.0,b,"Exp) Option b is the correct answer

Statement 1 is incorrect: Corporate Lawyers, as well as
patent attorneys, are too recognized as lawyers and there’s
no prohibition on their recognition as lawyers.

Statement 2 is correct: The Bar Council of India visits and
inspects Universities/Law colleges in the country as part
of its statutory function of promoting legal education and
laying down standards in consultation with the Universities
in India and the State Bar Councils. The Bar Council of
India is a statutory body established under section 4 of
the Advocates Act 1961 that regulates the legal practice and
legal education in India."
5,"With reference to India, consider the following statements:
1. Judicial custody means an accused is in the custody of the concerned magistrate and such accused is locked up in police station, not in jail.
2. During judicial custody, the police officer in charge of the case is not allowed to interrogate the suspect without the approval of the court. 
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2021.0,b,"Exp) Option b is the correct answer.

The provisions for custody in India are governed by Section
167 of the Code of Criminal Procedure. A person may be
held in the custody of the police or in judicial custody. The
first thing that happens to a suspect on arrest is that he is
taken into police custody, following which he is taken before
a magistrate. From there, he may either be remanded to
judicial custody or be sent back into police custody.
Statement 1 is incorrect. Police Custody means that police
has the physical custody of the accused while Judicial
Custody means an accused is in the custody of the
concerned Magistrate. In Police custody, the accused is
lodged in police station lockup while in Judicial Custody,
he is locked up in the jail.

Statement 2 is correct. During Judicial Custody, the police
officer in charge of the case is not allowed to interrogate the
suspect. However, the court may allow the interrogations
to be conducted if it opines the interrogation being necessary
under the facts produced before the court.

However, during police custody, the police officer in charge.
of the case, may interrogate the suspect."
6,"With reference to India, consider the following statements:
1. When a prisoner makes out a sufficient case, parole cannot be denied to such prisoner because it  becomes a matter of his/her right.
2. State Governments have their own Prisoner Release on Parole Rules.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2021.0,b,"Exp) Option b is the correct answer.
Statement 1 is incorrect. Parole is a system of releasing a
prisoner with suspension of the sentence. Parole cannot
be claimed as a matter of right. Parole may be denied to a
prisoner even when he makes out sufficient cause for release
on parole.
Statement 2 is correct. State governments have their
own Prisoner Release on Parole Rules. ‘Prisons’ is a State
subject under the State List of the Seventh Schedule of the
Constitution.
The management and administration of prisons fall
exclusively in the domain of state governments and are
governed by the Prisons Act, 1894, and the Prison Manuals
of the respective state governments.
The Prisons Act further says that only states can make rules
regarding the release of prisoners on furlough, parole and
remission, as part of the correctional process in jail reforms.
Important Tips
Parole is to be granted only on a sufficient cause such
as cases of severe illness or death of any member of the
prisoner’s family. The granting authority for parole is the
deputy home secretary of the state government.
On the other hand, Furlough is seen as a matter of right
for a prisoner, to be granted periodically irrespective of
any reason. Jt is granted mercly to enable the prisoner to
retain family and social ties, and to counter the ill-effects
of prolonged time spent in prison.
Both Parole and Furlough can be denied if the competent
authority is of the opinion that releasing the inmate would
not be in the interest of society."
7,"With reference to Indian Judiciary, consider the following statements:
1. Any retired judge of the Supreme Court of India can be called back to sit and act as a Supreme Court judge by the Chief Justice of India with prior permission of the president of India.
2. A High Court in India has the power to review its own judgement as the Supreme Court does.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2021.0,a,"Exp) Option a is the correct answer.
Statement 1 is correct. The Chief Justice of India can
request a retired judge of the Supreme Court or a retired
judge of a high court (duly qualified for appointment as
a Supreme Court judge) to act as a judge of the Supreme
Court for a temporary period. IIe can do so only with the
previous consent of the President and also of the person to
be so appointed. Such a judge is entitled to such allowances
as the president may determine. He will also enjoy all the
jurisdiction, powers and privileges of a judge of Supreme
Court.
Statement 2 is incorrect. The Supreme Court of India has
power to review its own judgement or order. Thus, it is not
bound by its previous decision and can depart from it in the
interest of justice or community welfare. As a court of record,
a High Court also has the power to review and correct its
own judgement or order. However, the power to review of
High Court is not similar to the Supreme Court because
the Supreme Court’s power to review is consitutionally
guaraneted but not in the case of High Court."
8,"Consider the following statements:
1. The motion to impeach a Judge of the Supreme Court of Indian cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968.
2. The Constitution of India defines and gives details of what constitutes ‘incapacity and proved misbehaviour’ of the Judges of the Supreme Court of India.
3. The process of impeachment of the Judges of the Supreme Court of India is given in the Judges (Inquiry) Act, 1968.
4. If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that 
House and by not less than two-thirds of total members of that House present and voting.
Which of the statements given above is/are correct?",1 and 2 only,3 only,3 and 4 only,"1, 3 and 4 only",UPSC CSE Pre.,2020.0,c,"Exp) Option c is the correct answer.
Statement | is incorrect. According to provisions of Judges
(Inquiry) Act, 1968, the motion to impeach a judge of the
Supreme Court of India can be rejected by the Speaker of
the Lok Sabha.
Statement 2 is incorrect. The Constitution of India does
not define or give details of what constitutes ‘incapacity and
proved misbehaviour’ of the Judges of the Supreme Court of
India.
Statement 3 is correct. The Judges Enquiry Act (1968)
regulates the procedure relating to the removal of a judge of
the Supreme Court by the process of impeachment. It states
that a removal motion signed by 100 members (in the case of
Lok Sabha) or 50 members (in the case of Rajya Sabha) is to
be given to the Speaker/ Chairman.
Statement 4 is correct. If the motion for the impeachment
of a Judge is taken up for voting, the law requires the motion
to be backed by each House of the Parliament and supported
by a majority of total membership of that House and by not
less than two-thirds of total members of that House present
and voting. After the motion is passed by each House of
Parliament, an address is presented to the president for
removal of the judge. Finally, the president passes an order
removing the judge."
9,"In India, separation of judiciary from the executive is enjoined by",the Preamble of the Constitution,a Directive Principle of State Policy,the Seventh Schedule,the conventional practice,UPSC CSE Pre.,2020.0,b,"Exp) Option b is the correct answer.
Directive Principles of State Policy (DPSP) is enshrined in
Part-IV (Article 36 to 51) of the constitution.
According to Article 50, the State shall take steps to separate
the judiciary from the executive in the public services of the
State
Important Tips
The Criminal Procedure Code (1973) separated the
judiciary from the executive in the public services of
the state, Prior to this separation, the district authorities
like the collector, the sub-divisional officer, the tehsildar
and so on used to exercise judicial powers along with the
traditional executive powers. After the separation, the
judicial powers were taken away from these executive
authorities and vested in the hands of district judicial
magistrates who work under the direct control of the state
high court."
10,"Consider the following statements: 
1. The Constitution of India defines its ‘Basic Structure’ in terms of federalism,secularism, fundamental rights and democracy.
2. The Constitution of India provides for ‘Judicial review’ to safeguard the citizens’ liberties and to preserve the ideals on which the Constitution is based.
Which of the statements given above is are correct?",lonly,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.
Statement 1 is incorrect. The basic structure doctrine is not
defined by the Constitution. It is rather a judicial invention
that came through Kesavananda Bharati vs State of Kerala
case (1973). Supreme Court said that the Constitution of
India has certain basic features that cannot be altered or
destroyed through the provisions of amendment, by the
Parliament of India, as mentioned in the Constitution of
India.

Statement 2 is incorrect. The term judicial review is not
found explicitly anywhere in the Indian constitution.
However, Article 13 of the Constitution empowers the SC
to review any law in India and strike it down if it violates
the Constitutional provisions, especially Part HII (on
Fundamental Rights), thus providing the power of judicial
review indirectly."
