q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"With reference to Finance Bill and Money
Bill in the Indian Parliament, consider the
following statements:

1. When the Lok Sabha transmits Finance
Bill to the Rajya Sabha, it can amend or
reject the Bill.

2. When the Lok Sabha transmits Money
Bill to the Rajya Sabha, it cannot amend
or reject the Bill, it can only make
recommendations

3. In the case of disagreement between the
Lok Sabha and the Rajya Sabha, there is
no joint sitting for money bill, but joint
sitting becomes necessary for Finance
bill.

How many of the above, statements are

correct? (UPSC CSE Pre Pre 2023]",Only one,"Only two

{c) All three",,,,,a,"Exp) Option a is the correct answer

The Finance Bill is a part of the Union Budget, stipulating
all the legal amendments required for the changes in taxation
proposed by the finance minister. As per Article 110 of the
Constitution of India, the Finance Bill is a Money Bill.
Statement 1 is incorrect: As the Finance Bill is a type of
money bill, It (like the money bills) cannot be cither
rejected or amended by the Rajya Sabha.

Statement 2 is correct: It is true that Money bills cannot be
amended or rejected by the Rajya Sabha. ‘he Rajya Sabha
should return the bill with or without recommendations,
which may be accepted or rejected by the Lok Sabha
Statement 3 is incorrect: As the Finance bill is a type of
money bill there is no provision of joint sitting for money
as well as the Finance bill."
2,"Which of the following is/are the exclusive
power(s) of Lok Sabha?



1. To ratify the declaration of Emergency

2. To passa motion of no-confidence against
the Council of Ministers

3. To impeach the President of India

Select the correct answer using the code given

below:",land2,2 only,Land3,3 only,UPSC CSE Pre.,2022.0,b,"Exp) Option b is the correct answer

Statement 1 is incorrect: The proclamation of Emergency
must be approved by both the Houses of Parliament within
one month from the date of its issue. If approved by both
the Houses of Parliament, the emergency continues for six
months, and can be extended to an indefinite period with an
approval of the Parliament for every six mouths.

Statement 2 is correct: Article 75 (3) provides clearly that
the Council of Ministers shall be collectively responsible to
the House of the People. So, only LokSabha can pass a no-
confidence motion against the Council of Ministers.
Statement 3 is incorrect: As per Article 61, when a President
is to be impeached for violation of the Constitution, the
charges can be initiated by either House of Parliament. The
impeachment resolution needs to be passed by a majority of
two-thirds of the total membership in each house. Thus, it is
not an exclusive power of the Lok Sabha."
3,"With reference to Deputy Speaker of Lok
Sabha, consider the following statements:



1. As per the Rules of Procedure and
Conduct of Business in Lok Sabha, the
election of Deputy Speaker shall be held
on such date as the Speaker may fix.

2. There is a mandatory provision that the
election of a candidate, as Deputy Speaker

of Lok Sabha shall be from either the
principal opposition party or the ruling
party.

3. The Deputy Speaker has the same power
as of the Speaker when presiding over the
sitting of the House and no appeal lies
against his rulings.

4. The well-established parliamentary
practice regarding the appointment of
Deputy Speaker is that the motion is
moved by the Speaker and duly seconded
by the Prime Minister.

Which of the statements given above are

correct?",1 and 3 only,"1,2 and 3",3 and 4 only,2 and 4 only,UPSC CSE Pre.,2022.0,a,"Exp) Option a is the correct answer

Statement 1 is correct: The date of election of the Deputy
Speaker is fixed by the Speaker, While on the other hand
date of election of the Speaker is fixed by the President.
Statement 2 is incorrect: There is no mandatory provision
that the election of a candidate, as Deputy Speaker of Lok
Sabha, shall be from either the principal opposition party or
the ruling party. It is only by convention that the position
of Deputy Speaker is offered to the opposition party in
India.

Statement 3 is correct: In case of the absence of the
Speaker, the Deputy Speaker presides over the sessions of
the Lok Sabha and conducts the business in the house. The

Deputy Speaker has the same power as the Speaker when
presiding over the sitting of the House.
Statement 4 is incorrect: The Deputy Speaker is also
elected by the Lok Sabha from amongst its members right
after the election of the Speaker has taken place. There is
no provision and or established practice of moving the
motion for his election by the speaker and it is seconded by
the prime minister."
4,"With reference to anti-defection law in

India, consider the following statements:

1. The law specifies that a nominated
legislator cannot join any political party
within six months of being appointed to
the House.

2. The law does not provide any time-frame
within which the presiding officer has to
decide a defection case.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre Pre,2022.0,b,"Exp) Option b is the correct answer
. Statement I is incorrect: A nominated member of a House
shall be disqualified for being a member of the House if
he joins any political party after the expiry of six months
from the date on which he takes his seat. Thus he/she is free
to join any political party within six months and would not
be disqualified for the same.
Statement 2 is correct: The law does not specify a
time period for the Presiding Officer to decide on a
disqualification plea under the Tenth Schedule."
5,"Consider the following statements:

1. A bill amending the Constitution requires
a prior recommendation of the Président
of India. ,

2. When a Constitution Amendment Bill is
presented to the President of India, it is
obligatory for the President of India to
give his/her assent.

3. A Constitution Amendment Bill must
be passed by both the Lok Sabha and the
Rajya Sabha by a special majority and
there is no provision for joint sitting.

Which of the statements given above are
correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre,2022.0,b,"Exp) Option b is the correct answer
Statement 1 is incorrect: Constitution Amendment Bill can
be introduced either by a minister or by a private member
and does not require prior permission from the President.
Statement 2 is correct: The 24th Amendment of the Indian
Constitution amended Article 368 to provide expressly
that Parliament has the power to amend any provision of the
Constitution. The amendment further made it obligatory
for the President to give his assent when a Constitution
Amendment Bill was presented to him.
Statement 3 is correct: Article 368 of the Indian constitution
requires that the constitution of India can be amended
by both houses of parliament by a 2/3 majority(special
majority). In case of disagreement between both houses,
there is no provision to summon a joint session of
parliament. The reasoning behind this is so as to not let the
running government’s majority in Lok Sabha undermine the
Rajya Sabha in a joint sitting."
6,"We adopted parliamentary democracy
based on the British model, but how does
our model differ from that model?

1. As regards legislation, the British
Parliament is supreme or sovercign but
in India, the power of the Parliament to
legislate is limited.

2. In India, matters related to the
constitutionality of Amendment of an
Act of the Parliament are referred to
the Constitution Bench by the Supreme
Court.

Select the correct answer using the code given

below. (",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre,2021.0,c,"Exp) Option c is the correct answer.
Statement 1 is correct. Parliamentary sovereignty is a
principle of the UK constitution. It makes Parliament the
supreme legal authority in the UK, which can create or end
any law. Generally, the courts cannot overrule its legislation
and no Parliament can pass laws that future Parliaments
cannot change.
Indian Parliament is not a sovereign body like the British
Parliament. The Indian Parliament may, in exercise of its
constituent power, amend by way of addition, variation or
repeal any provision of the Constitution in accordance with

the procedure laid down for the purpose. However, the
Parliament cannot amend those provisions which form the
‘basic structure’ of the Constitution. This was ruled by the
Supreme Court in the Kesavananda Bharati case (1973).
Statement 2 is correct. In India, matters related to the
constitutionality of an amendment of an act of the
Parliament are referred to the Constitution Bench by the
Supreme Court. A Constitution Bench is a bench of the
Supreme Court having five or more judges on it. These
benches are not a routine phenomenon. A vast majority
of cases before the Supreme Court are heard and decided
by a bench of two judges (called a Division Bench), and
sometimes of three. Constitution Benches are set up when
the case involves a substantial question of law pertaining to
the interpretation of the Constitution (Article 145(3) of the
Constitution, which mandates that such matters be heard by
a bench of not less than five judges).

Presently, Constitution Benches are set up on an ad hoc basis
as and when the need arises. The idea behind a Constitution
Bench is clear: it is constituted in rare cases to decide
important questions of fact or legal and/or constitutional
interpretation."
7,"Rajya Sabha has equal powers with Lok

Sabha in","the matter of creating new All India
Services

(b} amending the Constitution",,the removal of the government,making cut motions,UPSC CSE Pre.,2020.0,b,"Exp) Option b is the correct answer.

Statement b is correct. Rajya Sabha has equal power with
Lok Sabha under article 368 of the Constitution providing
for Power of Parliament to amend the Constitution.

An amendment to the Constitution can be initiated only by
the introduction of a Bill for the purpose in either House
of Parliament, and when the Bill is passed in each House
by a majority of the total membership of that House and
by a majority of not less than two-thirds of the members of
that House present and voting, it is to be presented to the
President who shall give his assent to the Bill and thereupon
the Constitution shall stand amended,

Rajya Sabha cannot remove the government through motions
as the Council of Ministers is collectively responsible to the
House of the People and not to Rajya Sabha.

Under Article 312 of the Constitution, Rajya Sabha can
authorize the parliament to create a new Al! India Service
by resolution supported by not less than two-thirds of the
members present and voting. Lok Sabha has no such powers.
A cut motion is a special power of the Lok Sabha members
to oppose a demand being discussed for allocation by the
government in the Finance Bill as part of the Demand for
Grants."
8,"In India, which of the following review
the independent regulators in sectors like
telecommunications, insurance, electricity,

etc.? 

1. Ad Hoc Committee set up by the
Parliament.

2. Parliamentary Department Related
Standing Committee

3. Finance Commission

4. Financial Sector Legislative Reforms
Commission

5. NITI Aayog

Select the correct answer using the code given

below.",1 and 2 only,"1, 3 and 4 only","3,4 and 5 only",2 and 5 only,"UPSC CSE Pre,",2019.0,a,"Exp) Option a is the correct answer.

Independent regularity authorities are agencies of modern
democratic governments. They are parts of the executive
wing with a certain degree of statutory or constitutional
autonomy, reporting directly to the legislature. Like the
general executive, they are accountable to the legislature and
subject to judicial review.

AdHocCommittee set up by the Parliament and Parliamentary

Department Related Standing Committee review the

independent regulators in sectors like telecommunications,

insurance electricity, etc. :

Finance Commission and NITI Aayog are advisory bodies

and do not review the independent regulators in sectors

like telecommunications. Financial Sector Legislative

Reforms Commission (FSLRC) also had no role in reviewing

independent regulators."
9,"Consider the following statements:


1. In the first Lok Sabha, the single largest
party in the opposition was the Swatantra
Party

2. In the Lok Sabha, a “Leader of the
Opposition” was recognised for the first
time in 1969.

3. In the Lok Sabha, ifa party does not have
a minimum of 75 members, its leader
cannot be recognised as the Leader of the
Opposition.

Which of the statements given above is/are

correct?",1 and 3 only,2 only,2 and 3 only,"1,2 and 3",UPSC CSE Pre.,2018.0,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect. The Communist Party of India

(CPI) was the single largest opposition party in the First

general Election held in 1951-52.

Statement 2 is correct. Historically, the first officially

designated Opposition party in Parliament emerged from

the break-up of the all-dominant Congress party in power.

In 1969, when Indira Gandhi was the Prime Minister,

the Congress split to form the Indian National Congress

(Requisitionists) and the Indian National Congress

(Organisation). The Leader of INC(O), Ram Subhag Singh,

became the first person to be formally recognised as LoP in

the Lok Sabha.

Statement 3 is incorrect. A party must have at least 10 per

cent of the strength of the House in order to qualify to be

designated as a parliamentary party and the leader of the
largest such parliamentary party in the opposition ranks is
designated Leader of Opposition. Thus, a party must have

55 seats in Lok Sabha to designate its leader as the Leader of

Opposition."
10,"Regarding Money Bill, which of the
following statements is not correct?","A bill shall be deemed to be a Money
Bill if it contains only provisions relating
to imposition, abolition, remission,
alteration or regulation of any tax.","A Money Bill has provisions for the
custody of the Consolidated Fund of
India or the Contingency Fund of India.","A Money Bill is concerned with the
appropriation of moneys out of the
Contingency Fund of India.","A Money Bill deals with the regulation
of borrowing of money or giving of any
guarantee by the Government of India.",UPSC CSE Pre.,2018.0,c,"Exp) Option c is the correct answer.

Statement c is incorrect. A Money Bill is concerned with

the appropriation of moneys out of the Consolidated Fund

of India.

Article 110 of the Constitution deals with the definition of

money bills. It states that a bill is deemed to be a money bill

if it contains ‘only’ provisions dealing with all or any of the
following matters:

1. The imposition, abolition, remission, alteration or
regulation of any tax; Option a is correct.

2. The regulation of the borrowing of money by the Union
government; Option d is correct.

3. The custody of the Consolidated Fund of India or the
contingency fund of India, the payment of moneys
into or the withdrawal of money from any such fund;
Option b is correct.

4. The appropriation of money out of the Consolidated
Fund of India;

5. Declaration of any expenditure charged on the
Consolidated Fund of India or increasing the amount of
any such expenditure;

6. The receipt of money on account of the Consolidated
Fund of India or the public account of India or the custody

or issue of such money, or the audit of the accounts of the
Union or of a state; or

7. Any matter incidental to any of the matters specified
above.

However, a bill is not to be deemed to be a money Dill by

reason only that it provides for:

1. the imposition of fines or other pecuniary penalties, or

2. the demand or payment of fees for licenses or fecs for
services rendered; or

3. the imposition, abolition, remission, alteration or
regulation of any tax by any local authority or body for
local purposes

Option c is incorrect. A Money Bill does not contain the

provisions related with the appropriation of moneys out of

the Contingency Fund of India."
