q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"Consider the following organizations/
bodies in India:

1. The National Commission for Backward
Classes

2. The National Human Rights Commission

3. The National Law Commission

4. The National Consumer Disputes
Redressal Commission

How many of the above are constitutional

bodies?",Only one,Only two,Only three,All four,UPSC CSE Pre,2023.0,a,"Exp) Option a is the correct answer

Option 1 is correct: Although the National Commission for
Backward Classes (NCBC) was originally constituted as the
Statutory body by establishing it under the provisions of
the National Commission for Backward Classes Act, 1993.
Recently the NCBC was accorded constitutional status by
the 02nd Constitutional Amendment Act (CAA) which
inserted Article 338B, forming a National Commission for
Backward Classes. Hence NCBC is a constitutional body.
Option 2 is incorrect: The National Human Rights
Commission (NHRC) of India is a statutory body constituted
in 1993 under the Protection of Human Rights Act, 1993.
Hence NHRC is not a constitutional body.

Option 3 is incorrect: The National Law Commission is
neither a constitutional body nor a statutory body, it was
constituted by a notification of the Government of India,
Ministry of Law & Justice, Department of Legal Affairs. Its
purpose is to carry out research in the field of law and the
Commission makes recommendations to the Government
and provides excellent thought provoking and vital review
of the laws in India.

Option 4 is incorrect: The National Consumer Disputes
Redressal Commission of India is a statutory body
established under the Consumer Protection Act, 1986. To
provide inexpensive, speedy redressal of consumer disputes,
the act established quasi-judicial bodies have been set up
in each District and State and at the National level, called
the District Consumer Disputes Redressal Commissions,
the State Consumer Disputcs Redressal Commissions and
the National Consumer Disputes Redressal Commission
respectively."
2,"In India, what is the role of the Coal
Controller’s Organization (CCO)?

1. CCO is the major source of coal Statistics
in Government of India.

2. It monitors progress of development of
Captive Coal/ Lignite blocks.

3. Ithears any objection to the Government's
notification relating to acquisition of
coal-bearing areas.

4. It ensures that coal mining companies
deliver the coal to end users in the
prescribed time.

Select the correct answer using the code given

below:","1,2 and 3",3 and 4 only,1 and 2 only,"1,2 and4",UPSC CSE Pre.,2022.0,a,"Exp) Option a is the correct answer.

The Coal Controller’s Organisation (CCO) is a subordinate
office of the ministry of coal, having its headquarters at
Kolkata and field offices at Dhanbad, Ranchi, Bilaspur,
Nagpur, Sambalpur, Kothagudem and Asansol. It collects
and maintains coal production data of all private and public
sector coal mines in the country. The information is collected
ona monthly basis.

Statement 1 is correct. Under Collection of Statistics Act,
2008 Coal Controller has been made the statistical authority
with respect to coal and lignite statistics. Entrusted the
responsibility of carrying out Annual Coal & Lignite survey
and publishing of Provisional Coal Statistics and Coal
Directory of India.

Statement 2 is correct. It is entrusted with the task of
monitoring captive mines. Work such as permission for

opening and reopening of coal mines... has been entrusted
to CCO.

Statement 3 is correct. Under Coal Bearing Area
(Acquisition and Development) Act, 1957-

Coal Controller is the competent authority under this act to
hear any objection to the Central Government’s Notification
relating to acquisition of coal bearing land and to furnish his
reports to Central Govt.

Statement 4 is incorrect. Ensuring that coal mining
companies deliver the coal to end users in the prescribed
time is not the function of Coal Controller’s Organization
(CCO)."
3,"With reference to the “Tea Board” in India,
consider the following statements:

1. The Tea Board is a statutory body.

2. It is a regulatory body attached to the
Ministry of Agriculture and Farmers
Welfare.

3. The Tea Board’s Head Office is situated in
Bengaluru.

4, The Board has overseas office at Dubai
and Moscow.

Which of the statements given above are

correct?",land 3,2 and 4,3and 4,land 4,UPSC CSE Pre.,2022.0,d,"Exp) Option d is the correct answer.

Statement 1 is correct: The Tea Board of India is a statutory
body created under the Tea Act, 1953 and it was established
for the purposes of regulating the Indian tea industry and
protecting the interests of tea producers in India.
Statement 2 is incorrect: It is functioning as a statutory
body of the Central Government under the Ministry of
Commerce.

Statement 3 is incorrect: Tea Board of India’s Head Office is
situated in Kolkata.

Statement 4 is correct: The Tea Board of India has
overseas offices in Moscow, Dubai, Hamburg, London
and New York. Moscow office. The Moscow office of
the Tea Board of India operates under the Embassy of India,
and its area of activity includes Russia and the CIS countries,
which comprise 50% of Indian tea exports."
4,"With reference to the Constitution of India,
prohibitions or limitations or provisions
contained in ordinary laws cannot act
as prohibitions or limitations on the
constitutional powers under Article 142. It
could mean which one of the following?","The decisions taken by the Election
Commission of India while discharging
its duties cannot be challenged in any
court of law.","The Supreme Court of India is not
constrained in the exercise of its powers
by laws made by the Parliament.","In the event of grave financial crisis in
the country, the President of India can
declare Financial Emergency without the
counsel from the Cabinet.","State Legislatures cannot make laws on
certain matters without the concurrence
of Union Legislature.",UPSC CSE Pre.,2019.0,b,"Exp) Option b is the correct answer.

Article 142 of Constitution of India deals with Enforcement
of decrees and orders of the Supreme Court. It states that the
Apex Court in the exercise of its jurisdiction may pass such
decree or make such order as is necessary for doing “complete
justice” in any case pending before it. Such orders of the
Supreme Court are enforceable throughout the territory of
India as prescribed by any law made by Parliament or order
of the President of India. Article 142 enables superseding
the executive and the legislative. Thus, the Supreme Court
of India is not constrained in the exercise of its powers by
Jaws made by the Parliament. From Article 142, the Supreme
Court derives overarching powers to perform the functions
of Executive and legislative in order to bring about complete
justice."
5,"With reference to the ‘Quality Council
of India (QCD), consider the following
statements:

1. QCI was set up jointly by the Government
of India and the Indian Industry.

2. Chairman of QCI is appointed by the
Prime Minister on the recommendations
of the industry to the Government.

Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2017.0,c,"Exp) Option c is the correct answer.

Statement 1 is correct. The Quality Council of India, an
autonomous body set up by the Ministry of Commerce and
Industry, Government of India jointly with the Indian

Industry, represented by the three premier industry
associations i.e., Associated Chambers of Commerce and
Industry of India (ASSOCHAM), Confederation of Indian
Industry (CH) and Federation of Indian Chambers of
Commerce and Industry (FICCI). It aims to establish and
operate national accreditation structure and promote quality
through National Quality Campaign.
Statement 2 is correct. Chairman of QCI is a non-executive
post. He is nominated by the Prime Minister of India on the
recommendations of the industry."
6,"Consider the following statements:

Attorney General of India can

1. take part in the proceedings of the Lok
Sabha

2. bea member of a committee of the Lok
Sabha

3. speak in the Lok Sabha

4. vote in the Lok Sabha

Which of the statements given above is/are

correct?",1 only,2 and 4 only,"1,2 and 3",1 and 3 only,UPSC CSE Pre.,2013.0,c,"Exp) Option c is the correct answer.
The Attorney General of India (AGI) is the only person under
the Indian system who can take part in the proceedings of
the Parliament or any parliamentary committee, but cannot
vote.
Statements 1, 2 and 3 are correct. He has the right to speak
and to take part in the proceedings of both the Houses of
Parliament or their joint sittings and in any committee of
the Parliament of which he may be named a member, but
without the right to vote."
7,"In India, other than ensuring that public
funds are used efficiently and for the
intended purpose, what is the importance
of the office of the Comptroller and Auditor

General (CAG)?

1. CAG exercises exchequer control on
behalf of the Parliament when the
President of India declares national
emergency/financial emergency.

2. CAG reports on the execution of projects
or programmes by the ministries which
are discussed by the Public Accounts
Committee.

3. Information from CAG reports can be
used by investigating agencies to press
charges against those who have violated
the law while managing public finances.

4. While dealing with the audit and
accounting of government companies,
CAG has certain judicial powers for
prosecuting those who violate the law.

Which of the statements given above is/are

correct?","1,2 and 4 only",2 only,2 and 3 only,"1,2,3 and 4",UPSC CSE Pre.,2012.0,c,"Exp) Option c is the correct answer.
The Comptroller and Auditor General (CAG) of India is the
constitutional authority, established under Article 148 of the
Constitution of India.
He is empowered to Audit all receipts and expenditure of the
Government of India and the State Governments, including
those of autonomous bodies and corporations substantially
financed by the Government.
The CAG is also the statutory auditor of Government-
owned corporations and conducts supplementary audit of
government companies in which the Government has an
equity share of at least 51 per cent or subsidiary companies
of existing government companies.
Statements 2 and 3 are correct. The reports of the CAG are
laid before the Parliament/Legislatures and are being taken
up for discussion by the Public Accounts Committees (PACs)
and Committees on Public Undertakings (COPUs), which
are special committees in the Parliament of India and the
state legislatures. Also, information from CAG reports can be
used by investigating agencies to press charges against those
who have violated the law while managing public finances.
This was seen during 2G and Commonwealth Games scams.
Statements 1 and 4 are incorrect. CAG does not exercise
exchequer control on behalf of the Parliament when the
President of India declares national emergency/financial
emergency. The CAG does not have any judicial powers."
8,"According to the Constitution of India, it is
the duty of the President of India to cause
to be laid before the Parliament which of
the following?

1, The Recommendations of the Union
Finance Commission

2. The Report of the Public Accounts
Coniumittee

3. The Report of the Comptroller and
Auditor General

4, ‘The Report of the National Commission
for Scheduled Castes

Select the correct answer using the codes

given below:",1 only,2 and 4 only,"1,3 and 4 only","1,2, 3 and 4",UPSC CSE Pre.,2012.0,c,"Exp) Option c is the correct answer.
According to the Constitution of India, it is the duty of the President
of India to cause to be laid before the Parliament following reports -
1, The Recommendations of the Union Finance
Commission

2. The Report of the Public Accounts Committee

3. The Report of the Comptroller and Auditor General

4. The Report of the National Commission for Scheduled

Castes
5. The Report of the National Commission for Scheduled
Tribes

6. Reports of the Comptroller and Auditor General

7. The Report of the Union Public Service Commission

8. The Report of the National Commission of Backward

Classes

The President does not lay the reports of Public Accounts

Committee before the Parliament. In fact, the function of

the committee is to examine the annual audit reports of the

Comptroller and Auditor General of India (CAG), which are

laid before the Parliament by the President."
9,"With reference to the Finance Commission
of India, which of the foliowing statements

is correct?",",",and,given above is correct in this context,None of the statements,UPSC CSE Pre.,2011.0,d,"Exp) Option d is the correct answer.

Set up under Article 280 of the Constitution, the Finance

Commission is a Constitutionally mandated body that

is at the centre of fiscal federalism. Its core responsibility

is to evaluate the state of finances of the Union and State

Governments, recommend the sharing of taxes between

them, lay down the principles determining the distribution

of these taxes among States. Thus, none of the statements
given in above options are correct with reference to

Finance Commission.

The Finance Commission is required to make

recommendations to the President of India on the following

matters:

1. The distribution of the net proceeds of taxes to be shared
between the Centre and the states, and the allocation
between the states of the respective shares of such
proceeds.

2. The principles that should govern the grants-in-aid to
the states by the Centre (i.e., out of the consolidated fund
of India).

3. The measures needed to augment the consolidated fund
of a state to supplement the resources of the panchayats
and the municipalities in the state on the basis of the
recommendations made by the state finance commission.

4. Any other matter referred to it by the president in the
interests of sound finance."
10,"Consider the following statements:

The function(s) of the Finance Commission

is/are-

1. To allow the withdrawal of the money out
of the Consolidated Fund of India.

2. To allocate among the States the shares of
proceeds of taxes.

3. To consider applications for grants-in-aid
from States.

4, To supervise and report on whether the
Union and State Governments are levying
taxes in accordance with the budgetary
provisions.

Which of these statements is/are correct?",Only 1,2 and 3,3and 4,"1,2 and 4",UPSC CSE (Pre),2003.0,b,"Exp) Option b is the correct answer

The Function of the Finance Commission to make

recommendations to the President as to:

The distribution between the Union and the States of the

net proceeds of taxes which are to be, or maybe, divided

between them and the allocation between the States of the
respective shares of such proceeds. Hence statement 2 is
correct.

The principles which should govern the grants-in-aid of

the revenues of the States out of the Consolidated Fund of

India; Hence statement 3 is correct.

a :

| Important Tips

Finance Commission

| ¢ The Finance Commission is a Constitutionally

mandated body that is at the centre of fiscal federalism.

« It was set up under Article 280 of the Constitution.

° The first Finance Commission was set up in 1951
and there have been fifteen Finance commission so
far."
