q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"With reference to Home Guards, consider
the following statements:

1. Home Guards are raised under the Home
Guards Act and Rules of the Central
Government.

2. The role of the Home Guards is to serve
as an auxiliary force to the police in
maintenance of internal security.

3. Topreventinfiltration on the international
border/coastal areas, the Border Wing
Home Guards Battalions have been raised
in some States.

How many of the above statements are

correct?",Only one,Only two,All three,,UPSC CSE Pre,2023,b,"Exp) Option b is the correct answer.

‘Home Guards’ is a voluntary force, first raised in India
in December 1946, to assist the police in controlling civil
disturbance and communal riots,

Statement 1 is incorrect: Home Guards are raised under
the Home Guards Act and Rules of the States/Union
Territories (not central Government). They are recruited
from amongst all classes of people and walks of life, who give
their spare time to the organisation for betterment of the
community.

Statement 2 is correct: The role of Home Guards is to serve as
an auxiliary Force to the Police in maintenance of internal
security situations, help the community in any kind of
emergency such as an air-raid, fire, cyclone, earthquake,
epidemic etc., help in maintenance of essential services,
promote communa! harmony and assist the administration
in protecting weaker sections, participate in socio-economic
and welfare activities and perform Civil Defence duties.
Statement 3 is correct: Fifteen Border Wing Home Guards
(BWHG) Battalions have been raised in the border States
viz. Punjab (6 Bns.), Rajasthan ( 4 Bns.), Gujarat (2 Bus.)
and one each Battalion for Meghalaya, Tripura and West
Bengal to serve as an auxiliary to Border Security Force for
preventing infiltration on the international border/coastal
areas, guarding of VA/VPs and lines of communication in
vulnerable area at the time of external aggression.
Therefore, only two statements are correct."
2,"With reference to India, consider the

following pairs:
of police or military Secrets Act,
uniforms 1923
or otherwise interfering | Evidence Act,
with a police officer or | 1872
military officer when
engaged in their duties
3. Celebratory gunfire

which can endanger (Amendment)
the personal safety of — | Act, 2019
others

How many of the above pairs are correctly

matched?",Only one,Only two,All three,,UPSC CSE Pre,2023,b,"Exp) Option b is the correct answer.

Pair 1 is correctly matched: The Official Secrets Act, 1923
prohibits person from using or wearing, without lawful
authority, any naval, military, air force, police or other
official uniform, or any uniform so nearly resembling the
same as to be calculated to deceive, or falsely represents
himself to be a person who is or has been entitled to use or
wear any such uniform

Pair 2 is incorrectly matched: It is under The Official
Secrets Act, 1923, that no person in the vicinity of any
prohibited place shall obstruct, knowingly mislead or
otherwise interfere with or impede, any police officer, or
any member of 21 [the Armed Forces of the Union] engaged
on guard, sentry, patrol] or other similar duty in relation to
the prohibited place.

Pair 3 is correctly matched: The Arms Act Amendment
of 2019 adds news offences such as forcefully taking a
firearm from police or armed forces and using firearms ina
celebratory gunfire which endangers human life or personal
safety of others."
3,"Consider the following statements in respect
of the National Flag of India according to
the Flag Code of India, 2002:

Statement-I:

One of the standard sizes of the National Flag

of India is 600 mm x 400 mm,

Statement-II:

The ratio of the length to the height (width)

of the Flag shall be 3:2.

Which one of the following is correct in

respect of the above statements?","Both Statement-I and Statement-II are
correct and Statement-II is the correct
explanation for Statement-|","Both Statement-I’ and Statement-II are
correct and Statement-II is not the correct
explanation for Statement-I","Statement-l is correct but Statement-II is
incorrect is incorrect","Statement-l is incorrect Statement-II is
correct",UPSC CSE Pre,2023,d,"Exp) Option d is the correct answer
The use, display and hoisting of the National Flag in the
country is guided by an overarching set of instructions called
the ‘Flag Code of India 2002”. The code brings together all
laws, conventions, practices, and instructions for the display
of the National Flag.
Statement 1 is incorrect: As per the Flag code of India
2002, the National Flag cannot be in the dimension of
600mm*400mm. The code states that the National flag can
be of nine standard dimensions as follows:

1 6300 x 4200
: 2 | 3600 x 2400
| 5 1350 x 900
ee ee te
a: —) 225 x 150
Statement 2 is correct: The National Flag shall be rectangular
in shape and the ratio of the length to the height (width) of
the Flag shall be 3:2. Hence Statement 2 is correct."
4,"With reference to anti-defection law in
India, consider the following statements:



1. The law specifies that a nominated
legislator cannot join any political party
within six months of being appointed to
the House.

2. The law does not provide any time-frame
within which the presiding officer has to
decide a defection case.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2022,b,"Exp) Option b is the correct answer.
Statement 1 is incorrect: A nominated member of a House
shall be disqualified for being a member of the House if
he joins any political party after the expiry of six months
from the date on which he takes his seat. Thus he/she is free
to join any political party within six menths and would not
be disqualified for the same.
Statemeni 2 is correct: The law does not specify a
time period for the Presiding Officer to decide on a
disqualification plea undcr the Tenth Schedule."
5,"With reference to the “Tea Board” in India,
consider the following statements:

1. The Tea Board is a statutory body.

2. It is a regulatory body attached to the
Ministry of Agriculture and Farmers
Welfare.

3. ‘The ‘lea Board’s Head Office is situated in
Bengaluru.

4. The Board has overseas office at Dubai
and Moscow.

Which of the statements given above are

correct?",l and 3,2 and 4,3 and 4,1 and 4,UPSC CSE Pre,2022,d,"Exp) Option d is the correct answer.
Statement I is correct: The Tea Board of India is a statutory
body created under the Tea Act, 1953 and il was established
for the purposes of regulaiing the Indian tea industry and
protecting the interests of tea producers in India.
Statement 2 is incorrect: It is functioning as a statutory
body of the Central Government under the Ministry of
Commerce.
Statement 3 is incorrect: Tea Board of India’s Head Office is
situated in Kolkata.

Statement 4 is correct: The Tea Board of India has overseas
offices in Moscow, Dubai, Hamburg, London and New
York. Moscow office. The Moscow office of the Tea Board
of India operates under the Embassy of India, and its area
of activity includes Russia and the CIS countries, which
comprise 50% of Indian tea exports."
6,"Consider the following statements:

1. “Right to the city” is an agreed human
right and the UN-Habitat monitors the
Commitments made by each country in
this regard.

2. “Right to the City” gives every occupant of
the city the right to reclaim public spaces
and public participation in the city.

3. “Right to the City” means that the State
cannot deny any public service or facility
to the unauthorized colonies in the city.

Which of the statements given above is/are

correct?",1 only,3 only,l and 2,2 and 3,UPSC CSE Pre,2021,d,"Exp) Option d is the correct answer.

The “right to the city” is individual and collective right of
all residents of a city/town/village to an equal share of its
benefits and to participate in its development. It is not to be
viewed as a new legalistic right, but merely as an articulation
to consolidate the demand for the realisation of multiple
human rights. It developed as a movement for demand of
basic rights to city dwellers by Global NGO’s.

Statement 1 is Incorrect : Right to the city has developed as
a response of social groups and civil society organizations to
ensure better access to and opportunities for everyone living
in cities, especially the most marginalized and deprived
sections. Social movements and organizations from across
the world worked together to develop a World Charter on
the Right to the City that is also supported by UNESCO and
UN Habitat, among other agencies. Hence UN HABITAT
only supports and doesnot monitor the commitments made
by each country in this regard.

Statements 2 and 3. are correct ; The Right to city
demand is based on basic human rights principles of- non-
discrimination; indivisibility of human rights; gender
equality; progressive realisation; non-retrogression,
subsidiarity; solidarity; and, cooperation. It emphasises
priority attention to persons and groups in situations of
vulnerability, including the homeless/landless, children,
persons with disabilities, religious and sexual minorities,
older persons, informal sector workers, Dalits/members of
Scheduled Castes, indigenous and tribal peoples, persons
from economically weaker sections, single women, and
women-headed households, among others. It also stresses
responsibility and sustainability as core principles.

The concept of the right to the city is a means to combat
the exclusionary development, selective benefit sharing,
marginalisation, and discrimination rampant in cities
today."
7,"Consider the following statements in
respect of Bharat Ratna and Padma Awards:


1, Bharat Ratna and Padma awards are
titles under the Article 18 (1) of the
Constitution of India.

2. Padma Awards, which were instituted in
the year 1954, were suspended only once.

3. The number of Bharat Ratna Awards
is restricted to a maximum of five in a
particular year.

Which of the above statements are not

correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre.,2021,d,"Exp) Option d is the correct answer.

Statement 1 is incorrect. National awards such as Bharat
Ratna, Padma Vibhushan, Padma Bhushan and Padma Shri
do not amount to titles within the meaning of Article 18(1)
of the Constitution and thus are not to be used as prefixes or
suffixes to the name of the recipient in any manner.

Article 18(1) abolishes all titles. It prohibits the State to
confer titles on anybody whether a citizen or a non-citizen.
Military and academic distinctions are, however, exempted
from the prohibition. Thus, a university can give title or
honor on a man of merit.

Statement 2 is incorrect. Padma Awards were instituted in
1954 to be awarded to citizens of India in recognition of their
distinguished contribution in various spheres of activity.
The government suspended the practice of granting the
Padma awards for two years in 1977. It was again suspended
during mid-1992 when 2 PILs were filed in the High Courts
of India

They are given in three categories: Padma Vibhushan (for
exceptional and distinguished service), Padma Bhushan
(distinguished service of higher-order) and Padma Shri
(distinguished service).

Statement 3 is incorrect. A maximum of 3 people can be
awarded the Bharat Ratna.

The total number of Padma awards to be conferred each
year is limited to 120. But the count excludes posthumous
awards and any non-resident Indian or Overseas Citizen of
India or foreign-based winners."
8,"Consider the following statements:


1. Aadhaar metadata cannot be stored for
more than three months.

2. State cannot enter into any contract
with private corporations for sharing of
Aadhaar data.

3. Aadhaar is mandatory for obtaining
insurance products.
4. Aadhaar is mandatory for getting benefits
funded out of the Consolidated Fund of
India.
Which of the statements given above is/are
correct?",1 and 4 only,2 and 4 only,3 only,"1, 2 and 3 only",UPSC CSE Pre.,2020,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect. A Constitution Bench of the
Supreme Court ruled that the Aadhaar metadata cannot
be stored beyond six months. The Aadhar Act had allowed
storage of such data for five years.

Statement 2 is correct. Supreme Court has struck down
Section 57 that allowed sharing of data with private
entities. But has allowed the unique number to be used for
government schemes and subsidies.

Statement 3 is incorrect. Aadhaar is not mandatory for
obtaining insurance products. Insurance regulator IRDAI
has advised insurers not to mandatorily seek Aadhaar and
PAN/Form 60 from customers, existing or new, for KYC
(Know Your Customer) purpose. The insurers can accept
Aadhaar as one of the documents for KYC, only when the
same is offered voluntarily by the proposer/policy-holder.
Statement 4 is correct. The amendment made to Section
7 of the Aadhaar (Targeted delivery of financial and other
subsidies, benefits and services) Act 2016, make Aadhar
mandatory for beneficiaries for receipt of a subsidy, benefit
or service for which the expenditure is incurred from the
consolidated fund."
9,"Along with the Budget, the Finance Minister
also places other documents before the
Parliament which include “The Macro
Economic Framework Statement’. The
aforesaid document is presented because
thisis mandated by",Long standing parliamentary convention,"Article 112 and Article 110(1) of the
Constitution of India",Article 113 of the Constitution of India,"Provisions of the Fiscal Responsibility
and Budget Management Act, 2003",UPSC CSE Pre.,2020,d,"Exp) Option d is the correct answer.

The Fiscal Responsibility and Budget Management Act,
2003 mandates that Central Government shall lay in each
financial year before both Houses of Parliament the following
statements (along with the annual financial statement):

(a) the Medium-term Fiscal Policy Statement;

(b) the Fiscal Policy Strategy Statement;

(c) the Macro-economic Framework Statement;

(d) the Medium-term Expenditure Framework Statement.
Macro-economic Framework Statement provides an
overview of the economy containing an assessment regarding
the fiscal balance of the Central Government, Price related
fluctuations, GDP growth rate, and the external sector
balance of the economy."
10,"Onecommon agreement between Gandhism
and Marxism is:",the final goal of a stateless society,class struggle,abolition of private property,economic determinism,UPSC CSE Pre.,2020,a,"Exp) Option a is the correct answer.

One common agreement between Gandhism and Marxism

is the final goal of stateless and classless society, whereas

means to achieve these final goals differ.

For Marx, State is an instrument of oppression and an organ

of the bourgeoisie that only works for maintaining the class

dominance. Therefore, he strives for class struggle and

revolution which will ultimately result in a stateless society.

For Gandhi also, in an ideal state, there is no State. In his

words “political power means capacity to regulate national

life through national representatives. If national life becomes

so perfect as to become self-regulated, no representation

becomes necessary. There is then a state of enlightened

anarchy. In such a state everyone is his own ruler. He rules

himself in such a manner that is never a hindrance to his

neighbour. In the ideal state, therefore, there is no political

power because there is no State.”"
