q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,Which one of the following statements best reflects the Chief purpose of the ‘Constitution’ of a country?,It determines the objective for the making of necessary laws.,It enables the creation of political offices and a government.,It defines and limits the powers of government.,"It secures social justice, social equality and social security.",UPSC CSE Pre,2023.0,c,"Exp) Option c is the correct answer

Option c is correct: The Constitution contains the basic
principles and laws of a nation that determine the powers
and duties of the government. A constitution serves multiple
purposes. It provides a legitimate legal and political basis
for the Government to propose and enact laws, organising
public service and settling disputes.

Although the Constitution determines the objectives (DPSP)
for the making of necessary laws and aims to promote social,
economic and political democracy, its chief purpose is to
limit the power of government. In fact the Constitutional
government is by definition limited government."
2,"Consider the following statements in respect of the Constitution Day:
Statement-I: The Constitution Day is celebrated on 26th November every year to promote onstitutional values among citizens.
Statement-II: On 26th November, 1949, the Constituent Assembly of India set up a Drafting Committee under the Chairmanship of Dr. B. R. Ambedkar to prepare a Draft Constitution of India.
Which one of the following is correct in respect of the above statements?",Both Statement-1 and Statement-IJ are correct and Statement-1 is the correct explanation for Statement-I,Both Statement-1 and Statement-11 are correct and Statement-II is not the correct explanation for Statement-I,Statement-l is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,UPSC CSE Pre,2023.0,c,"Exp) Option c is the correct answer

The Constituent Assembly of India was constituted in
November 1946 under the scheme formulated by the Cabinet
Mission Plan,1946. The assembly deliberated on the matters
related to formation and provisions of the Constitution of
India.

Statement 1 is correct: In India, the Constitution Day
is celebrated in India on 26 November every year to
commemorate the adoption of the Constitution of India
and also it was celebrated to promote the constitutional
values among the citizens of India.

Statement 2 is incorrect: On 29 August 1947, the
Constituent Assembly set up a Drafting Committee under
the Chairmanship of Dr. B.R. Ambedkar, to prepare a
Draft Constitution for India. On 26 November 1949, the
Constituent Assembly of India adopted the Constitution
of India, and it came into effect on 26 January 1950."
3,Which one of the following factors constitutes the best safeguard of liberty in a liberal democracy?,A committed judiciary,Centralization of powers,Elected government,Separation of powers,UPSC CSE Pre.,2021.0,d,"Exp) Option d is the correct answer.

The Separation of powers between the legislature, the
executive and the judiciary constitute an important
safeguard of liberty in a liberal democracy. The doctrine of
Separation of powers entails the division of the legislative,
executive, and judicial functions of government among
different organs. This separation minimizes the possibility
of arbitrary excesses by the government, since all the three
organs act as check and balance on the powers of each other.
Therefore, none of the three organs can usurp the essential
functions of other organs.

This demarcation prevents the concentration of excessive
power by any branch of the Government. It thus helps to
safeguard the liberty and rights of the people in a democracy,"
4,"With reference to India, consider the following statements:
1. There is only one citizenship and one domicile.
2. A Citizen by birth only can become the Head of State.
3. A foreigner once granted the citizenship cannot be deprived of it under any circumstance.
Which of the statements given above is/are correct?",1 only,2 only,l and 3,2 and 3,UPSC CSE Pre,2021.0,a,"Exp) Option a is the correct answer.

Statement 1 is correct. The Indian Constitution provides for
only a single citizenship, that is, the Indian citizenship. The
citizens in India owe allegiance only to the Union. There is
no separate state citizenship. Also, when an Indian citizen
voluntarily acquires the citizenship of another country, his
Indian citizenship automatically terminates.

There is only one domicile allowed in India. Domicile
Certificate can be made only in one State/UT. In 2010, the
Uttarakhand High Court declared that there is no separate
domicile for each State and there is only one domicile for the
entire country.

Statement 2 is incorrect. The President is the Head of the
Indian State. In India, beth a citizen by birth as well as a
naturalised citizen are eligible for the office of President.
Thus, a naturalized citizen can become the Head of the State
in India.

This is different from USA, where only a citizen by birth
(and not a naturalised citizen) is eligible for the office of
President.

Statement 3 is incorrect. A foreigner, who has been earlier
granted Indian citizenship, can be deprived of his citizenship.
| Important ‘Tips

The Indian citizenship of a person can be terminated by

the Central government, if:

¢ he has obtained the citizenship by fraud:

* he has shown disloyalty to the Constitution of India:

« he has unlawfully traded or communicated with the
enemy during a war;

* he has, within five years after registration or
naturalisation, been imprisoned in any country for two
years; and

¢ he has been ordinarily resident out of India for seven
years continuously,"
5,"What was the exact constitutional status of India on 26"" January, 1950",A Democratic Republic,A Sovereign Democratic Republic,A sovereign Secular Democratic,A sovereign Socialist secular Democratic Republic,UPSC CSE Pre,2021.0,b,"Exp) Option b ts the correct answer.

The original Preamble, adopted by the Constituent Assembly
on 26th November, 1949 and came into force on 26th January,
1950. declared India as a “Sovereign Democratic Republic”.
By the 42nd Amendment of 1976, enacted during the
Rmergency, the words “Socialist” and “Secular” were
inserted. The Preamble now reads “Sovereign Socialist
Secular Democratic Republic”."
6,Constitutional government means,A representative government of a nation with federal structure,A government whose head _ enjoys nominal powers,A government who's Head enjoys real powers,A government limited by the terms of the constitution,UPSC CSE Pre,2021.0,d,"Exp) Option d is the correct answer.

Constitutional government seeks to Itmit and regulate
the exercise of political power by the government,

Constitutional government is by definition limited

government. It mcans government conducted according to

rules and principles, which are binding on all political actors.
Important Tips

A constitutional government help to constrain the

unfettered exercise of power by separating or dividing it.

Constitutional government provides a framework in which

the government can be both responsible and representative

- managing conflicts, Protecting the rights, promoting

participation and maintaining security of the citizens."
7,"The Preamble to the Constitution of India,is",part of the Constitution but has no legal effect,not a part of the Constitution and has no legal effect either,a part of the Constitution and has the same legal effect as any other part,a part of the Constitution but has no legal effect independently of other parts,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.
The Preamble to a Constitution embodies the fundamental
values and the philosophy, on which the Constitution is based,
and the aims and objectives, which the founding fathers of the
Constitution enjoined the polity to strive to achieve.
The Supreme Court in the Berubari Union case (1960) held
that the “Preamble is not a part of the Constitution.” It
further said the Preamble can be used as a guiding principle
if a term in any article of the Constitution is ambiguous or
has more than one meaning.
Later in Kesavanand Bharti case (1973), the Supreme Court
reversed its ruling and held that the Preamble is a part of the
Constitution and can also be amended under Article 368 of the
Constitution. Preamble, therefore, is a part of the Constitution.
The preamble states the objects of the Constitution and is not
enforceable in court thus has no legal effect independently of
other parts."
8,"| Other than the Fundamental Rights, which of the following parts of the Constitution of India reflect/reflects the principles and provisions of the Universal Declaration ofHuman Rights (1948)?
1. Preamble
2. Directive Principles of State Policy
3. Fundamental Duties
Select the correct answer using the code given
below:",1 and 2 only,2 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre,2020.0,d,",
Exp) Option d is se correct answer.
Indian constitution was ereatly influenced by the Universal
Declaration of Human Rights, 1948. Part II which stands
for Fundamental Rights a:.2 Part 1V for Directive Principles
of State Policy bear a close resemblance to the Universal
Declaration of Human Rights. he Preamble also provides for
social, economic, political, justice, as enshrined in UDHR and
Article 28, 29 of UHDR, resemble the Fundamental Duties.
Important Tips

Articles under Universal Declaration of Human Rights:

« Articles 1 and 2 reaffirms human dignity, equality and
brotherhood.

« Articles 3-11 are the rights of the individual: the right
to life, outlawing of slavery or torture, equality before
the law, the right to a fair trial etc.

e Articles 12-17 includes freedom of movement, the
right to a nationality, the right to marry and found a
family, as well as the right to own property.

¢ Articles 18-21 are the spiritual and religious rights of
individuals, such as freedom of thought and conscience
(religion), the right to your own opinion, the right to
peaceful assembly and association, and the right to |
vote and take part in government.

¢ Articles 22-27 includes the right to work, the right to
| rest and leisure, the right to a decent standard of living,
| and the right to education.
| « Articles 28-30 remind us that rights come with

obligations and that none of the rights mentioned

| in the UDHR can be used to violate the spirit of the
| United Nations."
9,"In the context of India, which one of the following is the characteristic appropriate for bureaucracy?",An agency for widening the scope of parliamentary democracy,An agency for strengthening the structure of federalism,An agency for facilitating political stability and economic growth,An Agency for the implementation of public policy,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.
Option d is correct. Bureaucracy is the executive arm of
the government. In traditional classical literature on organs
of government, one studied the legislature, the executive
and the judiciary with bureaucracy being subsumed under
the executive (which comprises the political establishment
and the bureaucracy). Now, one finds that bureaucracy is
being treated separately and this is indicative of its growing
importance.
Bureaucracy refers to an administrative policy-
implementation group, which is a body of non-clected
government officials. The major objective of bureaucracy
in India has not been Parliamentary democracy’s expansion
but rather the implementation of the decisions taken by
the executive. With All India Services at the helm of major
bureaucratic structure, it cannot be said that strengthening
of federal structure is its main characteristic.
India’s bureaucratic system’s most important function since
independence has been implementation of public policy,
making the decisions of the government reach a conclusion
on the ground level. Parliamentary democracy results often
in change at the helin of executive, the static and permanent
bureaucracy provides continuity of policies and execution
rather than political stability."
10,A constitutional government by definition isa,government by legislature,popular government,multi-party government,limited government,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.
A constitutional government by definition is a limited
government. A constitutional government is the one that is
defined by the constitution of the country. Constitution of
a country is supreme law of the land; it is empowered with
the sovercign authority of the people (we the people) by the
framers and the consent of the legislatures of the states. It
is the source of all government powers, and also provides
important limitations on the government that protect the
fundamental rights of citizens."
