q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"We adopted parliamentary democracy based on the British model, but how does our model differ from that model?
1. As regards legislation, the British Parliament is supreme or sovereign but in India, the power of the Parliament to legislate is limited.
2. In India, matters related to the Amendment of an Act of the Parliament
are referred to the Constitution Bench by the Supreme Court. °
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither | nor 2,UPSC CSE Pre,2021.0,c,"Exp) Option c is the correct answer.
Statement 1 is correct. Parliamentary sovereignty is a
principle of the UK constitution. It makes Parliament the
supreme legal authority in the UK, which can create or end
any law. Generally, the courts cannot overrule its legislation
and no Parliament can pass laws that future Parliaments
cannot change.
Indian Parliament is not a sovereign body like the British
Parliament. The Indian Parliament may, in exercise of its
constituent power, amend by way of addition, variation or
repeal any provision of the Constitution in accordance with
the procedure laid down for the purpose. However, the
Parliament cannot amend those provisions which form the
‘basic structure’ of the Constitution. This was ruled by the
Supreme Court in the Kesavananda Bharati case (1973).
Statement 2 is correct. In India, matters related to the
constitutionality of an amendment of an act of the
Parliament are referred to the Constitution Bench by the
Supreme Court.
Important Tips
A Constitution Bench is a bench of the Supreme Court
having five or more judges on it. These benches are not a
routine phenomenon. A vast majority of cases before the
Supreme Court are heard and decided by a bench of two
judges (called a Division Bench), and sometimes of three.
Constitution Benches are set up when the case involves a
substantial question of law pertaining to the interpretation
of the Constitution (Article 145(3) of the Constitution,
| which mandates that such matters be heard by a bench of
not less than five judges).
Presently, Constitution Benches are set up on an ad hoc
basis as and when the need arises. The idea behind a
Constitution Bench is clear: it is constituted in rare cases
to decide important questions of fact or legal and/or
constitutional interpretation."
2,Which one of the following in Indian polity is an essential feature that indicates that it is federal in character?,The independence of judiciary is safeguarded.,The Union Legislature has _ elected representatives from constituent units.,The Union Cabinet can have elected representatives from regional parties.,The Fundamental Rights are enforceable by Courts of Law.,UPSC CSE Pre.,2021.0,a,"Exp) Option a is the correct answer.
The establishment of an independent judiciary necessarily
indicates the federal character of Indian polity. The
Constitution establishes an independent judiciary headed
by the Supreme Court to settle the disputes between the
Centre and the states or between the states. This helps in
maintaining the separate jurisdiction and authority of both
the Centre and the States.
| Important Tips
Following are the federal features of Indian Constitution:
| ¢ Dual polity consisting of the Union at the Centre and
the states at the periphery.

« Written Constitution
- Division of powers between the Centre and the states
(by Schedule VII)
« Supremacy of the Constitution
« Rigidity of the constitution
« Bicameral legislature consisting of Rajya Sabha and
Lok Sabha
« Independency of judiciary"
3,| Which one of the following best defines the term ‘State’?,A community of persons permanently occupyinga definite territoryindependent of external control and possessing an organized government.,"A politically organized people of a definite territory and possessing an authority to govern them, maintain law and order, protect their natural rights and safeguard their means of sustenance.","A number of persons who have been living in a definite territory for a very long time with their own culture, tradition and government.","A society permanently living in a definite territory with a central authority, an executive responsible to the central authority and an independent judiciary.",UPSC CSE Pre.,2021.0,a,"- Exp) Option a is the correct answer.
State is “a community of persons permanently occupying
a definite portion of territory, independent of external
control, and possessing an organized government”
According to Max Weber, a State is a human community that
(successfully) claims the monopoly of the legitimate use of
physical force within a given territory.
Important Tips |
The state possesses a government which has the authority
to enforce a system of rules over the people living inside |
it. That system of rules is commonly composed of a |
constitution, statutes, regulations, and common law, It is
independent of external control.
Its mains functions can be maintaining law, order and
stability, resolving various kinds of disputes through the
legal system, providing common defence. It also looks
out for the welfare of the population in ways that are
beyond the means of the individual, such as implementing
public health measures, providing mass education and
underwriting expensive medical research."
4,Which one of the following factors constitutes the best safeguard of liberty in a liberal democracy?,A committed judiciary,Centralization of powers,Elected government,Separation of powers,UPSC CSE Pre.,2021.0,d,"Exp) Option d is the correct answer.
The Separation of powers between the legislature, the
executive and the judiciary constitute an important
safeguard of liberty in a liberal democracy. The doctrine of
Separation of powers entails the division of the legislative,
executive, and judicial functions of government among
different organs. This separation minimizes the possibility
of arbitrary excesses by the government, since all the three
organs act as check and balance on the powers of each other.
Therefore, none of the three organs can usurp the essential
functions of other organs.
This demarcation prevents the concentration of excessive
power by any branch of the Government. It thus helps to
safeguard the liberty and rights of the people in a democracy."
5,Which one of the following suggested that the Governor should be an eminent person from outside the State and should be a detached figure without intense political links or should not have taken part in politics in the recent past?,First Administrative Reforms Commission (1966),Rajamannar Committee (1969),Sarkaria Commission (1983),National Commission to Review the Working of the Constitution (2000),UPSC CSE Pre.,2019.0,c,"Exp) Option c is the correct answer.
Sarkaria Commission was constituted by the Government
of India in 1983 to look after the situation on various

matters, the most important being centre-state relations.

The important recommendation of the Sarkaria Commission

with respect to Governor were -

« Procedure of consulting the chief minister in the
appointment of the state governor should be prescribed
in the constitution itself

+ ‘The Governor should be an eminent person from outside
the State

« Governor should be a detached figure without political
links or should not have taken part in politics in the
recent past

¢ Governors should be allowed to complicte their term of
five years

Important Tips
The important recommendation of the Sarkaria
Commission were -
| + Setting up a permanent inter-state council

* Article 356 should be used sparingly

¢ Institution of all-India service should be strengthened

¢ Residuary power should remain with the parliament

e Reasons should be communicated to the state when
state bills are vetoed by the President

¢ Centre should have powers to deploy its armed forces,
even without the consent of states. However, it is
desirable that the states should be consulted

« Commissioner for linguistic minorities should be
activated"
6,"If the President of India exercises his power as provided under Article 356 of the
Constitution in respect of a particular state, then",the Assembly of the State is automatically dissolved.,the powers of the Legislature of that state shall be exercisable by or under the authority of the Parliament.,Article 19 is suspended in that State.,the President can make laws relating to that state.,UPSC CSE Pre.,2018.0,b,"Exp) Option b is the correct answer.
Emergency Provisions are included in part XVIII from articles
352 10 360 in the Constitution for dealing with extraordinary
situations that may threaten the peace, security, stability and
governance of the country or a part thereof.
According to the Constitution it is the duty of the Union
Governinent to ensure that governance of a State is carried
on in accordance with the provisions of the Constitution.
Under Article 356, the President may issue a proclamation
to impose emergency in a state if he is satisfied on receipt
of a report from the Governor of the concerned State, or
otherwise, that a situation has arisen under which the
administration of the state cannot be carried on according to
the provisions of the constitution.

In such a situation, proclamation of cmergency by the

President is on account of the failure (or breakdown) of

constitutional machinery. Thus, it is known as “President's

Rule” or “State Emergency” or “Constitutional Emergency”.

Effects of Imposition of President’s Rule in a state

- The President can assume to himself all or any of the

functions of the state government or he may vest all or any

of those functions with the Governor or any other executive
authority.

~ The President may dissolve the State Legislative Assembly

or put it under suspension. He may authorize the Parliament

to make laws on behalf of the state Legislature. (Hence,
option b is correct) ~ The Parliament can delegate the
power to make laws for the state to the President or any
other body specified by him when the state legislature is
suspended or dissolved."
7,The main advantage of the parliamentary form of governments is that:,the executive and legislature work independently.,it provides continuity of policy and is more efficient.,the executive remains responsible to the legislature.,the head of the government cannot be changed without election.,UPSC CSE Pre.,2017.0,c,"Exp) Option c ts the correct answer.
In a Parliamentary form of Government, real executive
power lies with the Council of Ministers headed by the Prime
Minister which is responsible to the legislature. In other
words, they hold office only if the majority in Lok Sabha
supports them and must resign if they lose confidence of the
Lok Sabha."
8,"The Parliament of India acquires the power to legislate on any item in the State List in
the national interest if a resolution to that effect is passed by the",Lok Sabha by a simple majority of its total membership.,Lok Sabha by a majority of not less than two-thirds of its total membership.,Rajya Sabha by a simple majority of its total membership.,Rajya Sabha by a majority of not less than two-thirds of its members present and voting.,UPSC CSE Pre.,2016.0,d,"Exp) Option d is the correct answer.
Article 249 of the Constitution of India deals with the power
of the Parliament to legislate with respect to a matter in the
State List in national interest. It requires Rajya Sabha to pass
a resolution supported by not less than two-thirds of the
members present and voting.
| Important Tips
If the Rajya Sabha declares that it is necessary in the
| national interest that Parliament should make laws with
i respect to a matter in the State List, then the Parliament
becomes competent to make laws on that matter.
| ¢ Such a resolution must be supported by two-thirds of
the members present and voting.
« The resolution remains in force for one year;
« it can be renewed any number of times but not
exceeding one year at a time.
e The iaws cease to have effect on the expiration of six
months after the resolution has ceased to be in force.
e This provision does not restrict the power of a state
legislature to make laws on the same matter. But,
in case of inconsistency between a stale law and a
parliamentary law, the latter is to prevail."
9,The Parliament can make any law for whole or any part of India for implementing international treaties,with the consent of all the states,with the consent of the majority of states,with the consent of the states concerned,without the consent of any state,UPSC CSE Pre.,2013.0,d,"Exp) Option d is the correct answer.
The Parliament can make laws on any matter in the State
List for implementing the international treaties, agreements
or conventions. It can be done without the consent of the
states. This provision enables the Central government to
fulfil its international obligations and commitments.
Some examples of laws enacted under the above provision
are United Nations (Privileges and Immunities) Act, 1947;
Geneva Convention Act, 1960; Anti-Hijacking Act, 1982 and
legislations relating to environment and TRIPS."
10,"Consider the following statements: In India, stamp duty on financial transactions are
1. imposed and _ collected by © state government.
2. regulated by the union government.
Which of the following is/are correct?",only 1,only 2,both 1 and 2,none of these,UPSC CSE Pre,2003.0,d,"Exp) Option d is the correct answer
Statement 1 is incorrect: In India, stamp duty on financial
goods deals, is imposed by the Union or Central Government.
However, the collection and appropriation of stamp duty are
done by the state governments.

Statement 2 is incorrect: Stamp duty is not regulated by the
Union or Central Government. Instead, it is regulated by the
respective state governments. The rates and rules related to
stamp duty may vary from state to state, as it falls under the
purview of the State List (Entry 63) of the Seventh Schedule
of the Indian Constitution.

Important Tips

Article 268 of the Indian Constitution deals with “Duties

levied by the Union but collected and appropriated by

the States.”

1, Stamp Duties and Duties of Excise: The article states
that certain stamp duties and duties of excise on
medicinal and toilet preparations, which are mentioned
in the Union List, shall be levied by the Government of
India.

2. Collection of Duties: While these duties are levied by
the Union, their collection is carried out differently
based on their applicability:

a. If the duties are leviable within any Union territory,
their collection is done by the Government of India.

b. If the duties are leviable in other areas, their collection
is done by the States within which these duties are
applicable.

3. Appropriation of Proceeds: The proceeds generated
from these duties in any financial year, when
leviable within any State, do not become part of the
Consolidated Fund of India. Instead, they are assigned
to the respective State where the duties are collected."
