Question no,solution
95,c
96,d
97,a 
98,a
99,c
100,d
101,d
102,b
103,a
104,a
105,c
106,d
107,d
108,b
109,c
110,a
111,a
112,a
113,a
114,c
115,d
116,a
117,a
118,c
119,b
120,a
121,a
122,b
123,c
124,b
125,d
126,d
127,d
128,c
129,b
130,a
131,a
132,d
133,d
134,b
135,a
136,a
137,c
138,d
139,a
140,c
141,a
142,a
143,d
144,b
145,d
146,c
147,c
148,b
149,d
150,c
151,a
152,c
153,c
154,b
155,c
156,a
157,c
158,d
159,b
160,a
161,d
162,a
163,d
164,a
165,d
166,c
167,b
168,a
169,c
170,a
171,b
172,b
173,d
174,c
175,a
176,c
177,c
178,c
179,d
180,c
181,b
182,a
183,b
184,d
