Question no,solution
29,a 
30,b
31,a
32,d
33,d
34,c
35,a
36,a
37,a
38,a
39,a
40,d
41,b
42,c
43,b
44,a
45,d
46,b
47,c
48,d
49,c
50,c
51,c
52,d
53,c
54,d
55,d
56,d
57,c
58,c
59,b
60,d
61,b
62,d
63,a
64,b
65,c
66,b
67,c
68,b
69,b
70,c
71,c
72,b
73,a
74,a
75,a
76,b
77,b
78,c
79,b
80,d
81,a
82,e
83,b
84,a
85,d
86,b
87,b
88,d
89,c
90,c
91,b
92,c
93,b
94,a
95,a
96,b
97,a
98,a
99,b
100,b
101,b
102,a
103,b
104,a
105,c
106,d
107,a
108,d
109,a
110,d
111,a
112,a
113,d
114,a
115,c
116,b
117,a
118,d
119,b
120,c
121,c
122,c
123,b
124,b
125,d
126,a
127,d
128,a
129,c
130,d
131,b
132,b
133,b
134,b
135,a
136,a
137,b
138,c
139,b
140,d
141,d
142,a
143,d
144,d
145,c
146,a
147,b
148,a
149,a
150,d
151,b
