Question no,solution
61,b
62,a 
63,d
64,c
65,c
66,a
67,b
68,a
69,b
70,d
71,a
72,c
73,d
74,d
75,d
76,b
77,c
78,d
79,b
80,c
81,c
82,b
83,a
84,c
85,c
86,d
87,d
88,b
89,d
90,d
91,c
92,b
93,d
94,b
95,b
96,a
97,c
98,a
99,b
100,b
101,c
102,a
103,d
104,c
105,b
106,d
107,c
108,a
109,a
110,d
111,b
112,d
113,a
114,b
115,d
116,b
117,c
118,b
119,b
120,a
121,a
122,c
123,d
124,d
125,b
126,a
127,c
128,b
129,a
130,d
131,a
132,d
133,d
134,c
135,d
136,c
137,b
138,d
139,a
140,c
141,b
142,c
143,d
144,c
145,d
146,b
147,d
148,d
149,b
150,b
151,c
152,b
153,a
154,c
155,d
156,b
157,d
158,d
159,d
160,d
161,e
162,d
163,b
164,d
165,d
166,a
167,b
168,d
169,c
170,d
171,a
172,b
173,d
174,a
175,a
176,a
177,d
178,a
179,b
180,d
181,b
182,b
183,a
184,c
185,c
186,c
187,b
188,d
189,b
190,d
191,a
192,a
193,c
194,b
195,a
196,d
197,b
198,d
199,d
200,a
201,b
202,a
203,b
204,d
205,a
206,c
207,d
208,a
209,b
210,c
211,b
212,b
213,a
214,c
215,e
216,d
217,b
218,b
219,a
220,c
221,a
222,d
223,d
224,c
225,c
226,c
227,a
228,a
229,b
230,c
231,b
232,a
233,a
234,b
235,b
236,a
237,c
238,d
239,c
240,b
241,c
242,c
243,a
244,c
245,d
246,d
